I
1050 Generated by WorldEditor 2.1.0r1

1    308 0 0 SAC7 Rauch
100 28.00 3 0 0.25 0 0 0 08 -36.77281231 -059.06251460    0   63 0 0 0 0 26 -36.77099719 -059.05346264    0   79 0 0 0 0
100 29.00 3 0 0.25 0 0 0 18 -36.76844870 -059.05706020    0   64 0 0 0 0 36 -36.77529949 -059.05853830    0   47 0 0 0 0
110 3 0.25 309.1700 Taxiway
112 -36.77069789 -059.05264154 -36.77070475 -059.05267583
112 -36.77166019 -059.05752457 -36.77166509 -059.05755021
112 -36.77162318 -059.05756736 -36.77158901 -059.05755314
111 -36.77162318 -059.05756736
112 -36.77162318 -059.05756736 -36.77159247 -059.05755458
112 -36.76812791 -059.05679587 -36.76809281 -059.05676691
112 -36.76763418 -059.05666313 -36.76759326 -059.05666433
112 -36.76758163 -059.05689457 -36.76762650 -059.05695713
112 -36.76776169 -059.05713890 -36.76780709 -059.05718923
112 -36.76793116 -059.05719945 -36.76796322 -059.05717761
112 -36.77171364 -059.05789812 -36.77173312 -059.05790159
111 -36.77171364 -059.05789812
112 -36.77171364 -059.05789812 -36.77175351 -059.05790523
112 -36.77178692 -059.05801559 -36.77179261 -059.05806536
112 -36.77280156 -059.06323406 -36.77282353 -059.06328207
112 -36.77296325 -059.06345115 -36.77300720 -059.06350944
112 -36.77314662 -059.06347581 -36.77317683 -059.06344838
112 -36.77316588 -059.06332508 -36.77314940 -059.06327365
112 -36.77307957 -059.06315480 -36.77306584 -059.06311023
112 -36.77277241 -059.06166276 -36.77276692 -059.06161476
112 -36.77278655 -059.06151349 -36.77281977 -059.06147201
112 -36.77306469 -059.06115830 -36.77310181 -059.06111742
112 -36.77318919 -059.06109613 -36.77322848 -059.06110022
111 -36.77327067 -059.06112157
111 -36.77407422 -059.06002799
112 -36.77395652 -059.05989518 -36.77392268 -059.05985838
112 -36.77394294 -059.05973693 -36.77397132 -059.05969332
112 -36.77462203 -059.05866024 -36.77465224 -059.05861566
112 -36.77474360 -059.05860860 -36.77478480 -059.05861889
112 -36.77571966 -059.05888343 -36.77576086 -059.05889714
112 -36.77614369 -059.05888746 -36.77617940 -059.05889089
112 -36.77620840 -059.05881836 -36.77618642 -059.05878064
112 -36.77594314 -059.05848927 -36.77591017 -059.05845155
112 -36.77578321 -059.05846033 -36.77574201 -059.05845004
112 -36.77201633 -059.05765770 -36.77199436 -059.05765427
112 -36.77197137 -059.05760490 -36.77196862 -059.05758090
112 -36.77097544 -059.05264299 -36.77096399 -059.05258870
112 -36.77096263 -059.05243164 -36.77094890 -059.05240021
112 -36.77081477 -059.05236892 -36.77076213 -059.05236892
114 -36.77068991 -059.05250464 -36.77067617 -059.05255322
112 -36.77207341 -059.05811997 -36.77206604 -059.05807988
112 -36.77211938 -059.05805334 -36.77214930 -059.05806213
111 -36.77443234 -059.05852289
112 -36.77446556 -059.05858807 -36.77445132 -059.05862954
112 -36.77354952 -059.06005160 -36.77349731 -059.06012863
111 -36.77344036 -059.06014048
111 -36.77320304 -059.06017011
112 -36.77309387 -059.06025306 -36.77306065 -059.06029454
112 -36.77273790 -059.06085744 -36.77269044 -059.06092854
114 -36.77261948 -059.06084715 -36.77260300 -059.06079572
130 Airport Boundary
111 -36.77306816 -059.06389811
111 -36.77683926 -059.05920028
111 -36.77093309 -059.05193354
113 -36.76715836 -059.05674520
14 -36.77346551 -059.06098573  82.02 0 Tower Viewpoint
1300 -36.77374769 -059.06015685 355.31 misc jets|turboprops|props Grass Hangar Apron
1301 B none 
1300 -36.77307876 -059.06056786 268.19 misc jets|turboprops|props Grass 1
1301 B none 
1300 -36.77338480 -059.06065579 355.31 misc jets|turboprops|props Grass 2
1301 B none 
19 -36.77260651 -059.06282051 1 WS
19 -36.76826640 -059.05659274 1 WS
19 -36.77118253 -059.05297054 1 WS
19 -36.77551284 -059.05822414 1 WS
99
