I
1050 Generated by WorldEditor 2.2.0r2

1      4 0 0 7FA1 Sugar Loaf Shores
1302 gui_label 2D
100 5.93 2 0 0.00 0 0 0 10  24.64957005 -081.58189121    0    0 0 0 0 0 28  24.64822400 -081.57419300   32    0 0 0 0 0
110 4 0.00 0.0000 New Taxiway 4
112  24.64839896 -081.57375160  24.64839250 -081.57371546
111  24.64839896 -081.57375160
112  24.64839896 -081.57375160  24.64839651 -081.57373788
111  24.64835301 -081.57371670
111  24.64829858 -081.57387991
111  24.64823876 -081.57385245
112  24.64823876 -081.57385245  24.64827469 -081.57381204
111  24.64833370 -081.57369401
111  24.64836599 -081.57367737
111  24.64837016 -081.57368238
111  24.64841175 -081.57366061
111  24.64842191 -081.57367793
111  24.64845647 -081.57365982
111  24.64843262 -081.57360094
111  24.64846668 -081.57358486
111  24.64844657 -081.57354626
111  24.64846903 -081.57353597
111  24.64848986 -081.57357004
111  24.64854250 -081.57354268
111  24.64856366 -081.57357723
111  24.64860016 -081.57360619
111  24.64861743 -081.57359385
111  24.64858712 -081.57354126
111  24.64863588 -081.57351768
111  24.64868358 -081.57353996
111  24.64884444 -081.57394294
111  24.64848155 -081.57410931
111  24.64851095 -081.57425799
111  24.64838453 -081.57433332
111  24.64834639 -081.57416304
111  24.64828055 -081.57420106
112  24.64828055 -081.57420106  24.64824653 -081.57412198
112  24.64836519 -081.57388220  24.64838182 -081.57383766
111  24.64836519 -081.57388220
114  24.64836519 -081.57388220  24.64837724 -081.57384992
110 2 0.00 0.0000 New Taxiway 3
111  24.64821125 -081.57420507
112  24.64822667 -081.57410904  24.64823609 -081.57406328
111  24.64822667 -081.57410904
112  24.64822667 -081.57410904  24.64823165 -081.57408485
111  24.64829858 -081.57387991
111  24.64835301 -081.57371670
112  24.64839896 -081.57375160  24.64840141 -081.57376531
111  24.64839896 -081.57375160
112  24.64839896 -081.57375160  24.64840542 -081.57378773
112  24.64836519 -081.57388220  24.64835313 -081.57391449
111  24.64836519 -081.57388220
112  24.64836519 -081.57388220  24.64834855 -081.57392674
112  24.64828055 -081.57420106  24.64831456 -081.57428015
111  24.64828055 -081.57420106
113  24.64825658 -081.57425269
110 2 0.00 0.0000 New Taxiway 2
111  24.64949234 -081.58178687
112  24.64949234 -081.58178687  24.64950358 -081.58177363
111  24.64952146 -081.58177023
111  24.64957036 -081.58177793
111  24.64960206 -081.58180070
111  24.64961655 -081.58188058
113  24.64951379 -081.58190220
130 Airport Boundary 1
111  24.64808018 -081.57363261
111  24.64869248 -081.57341224
111  24.64890708 -081.57395685
111  24.64854084 -081.57414574
111  24.64856373 -081.57426851
111  24.64839206 -081.57436925
111  24.64861018 -081.57563366
111  24.64873304 -081.57641839
111  24.64930104 -081.57954167
111  24.64929417 -081.57967389
111  24.64950705 -081.58092430
111  24.64963409 -081.58154384
111  24.64982057 -081.58256987
111  24.64959447 -081.58251928
111  24.64953267 -081.58220951
111  24.64910145 -081.57981817
111  24.64896773 -081.57914090
111  24.64869916 -081.57745952
111  24.64817444 -081.57459094
111  24.64809331 -081.57401526
113  24.64805152 -081.57373249
1300  24.64856511 -081.57372031 -117.96 tie_down turboprops|props GA Ramp 4
1301 A general_aviation 
1300  24.64852486 -081.57395942 103.88 tie_down turboprops|props GA Ramp 2
1301 A general_aviation 
1300  24.64842482 -081.57418840 103.88 tie_down turboprops|props GA Ramp 1
1301 A general_aviation 
1300  24.64866170 -081.57391893 103.88 tie_down turboprops|props GA Ramp 3
1301 A general_aviation 
19  24.64959872 -081.58243876 0 New Windsock 1
51 12290 Sugar Loaf Shores
99
