A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      210 0 0 EGSA Shipdham
100   17.98   1   0 0.00 0 0 0 02   52.62572919  000.92593892   91.14    0.00 1  0 0 0 20   52.63297840  000.92998876    0.00    0.00 1  0 0 0
110   1 0.00   0.00 tar
111  52.63326460  000.92699129 
111  52.63327402  000.92658469 
111  52.63307927  000.92658763 
111  52.63307025  000.92712461 
111  52.63313418  000.92713495 
111  52.63313222  000.92733398 
111  52.63319106  000.92753753 
111  52.63313143  000.92947416 
111  52.63293217  000.92958662 
111  52.63072801  000.92827397 
111  52.63056860  000.92850378 
111  52.63299630  000.92986691 
111  52.63294860  000.93010261 
111  52.62571074  000.92605938 
111  52.62575466  000.92582410 
111  52.62862580  000.92742443 
111  52.62866233  000.92722341 
111  52.62550551  000.92539381 
111  52.62516835  000.92260832 
111  52.62514333  000.92241925 
111  52.62510768  000.92231562 
111  52.62492685  000.92240062 
111  52.62630018  000.93385592 
111  52.63025533  000.92884264 
111  52.63316067  000.93046477 
111  52.63330004  000.92969047 
113  52.63339517  000.92699993 
111  52.62647860  000.93272861 
111  52.62633737  000.93273215 
111  52.62559239  000.92624701 
113  52.62975911  000.92857681 
110   2 0.00   0.00 conc
111  52.62516835  000.92260832 
112  52.62558918  000.92243282  52.62590107  000.92239172 
111  52.62746645  000.92263476 
111  52.63115740  000.92331603 
112  52.63162361  000.92342976  52.63208982  000.92354350 
112  52.63248198  000.92373622  52.63275238  000.92392046 
112  52.63296325  000.92427907  52.63301316  000.92439007 
111  52.63291485  000.92461206 
111  52.63023982  000.92803322 
111  52.62866233  000.92722341 
111  52.62862580  000.92742443 
111  52.63056860  000.92850378 
111  52.63072801  000.92827397 
111  52.63316565  000.92525908 
111  52.63328189  000.92541776 
111  52.63327402  000.92658469 
111  52.63326460  000.92699129 
111  52.63339517  000.92699993 
111  52.63343798  000.92488432 
111  52.63315237  000.92422495 
112  52.63244167  000.92339873  52.63200252  000.92317263 
112  52.62749248  000.92242221  52.62729037  000.92238110 
111  52.62722762  000.92248517 
112  52.62585029  000.92230598  52.62564069  000.92229776 
111  52.62547081  000.92232100 
113  52.62514333  000.92241925 
110   3 0.00   0.00 grass
111  52.63307025  000.92712461 
111  52.63294688  000.92711006 
112  52.63305392  000.92754418  52.63308411  000.92775672 
111  52.63304569  000.92866113 
112  52.63298805  000.92931231  52.63296884  000.92945249 
111  52.63293217  000.92958662 
111  52.63313143  000.92947416 
111  52.63319106  000.92753753 
111  52.63313222  000.92733398 
113  52.63313418  000.92713495 
130 Airport Boundary 2
111  52.63559094  000.93468930 
111  52.63535132  000.93200918 
111  52.63543960  000.93109503 
111  52.63538915  000.93013933 
111  52.63521259  000.92905897 
111  52.63497297  000.92849802 
111  52.63337753  000.92879210 
111  52.63344566  000.92499306 
111  52.63388034  000.92473768 
111  52.63352492  000.92140906 
111  52.63303192  000.92152671 
111  52.63263064  000.91973234 
111  52.63076183  000.92148893 
111  52.62859492  000.91723403 
111  52.62724204  000.91971382 
111  52.62704713  000.91995935 
111  52.62595794  000.92086590 
111  52.62541908  000.92118697 
111  52.62497722  000.92127271 
111  52.62507980  000.92221566 
111  52.62486845  000.92229020 
111  52.62612373  000.93299044 
111  52.62406911  000.93576654 
111  52.62357320  000.93563426 
111  52.62319485  000.93776827 
111  52.62184196  000.94530340 
111  52.62461652  000.94770199 
111  52.62506366  000.94704100 
111  52.62582036  000.94675772 
111  52.62665732  000.94596454 
111  52.62731952  000.94859874 
111  52.62744406  000.94883770 
111  52.62760375  000.94887486 
111  52.62790701  000.94883527 
111  52.62826363  000.94890823 
111  52.62840279  000.94882689 
111  52.62806753  000.94628560 
111  52.62764332  000.94617228 
111  52.62694394  000.94033662 
111  52.63115164  000.93761689 
111  52.63104846  000.93674807 
111  52.63209178  000.93640809 
113  52.63213764  000.93552039 
14   52.63302466  000.92649470   30 0 ATC Tower
15   52.63318017  000.92724572  56.31 Apron 1
15   52.63314175  000.92773411   0.00 Grass 1
15   52.63314175  000.92756227   3.79 Grass 2
19   52.62594200  000.92531400 0 WS
19   52.63301100  000.93068700 0 WS

99
