I
1130 Generated by WorldEditor 2.2.0r2

1   2009 0 0 F06 Marian Airpark
1302 gui_label 2D
100 18.29 1 0 0.25 0 2 0 12  34.84850494 -100.19819968  160    0 1 0 0 0 30  34.84060500 -100.18872477    0    0 1 0 0 0
100 41.15 3 0 0.25 0 0 0 4  34.84372451 -100.19784219    0    0 0 0 0 0 22  34.84566728 -100.19543350    0    0 0 0 0 0
100 18.29 1 0 0.25 0 0 0 17  34.84820072 -100.19827358   67    0 1 0 0 0 35  34.84319576 -100.19826318    0    0 1 0 0 0
110 3 0.00 0.0000 Taxiway 6
111  34.84836209 -100.19906384
111  34.84819243 -100.19837240
111  34.84836672 -100.19837848
111  34.84836672 -100.19837848
113  34.84840328 -100.19899584
110 3 0.00 0.0000 Taxiway 5
111  34.84320867 -100.19918014
111  34.84320379 -100.19856719
111  34.84341643 -100.19856964
111  34.84341813 -100.19904833
111  34.84791424 -100.19906862
111  34.84791938 -100.19919191
111  34.84744460 -100.19919405
111  34.84744507 -100.19923682
111  34.84732816 -100.19923682
113  34.84732788 -100.19919372
110 3 0.00 0.0000 Taxiway 4
111  34.84319734 -100.19816541
111  34.84359630 -100.19768213
111  34.84385550 -100.19799470
113  34.84358474 -100.19816661
110 3 0.00 0.0000 Taxiway 3
111  34.84761108 -100.19682968
111  34.84620764 -100.19513911
112  34.84620764 -100.19513911  34.84616865 -100.19510050
112  34.84609337 -100.19515775  34.84605247 -100.19520909
111  34.84609337 -100.19515775
111  34.84579501 -100.19559151
111  34.84553469 -100.19528093
111  34.84590879 -100.19493462
112  34.84590879 -100.19493462  34.84599307 -100.19487572
112  34.84628182 -100.19504822  34.84645582 -100.19522601
111  34.84628182 -100.19504822
113  34.84769259 -100.19673345
110 1 0.00 0.0000 Taxiway 2
111  34.84844849 -100.19826887
111  34.84836630 -100.19837884
111  34.84819243 -100.19837240
111  34.84817252 -100.19816796
111  34.84821173 -100.19815652
112  34.84821173 -100.19815652  34.84825036 -100.19814220
112  34.84825200 -100.19803916  34.84822646 -100.19797758
111  34.84825200 -100.19803916
113  34.84825427 -100.19803614
110 1 0.00 0.0000 Taxiway 1
111  34.84358830 -100.19835962
111  34.84341744 -100.19857257
111  34.84320156 -100.19857018
113  34.84320016 -100.19836200
110 1 0.00 0.0000 Taxiway main
111  34.84754258 -100.19691052
111  34.84761108 -100.19682968
111  34.84769259 -100.19673345
111  34.84773810 -100.19667931
111  34.84778317 -100.19662078
112  34.84778317 -100.19662078  34.84779273 -100.19660035
112  34.84777611 -100.19653191  34.84776243 -100.19651118
111  34.84777611 -100.19653191
111  34.84738864 -100.19600845
111  34.84751827 -100.19584986
111  34.84764274 -100.19600672
111  34.84796912 -100.19643413
111  34.84800258 -100.19639308
111  34.84812391 -100.19654817
111  34.84821405 -100.19665416
111  34.84829746 -100.19675484
111  34.84830290 -100.19676140
111  34.84830940 -100.19676922
111  34.84826981 -100.19681655
111  34.84836476 -100.19693066
111  34.84840330 -100.19688223
111  34.84840688 -100.19688626
111  34.84851995 -100.19702216
111  34.84853692 -100.19704130
111  34.84862090 -100.19713943
111  34.84863906 -100.19716944
111  34.84869146 -100.19731371
111  34.84884539 -100.19749637
111  34.84887907 -100.19770534
111  34.84891612 -100.19793522
111  34.84874950 -100.19814273
111  34.84864544 -100.19815109
111  34.84843376 -100.19906504
111  34.84842931 -100.19923914
111  34.84839158 -100.19924167
111  34.84822070 -100.19924386
111  34.84820431 -100.19924343
111  34.84808974 -100.19923981
111  34.84792136 -100.19923934
111  34.84791938 -100.19919191
111  34.84791424 -100.19906862
111  34.84836209 -100.19906384
111  34.84840328 -100.19899584
111  34.84861707 -100.19811712
112  34.84861707 -100.19811712  34.84861707 -100.19809623
112  34.84858543 -100.19809720  34.84856997 -100.19811120
111  34.84858543 -100.19809720
113  34.84855860 -100.19812705
110 2 0.00 0.0000 Taxiway h1
111  34.84853692 -100.19704130
111  34.84863651 -100.19691709
111  34.84871992 -100.19701737
113  34.84862090 -100.19713943
110 2 0.00 0.0000 Taxiway h2
111  34.84840688 -100.19688626
111  34.84850471 -100.19676735
111  34.84861656 -100.19690160
113  34.84851995 -100.19702216
110 2 0.00 0.0000 Taxiway h3
111  34.84826981 -100.19681655
111  34.84830940 -100.19676922
111  34.84830290 -100.19676140
111  34.84836940 -100.19668294
111  34.84845374 -100.19678307
111  34.84838743 -100.19686222
111  34.84840330 -100.19688223
113  34.84836476 -100.19693066
110 2 0.00 0.0000 Taxiway h4
111  34.84821405 -100.19665416
111  34.84827963 -100.19657798
111  34.84836274 -100.19667725
113  34.84829746 -100.19675484
110 2 0.00 0.0000 Taxiway h5
111  34.84800258 -100.19639308
111  34.84819588 -100.19615112
111  34.84832337 -100.19630199
113  34.84812391 -100.19654817
110 2 0.00 0.0000 Taxiway h7
111  34.84762684 -100.19572134
111  34.84775447 -100.19587344
111  34.84764274 -100.19600672
113  34.84751827 -100.19584986
110 2 0.00 0.0000 Taxiway h8
111  34.84839158 -100.19924167
111  34.84839147 -100.19948147
111  34.84822120 -100.19948194
113  34.84822070 -100.19924386
110 2 0.00 0.0000 Taxiway h9
111  34.84820431 -100.19924343
111  34.84820385 -100.19938946
111  34.84808999 -100.19938866
113  34.84808974 -100.19923981
110 2 0.00 0.0000 Taxiway h11
111  34.84744507 -100.19923682
111  34.84744570 -100.19937139
111  34.84732865 -100.19937171
113  34.84732816 -100.19923682
130 Airport Boundary
111  34.84906888 -100.19954561
111  34.84785097 -100.19956420
111  34.84785096 -100.19949449
111  34.84239778 -100.19951832
111  34.84240487 -100.19453826
111  34.84349209 -100.19454460
111  34.84351668 -100.19334611
111  34.83851236 -100.18735396
111  34.84047315 -100.18732664
111  34.84603135 -100.19404661
111  34.84613808 -100.19392302
111  34.84757066 -100.19569902
111  34.84761523 -100.19565333
111  34.84783687 -100.19580745
111  34.84803789 -100.19583941
113  34.84905585 -100.19724783
120 Linear Feature hold2
111  34.84867767 -100.19780367 4
115  34.84887907 -100.19770534
120 Linear Feature hold1
111  34.84773844 -100.19667988 4
115  34.84867767 -100.19780367
