I
1050 Generated by WorldEditor

1   1328 1 0 EDQW Weiden
100 11.00 2 0 0.25 0 0 0 14  49.68069820  012.11450323    0    0 1 0 0 0 32  49.67654701  012.11916014    0    0 1 0 0 0
102 H1  49.67867298  012.11762460 -36.87 20.00 20.00 15 0 0 0.00 0
110 2 0.00 0.0000 New Taxiway 76
111  49.67880227  012.11834872
111  49.67869497  012.11810131
111  49.67864849  012.11799414
111  49.67844821  012.11821743
111  49.67864750  012.11864091
111  49.67870276  012.11857385
111  49.67865064  012.11846629
111  49.67867863  012.11843349
113  49.67869134  012.11846074
110 3 0.00 0.0000 New Taxiway 75
111  49.68005073  012.11577420
111  49.67887395  012.11708003
111  49.67882598  012.11697400
112  49.67888301  012.11662555  49.67899805  012.11643656
111  49.67888301  012.11662555
111  49.67857398  012.11696990
112  49.67877027  012.11702729  49.67883550  012.11714348
111  49.67877027  012.11702729
111  49.67882164  012.11713787
111  49.67691816  012.11927482
112  49.67691816  012.11927482  49.67695132  012.11916619
112  49.67698448  012.11882186  49.67698846  012.11878087
111  49.67698182  012.11875012
111  49.67657598  012.11920923
111  49.67661860  012.11930690
111  49.67665688  012.11926662
112  49.67684654  012.11945518  49.67696989  012.11946953
111  49.67684654  012.11945518
111  49.67885779  012.11718858
111  49.67888285  012.11724174
111  49.67892270  012.11719400
111  49.67889938  012.11714713
111  49.67936697  012.11662594
111  49.67937908  012.11664885
111  49.67940997  012.11661497
111  49.67939991  012.11659586
113  49.68008298  012.11584259
110 2 0.00 0.0000 New Taxiway 78
111  49.68010297  012.11657722
111  49.68012090  012.11661497
111  49.68022007  012.11682365
111  49.68022343  012.11683071
111  49.68038473  012.11664033
113  49.68026699  012.11639105
110 2 0.00 0.0000 New Taxiway 77
111  49.68024344  012.11620055
111  49.68022847  012.11616584
111  49.68020751  012.11616468
111  49.68017883  012.11619792
111  49.68017606  012.11622947
111  49.68019254  012.11626303
111  49.68020894  012.11626601
113  49.68024270  012.11622600
110 2 0.00 0.0000 New Taxiway 73
111  49.67969104  012.11687172
111  49.67967492  012.11688985
111  49.67910799  012.11752717
111  49.67923975  012.11782116
111  49.67960045  012.11742535
111  49.67962104  012.11746226
113  49.67984175  012.11720263
110 2 0.00 0.0000 New Taxiway 81
111  49.68107302  012.11547876
111  49.68124200  012.11569900
111  49.68143890  012.11531255
111  49.68129141  012.11511701
111  49.68127420  012.11515288
113  49.68125012  012.11512042
110 2 0.00 0.0000 New Taxiway 80
111  49.68102466  012.11585084
111  49.68116190  012.11603223
111  49.68126446  012.11583669
113  49.68112435  012.11565300
110 2 0.00 0.0000 New Taxiway 79
111  49.68078265  012.11601129
111  49.68093281  012.11621273
111  49.68105305  012.11598257
111  49.68099547  012.11590877
113  49.68089735  012.11578277
110 1 0.00 0.0000 New Taxiway 72
111  49.67997701  012.11678430
111  49.68007877  012.11698684
111  49.68022007  012.11682365
113  49.68012090  012.11661497
110 1 0.00 0.0000 New Taxiway 71
111  49.67976237  012.11647164
111  49.67984299  012.11645204
113  49.67979227  012.11635405
110 3 0.00 0.0000 New Taxiway 74
111  49.68074129  012.11454967
111  49.68071744  012.11457697
111  49.68047225  012.11485082
111  49.68049516  012.11526924
111  49.68011455  012.11569957
111  49.68012150  012.11571464
112  49.68016170  012.11575515  49.68019218  012.11577598
111  49.68016170  012.11575515
111  49.68027059  012.11563139
111  49.68049811  012.11588503
111  49.68064446  012.11585111
111  49.68077160  012.11561191
111  49.68091997  012.11523839
111  49.68080062  012.11507685
111  49.68082792  012.11503465
111  49.68091177  012.11514877
111  49.68100421  012.11495026
112  49.68100421  012.11495026  49.68099017  012.11487069
113  49.68095117  012.11481644
110 1 0.00 0.0000 New Taxiway 70
111  49.67967492  012.11688985
111  49.67964025  012.11680583
111  49.67958537  012.11686400
112  49.67958537  012.11686400  49.67954749  012.11688818
111  49.67951243  012.11683736
111  49.67940997  012.11661497
111  49.67937908  012.11664885
111  49.67947474  012.11685983
112  49.67947474  012.11685983  49.67950192  012.11694764
111  49.67947375  012.11699534
111  49.67924356  012.11726022
111  49.67921566  012.11719554
111  49.67905324  012.11737879
112  49.67905324  012.11737879  49.67902779  012.11739962
111  49.67900441  012.11736031
111  49.67892270  012.11719400
111  49.67888285  012.11724174
111  49.67921267  012.11794549
111  49.67924556  012.11790238
111  49.67910182  012.11759822
112  49.67910182  012.11759822  49.67908985  012.11756120
113  49.67910799  012.11752717
110 1 0.00 0.0000 New Taxiway 19
111  49.68049085  012.11593403
111  49.68034512  012.11574959
111  49.68020944  012.11577483
112  49.68016170  012.11575515  49.68013123  012.11573432
111  49.68012150  012.11571464
111  49.68011455  012.11569957
111  49.68001221  012.11547777
112  49.68000341  012.11542729  49.68000181  012.11539203
111  49.68001221  012.11535545
111  49.67986853  012.11551511
112  49.67991005  012.11551131  49.67992726  012.11551812
111  49.67993934  012.11553796
111  49.68005073  012.11577420
111  49.68008298  012.11584259
111  49.68017552  012.11603887
113  49.68032376  012.11623303
110 1 0.00 0.0000 New Taxiway 18
111  49.68071744  012.11457697
111  49.68074129  012.11454967
111  49.68095117  012.11481644
112  49.68100421  012.11495026  49.68101825  012.11502983
111  49.68100967  012.11506720
111  49.68098315  012.11515039
112  49.68096443  012.11517811  49.68095087  012.11519127
111  49.68093245  012.11517691
111  49.68091177  012.11514877
111  49.68082792  012.11503465
111  49.68080062  012.11507685
111  49.68091997  012.11523839
112  49.68093167  012.11527335  49.68093437  012.11529520
111  49.68092620  012.11532519
112  49.68083884  012.11558559  49.68082763  012.11561219
112  49.68080998  012.11564225  49.68080557  012.11564782
111  49.68079516  012.11564346
111  49.68077160  012.11561191
111  49.68064446  012.11585111
111  49.68074810  012.11600701
112  49.68076430  012.11600386  49.68077389  012.11600488
111  49.68078265  012.11601129
111  49.68089735  012.11578277
111  49.68099547  012.11590877
111  49.68102466  012.11585084
111  49.68112435  012.11565300
111  49.68112859  012.11564459
111  49.68104521  012.11553502
111  49.68107302  012.11547876
111  49.68125012  012.11512042
111  49.68125527  012.11511001
111  49.68095707  012.11472198
111  49.68073521  012.11442608
111  49.68071823  012.11438910
113  49.68065436  012.11445787
110 1 0.00 0.0000 New Taxiway 69
111  49.67871457  012.11774884
111  49.67878016  012.11788454
112  49.67878016  012.11788454  49.67873184  012.11795186
111  49.67873666  012.11805381
111  49.67869497  012.11810131
111  49.67880227  012.11834872
111  49.67882545  012.11840125
111  49.67901569  012.11818617
112  49.67906675  012.11819889  49.67908976  012.11822418
111  49.67906675  012.11819889
111  49.67915486  012.11806781
112  49.67911533  012.11804108  49.67909621  012.11801935
111  49.67911533  012.11804108
112  49.67899345  012.11788836  49.67893765  012.11780982
111  49.67899345  012.11788836
112  49.67899345  012.11788836  49.67887687  012.11776208
111  49.67880322  012.11785400
111  49.67873981  012.11772036
111  49.67879746  012.11765418
111  49.67869287  012.11743019
111  49.67854711  012.11759437
113  49.67865334  012.11781709
130 Airport Boundary 17
111  49.68144879  012.11510191
111  49.68068019  012.11419200
111  49.67626950  012.11914317
112  49.67631528  012.11963839  49.67642878  012.11986882
111  49.67659804  012.11976740
111  49.67818958  012.11796542
111  49.67859622  012.11889347
111  49.67950105  012.11771571
111  49.67998309  012.11731618
111  49.68062402  012.11654625
111  49.68076405  012.11665862
114  49.68128379  012.11607179  49.68159618  012.11538509
120 Linear Feature 82
111  49.68095707  012.11472198 20
115  49.68095117  012.11481644
14  49.68020730  012.11621476  49.21 0 New Tower Viewpoint 11
1300  49.68072597  012.11579044 205.35 tie_down props Apron North 3
1301 A general_aviation 
1300  49.68099077  012.11562675 246.04 tie_down props Apron North 2
1301 A general_aviation 
1300  49.68109829  012.11513071 244.18 tie_down props Apron North 1
1301 A general_aviation 
1300  49.68076288  012.11545810 204.44 tie_down props Grass 1
1301 A general_aviation 
1300  49.68082226  012.11523488 208.74 tie_down props Grass 2
1301 A general_aviation 
1300  49.68031546  012.11608502 226.47 tie_down props Apron Tower 1
1301 A general_aviation 
1300  49.68037966  012.11589157 200.07 tie_down props Apron Tower 2
1301 A general_aviation 
1300  49.67916723  012.11732916 145.36 tie_down props Apron South
1301 A general_aviation 
18  49.68020730  012.11621476 1 New Airport Beacon 10
54 12025 Weiden Info
99
