I
1050 Generated by WorldEditor

1     20 1 0 EGPB Sumburgh
1302 city Lerwick Shetland Islands
1302 country United Kingdom
1302 datum_lat 59.881388889
1302 datum_lon -1.293888889
1302 faa_code 
1302 iata_code LSI
1302 icao_code EGPB
1302 region_code EG
1302 state Scotland
1302 transition_alt 6000
1302 transition_level 
100 45.11 1 0 0.00 1 3 1 09  59.88071885 -001.30716464  105    0 2 0 0 2 27  59.88222892 -001.28051161   90    0 3 0 0 2
100 45.11 1 0 0.00 0 1 1 06  59.87476400 -001.29047200    0    0 1 0 0 0 24  59.87766900 -001.28267800    0    0 1 0 0 0
100 46.02 1 0 0.00 0 3 1 15  59.88186671 -001.30048728  187    0 4 0 0 0 33  59.87155791 -001.28526710  191    0 4 0 0 0
102 H8  59.87816545 -001.28485061 234.24 25.50 21.18 2 0 0 0.00 1
102 H7  59.87788236 -001.28560750 234.12 25.83 21.18 2 0 0 0.00 1
102 H6  59.87760237 -001.28635823 234.12 25.83 21.18 2 0 0 0.00 1
102 H5  59.87731414 -001.28711306 234.11 25.83 21.18 2 0 0 0.00 1
102 H4  59.87702796 -001.28785970 233.97 26.65 21.69 2 0 0 0.00 1
102 H3  59.87678194 -001.28868632 232.96 27.89 30.84 2 0 0 0.00 1
102 H2  59.87652981 -001.28937362 232.95 27.89 30.84 2 0 0 0.00 1
110 1 0.00 0.0000 New Taxiway 148
111  59.87654356 -001.29761206
111  59.87628086 -001.29690360
111  59.87678588 -001.29616808
113  59.87705085 -001.29687202
110 1 0.00 0.0000 Rwy 27 Ext
111  59.88242944 -001.28962604
112  59.88256519 -001.28917551  59.88258147 -001.28892515
112  59.88279891 -001.28547729  59.88281520 -001.28515739
111  59.88279891 -001.28547729
112  59.88279891 -001.28547729  59.88280706 -001.28531734
112  59.88272505 -001.28486609  59.88267140 -001.28465119
112  59.88258779 -001.28448091  59.88255755 -001.28442527
112  59.88233581 -001.28442046  59.88227532 -001.28442046
111  59.88220258 -001.28455011
111  59.88242501 -001.28056673
111  59.88203291 -001.28047742
111  59.88181564 -001.28425679
111  59.88138470 -001.28417873
111  59.88151818 -001.28146462
111  59.88189965 -001.27997369
111  59.88267474 -001.28008998
111  59.88283984 -001.28172114
111  59.88272328 -001.28385596
111  59.88299055 -001.28521626
111  59.88273546 -001.28933580
111  59.88301020 -001.29004977
111  59.88299813 -001.29017996
111  59.88290369 -001.29030533
111  59.88283148 -001.29011371
111  59.88257138 -001.28944735
111  59.88250950 -001.28953405
111  59.88274660 -001.29023715
111  59.88180225 -001.29161062
113  59.88186666 -001.29046656
110 1 0.00 0.0000 New Taxiway 60
111  59.87790596 -001.28349545 102
112  59.87768006 -001.28332311  59.87747317 -001.28358767
111  59.87768006 -001.28332311
112  59.87768006 -001.28332311  59.87782999 -001.28291314
111  59.87782999 -001.28291314 102
113  59.87802392 -001.28319040
110 1 0.00 0.0000 New Taxiway 60
111  59.87712948 -001.28554252 102
112  59.87691780 -001.28537131  59.87671091 -001.28563587
111  59.87691780 -001.28537131
112  59.87691780 -001.28537131  59.87713704 -001.28478423
112  59.87713705 -001.28478423  59.87735629 -001.28419716
111  59.87713705 -001.28478423
112  59.87713705 -001.28478423  59.87709132 -001.28519541 102
113  59.87728862 -001.28513239
110 1 0.00 0.0000 New Taxiway 60
111  59.87619390 -001.28806141 102
112  59.87598020 -001.28787812  59.87580350 -001.28810151
111  59.87598020 -001.28787812
112  59.87598020 -001.28787812  59.87619944 -001.28729104
112  59.87619944 -001.28729104  59.87641868 -001.28670396
111  59.87619944 -001.28729104
112  59.87619944 -001.28729104  59.87615690 -001.28765472 102
113  59.87634742 -001.28763656
110 1 0.00 0.0000 New Taxiway 61
111  59.87523288 -001.28854853 102
112  59.87507787 -001.28829800  59.87500856 -001.28819326 102
112  59.87490140 -001.28808599  59.87482329 -001.28802255 102
111  59.87454194 -001.28782072 102
112  59.87406995 -001.28743979  59.87378682 -001.28720666
111  59.87406995 -001.28743979
112  59.87406995 -001.28743979  59.87382438 -001.28727574 102
112  59.87384669 -001.28814132  59.87402148 -001.28840610
111  59.87384669 -001.28814132
112  59.87384669 -001.28814132  59.87365601 -001.28786215
112  59.87344935 -001.28755730  59.87324269 -001.28725244
111  59.87344935 -001.28755730
112  59.87344935 -001.28755730  59.87353659 -001.28764073 102
112  59.87371999 -001.28734066  59.87382172 -001.28719671 102
112  59.87411102 -001.28719703  59.87427852 -001.28732913
111  59.87411102 -001.28719703
112  59.87411102 -001.28719703  59.87444603 -001.28746123 102
111  59.87458909 -001.28758232 102
112  59.87495429 -001.28786850  59.87503094 -001.28793126 102
112  59.87515367 -001.28810473  59.87522397 -001.28820871 102
113  59.87531090 -001.28834070
110 1 0.00 0.0000 New Taxiway 59
111  59.87572628 -001.28928394 102
111  59.87555128 -001.28902734
111  59.87566434 -001.28872612 102
113  59.87584312 -001.28898666
110 2 0.00 0.0000 New Taxiway 64
111  59.87837544 -001.29675728
111  59.87846973 -001.29700606
111  59.87851816 -001.29692777
111  59.87856782 -001.29704362
111  59.87833190 -001.29743138
111  59.87853422 -001.29773633
111  59.87900268 -001.29771779
112  59.87916663 -001.29725265  59.87919682 -001.29717349
111  59.87915323 -001.29698164
111  59.87939961 -001.29735085
111  59.87929857 -001.29741962
112  59.87912280 -001.29784630  59.87907036 -001.29796662
112  59.87898201 -001.29829786  59.87897884 -001.29851000
112  59.87879468 -001.29851187  59.87876132 -001.29851504
112  59.87856828 -001.29851820  59.87853332 -001.29851820
112  59.87844430 -001.29826347  59.87843953 -001.29809882
112  59.87835871 -001.29802321  59.87829515 -001.29802321
111  59.87824039 -001.29807751
111  59.87820157 -001.29845210
111  59.87829397 -001.29871184
111  59.87801488 -001.29913219
111  59.87788932 -001.29917925
111  59.87767405 -001.29950276
111  59.87752238 -001.29919556
111  59.87719652 -001.29972038
111  59.87714973 -001.29960277
111  59.87706914 -001.29972855
111  59.87697513 -001.29948334
111  59.87637807 -001.30035729
111  59.87626609 -001.30037569
111  59.87612153 -001.30001398
111  59.87618248 -001.29887398
111  59.87623026 -001.29823013
111  59.87649805 -001.29782185
111  59.87646835 -001.29771152
111  59.87654497 -001.29761206
111  59.87705226 -001.29687202
111  59.87710603 -001.29694150
111  59.87725745 -001.29735921
111  59.87622304 -001.29890378
111  59.87644484 -001.29956794
113  59.87818491 -001.29702658
110 1 0.00 0.0000 New Taxiway 62
111  59.87882648 -001.29650239 102
111  59.87857234 -001.29648454 102
111  59.87837544 -001.29675728
111  59.87818491 -001.29702658
111  59.87644484 -001.29956794
111  59.87622304 -001.29890378
111  59.87725745 -001.29735921
111  59.87710603 -001.29694150
111  59.87718029 -001.29682736
112  59.87680267 -001.29583072  59.87677708 -001.29578483
112  59.87665228 -001.29578849  59.87661389 -001.29575790
112  59.87639717 -001.29553760  59.87637413 -001.29550191
112  59.87610202 -001.29420735  59.87611737 -001.29418186
111  59.87671869 -001.29504987
112  59.87691163 -001.29482905  59.87700337 -001.29457981
111  59.87718758 -001.29408188
111  59.87728160 -001.29421700
112  59.87700590 -001.29496362  59.87688818 -001.29526956
111  59.87697487 -001.29545683
112  59.87760323 -001.29649894  59.87769377 -001.29663894
112  59.87779734 -001.29654532  59.87782618 -001.29650318
111  59.87793322 -001.29635421 102
112  59.87822099 -001.29593257  59.87828636 -001.29582913 102
113  59.87828894 -001.29570983
110 1 0.00 0.0000 New Taxiway 58
112  59.87607242 -001.29057252  59.87620901 -001.29070689
111  59.87607242 -001.29057252
112  59.87607242 -001.29057252  59.87601814 -001.29088911 102
111  59.87608065 -001.29143741
111  59.87564962 -001.29080363 102
112  59.87593582 -001.29043815  59.87596810 -001.29005735
111  59.87593582 -001.29043815
114  59.87593582 -001.29043815  59.87607242 -001.29057252
110 2 0.00 37.0000 New Taxiway 63
111  59.88018723 -001.29402890
111  59.88041662 -001.29466765
111  59.88039131 -001.29517488
111  59.88019222 -001.29549978
113  59.87982433 -001.29456189
110 2 0.00 8.5000 Apron
111  59.87901268 -001.29473324
112  59.87901906 -001.29417597  59.87891966 -001.29402847
112  59.87809951 -001.29279606  59.87806668 -001.29275419 102
112  59.87776950 -001.29295149  59.87766010 -001.29323480 102
112  59.87766010 -001.29323480  59.87755070 -001.29351812
111  59.87766010 -001.29323480
112  59.87766010 -001.29323480  59.87758525 -001.29344152 102
111  59.87767254 -001.29379191
111  59.87728154 -001.29320970 102
112  59.87754104 -001.29308416  59.87761196 -001.29290361
111  59.87754104 -001.29308416
112  59.87754104 -001.29308416  59.87766010 -001.29277319 102
112  59.87766010 -001.29277319  59.87777915 -001.29246222 102
112  59.87762915 -001.29210775  59.87760813 -001.29207897
112  59.87643281 -001.29033047  59.87618671 -001.28996653
111  59.87643281 -001.29033047
112  59.87643281 -001.29033047  59.87616171 -001.29000484
112  59.87607242 -001.29057252  59.87606280 -001.29064148
111  59.87607242 -001.29057252
112  59.87607242 -001.29057252  59.87593582 -001.29043815
111  59.87593582 -001.29043815
112  59.87597124 -001.28999484  59.87598469 -001.28978797
112  59.87585983 -001.28950961  59.87578292 -001.28937552
111  59.87572628 -001.28928394
111  59.87584312 -001.28898666
111  59.87619390 -001.28806141
111  59.87634742 -001.28763656
111  59.87712948 -001.28554252
111  59.87728862 -001.28513239
111  59.87790596 -001.28349545
111  59.87802392 -001.28319040
111  59.87864460 -001.28415140
111  59.87861242 -001.28423908
111  59.87865174 -001.28430442
111  59.87858669 -001.28447972
111  59.87872476 -001.28469659
111  59.87859592 -001.28506812
111  59.87841320 -001.28479836
111  59.87838625 -001.28487234
111  59.87832059 -001.28477366
111  59.87808296 -001.28539896
111  59.87821374 -001.28562328
111  59.87757851 -001.28731494
111  59.87763003 -001.28799919
111  59.87733908 -001.28806700
111  59.87734078 -001.28811447
111  59.87727783 -001.28813481
111  59.87742926 -001.28993170
111  59.87775910 -001.28984597
111  59.87783189 -001.29083531
111  59.87906976 -001.29267496
111  59.87980593 -001.29153277
112  59.88019181 -001.29255473  59.88024680 -001.29268959
111  59.88043825 -001.29261482
111  59.88034929 -001.29275084
113  59.87914360 -001.29453801
110 1 0.00 0.0000 NE disused Bit
111  59.88132917 -001.29286623 102
112  59.88108905 -001.29266392  59.88095379 -001.29287328 102
111  59.88058768 -001.29343201
111  59.88018723 -001.29402890
111  59.87982433 -001.29456189
111  59.87939631 -001.29519204 102
111  59.87901485 -001.29577382
111  59.87866222 -001.29525484 102
111  59.87901268 -001.29473324
111  59.87914360 -001.29453801
111  59.88034929 -001.29275084
111  59.88043825 -001.29261482 102
113  59.88142721 -001.29110376
110 1 0.00 0.0000 Rwy 09 ext
112  59.88040125 -001.30643197  59.88042625 -001.30652392
112  59.88055458 -001.30652518  59.88062957 -001.30652135
111  59.88055458 -001.30652518
112  59.88055458 -001.30652518  59.88052115 -001.30711608
111  59.88052115 -001.30711608
111  59.88072026 -001.30716464
111  59.88091895 -001.30720221
112  59.88095265 -001.30663143  59.88098636 -001.30606064
111  59.88095265 -001.30663143
112  59.88095265 -001.30663143  59.88102956 -001.30663909
112  59.88112747 -001.30651316  59.88118515 -001.30640205
111  59.88155229 -001.30567150
111  59.88168835 -001.30574542
111  59.88112087 -001.30698071
111  59.88107608 -001.30771978
111  59.88028891 -001.30756487
111  59.88032778 -001.30680971
111  59.88009930 -001.30594804
113  59.88026643 -001.30586682
110 1 0.00 0.0000 New Taxiway 146
111  59.87727783 -001.28813481
111  59.87734078 -001.28811447
111  59.87733908 -001.28806700
111  59.87763003 -001.28799919
111  59.87763174 -001.28804327
111  59.87764705 -001.28803649
111  59.87767257 -001.28835857
111  59.87772362 -001.28833823
111  59.87780529 -001.28945027
111  59.87774914 -001.28946722
111  59.87778147 -001.28984016
111  59.87775910 -001.28984597
113  59.87742926 -001.28993170
130 Airport Boundary 53
111  59.88418458 -001.30036669
111  59.88372772 -001.30196891
111  59.88316407 -001.30206573
111  59.88269760 -001.30251108
111  59.88218254 -001.30336306
111  59.88228432 -001.30362365
111  59.88200407 -001.30441364
111  59.88181532 -001.30543479
111  59.88168694 -001.30574542
111  59.88111946 -001.30698071
111  59.88107467 -001.30771978
111  59.88028750 -001.30756487
111  59.88032637 -001.30680971
111  59.88009789 -001.30594804
111  59.88002511 -001.30569352
111  59.87968996 -001.30589862
111  59.87950033 -001.30601429
111  59.87942284 -001.30585047
111  59.87913551 -001.30390472
111  59.87919408 -001.30224585
111  59.87600525 -001.30202751
111  59.87602047 -001.30137453
111  59.87610818 -001.29983881
111  59.87622506 -001.29801776
111  59.87614757 -001.29609939
111  59.87594847 -001.29451323
111  59.87553085 -001.29310031
111  59.87498587 -001.29179225
111  59.87435969 -001.29081578
111  59.87343034 -001.28943216
111  59.87253149 -001.28822241
111  59.87163336 -001.28715739
111  59.87029231 -001.28711878
111  59.87001295 -001.28346957
111  59.87200754 -001.28153834
111  59.87245704 -001.28353247
111  59.87288711 -001.28486346
111  59.87369860 -001.28589913
111  59.87431721 -001.28649496
111  59.87497964 -001.28668347
111  59.87546977 -001.28656731
111  59.87582211 -001.28613721
111  59.87607954 -001.28492154
111  59.87614027 -001.28442312
111  59.87666520 -001.28360487
111  59.87665296 -001.28242864
111  59.87696565 -001.28120942
111  59.87794286 -001.28043422
111  59.87933375 -001.28316434
111  59.87943230 -001.28379943
111  59.87998176 -001.28434461
111  59.88072481 -001.28458200
111  59.88129340 -001.28462554
111  59.88138329 -001.28417873
111  59.88151677 -001.28146462
111  59.88189824 -001.27997369
111  59.88267333 -001.28008998
111  59.88283843 -001.28172114
111  59.88272187 -001.28385596
111  59.88298914 -001.28521626
111  59.88273405 -001.28933580
111  59.88300879 -001.29004977
111  59.88299672 -001.29017996
111  59.88290228 -001.29030533
111  59.88261708 -001.29069034
111  59.88221879 -001.29778301
111  59.88245948 -001.29906582
111  59.88264901 -001.29951120
111  59.88326397 -001.30006806
111  59.88384434 -001.30029551
113  59.88408976 -001.30023731
120 Linear Feature 151
111  59.87908181 -001.29490812 51 101
112  59.87913842 -001.29446136  59.87910445 -001.29421767 51 101
115  59.87904109 -001.29403189
120 Linear Feature 147
111  59.87816684 -001.29701604 54 104
115  59.87792520 -001.29636080
120 Linear Feature 139
111  59.87878110 -001.29792582 51
111  59.87879267 -001.29790181 51
111  59.87876724 -001.29785716 51
111  59.87878686 -001.29780256 51
111  59.87877509 -001.29777901 51
111  59.87875148 -001.29783585 51
111  59.87872914 -001.29779357 51
111  59.87871700 -001.29781961 51
111  59.87874151 -001.29785896 51
111  59.87872288 -001.29790476 51
111  59.87873677 -001.29792746 51
113  59.87875485 -001.29788265 51
120 Linear Feature 139
111  59.87923477 -001.29736017 51
111  59.87925144 -001.29735796 51
111  59.87924773 -001.29729082 51
111  59.87928069 -001.29727680 51
111  59.87927995 -001.29724359 51
111  59.87924329 -001.29725392 51
111  59.87924107 -001.29719268 51
111  59.87922329 -001.29719563 51
111  59.87922811 -001.29725761 51
111  59.87919885 -001.29726647 51
111  59.87920145 -001.29730188 51
113  59.87922996 -001.29729303 51
120 Linear Feature 139
111  59.87685823 -001.29519098 51
111  59.87687489 -001.29518876 51
111  59.87687119 -001.29512162 51
111  59.87690414 -001.29510760 51
111  59.87690340 -001.29507440 51
111  59.87686674 -001.29508473 51
111  59.87686452 -001.29502349 51
111  59.87684675 -001.29502644 51
111  59.87685156 -001.29508842 51
111  59.87682231 -001.29509727 51
111  59.87682490 -001.29513269 51
113  59.87685341 -001.29512383 51
120 Linear Feature 139
111  59.87717322 -001.29432540 51
111  59.87718989 -001.29432318 51
111  59.87718618 -001.29425604 51
111  59.87721914 -001.29424202 51
111  59.87721840 -001.29420882 51
111  59.87718174 -001.29421915 51
111  59.87717952 -001.29415791 51
111  59.87716174 -001.29416086 51
111  59.87716656 -001.29422284 51
111  59.87713730 -001.29423169 51
111  59.87713990 -001.29426711 51
113  59.87716841 -001.29425825 51
120 Linear Feature 139
111  59.87750675 -001.29346392 51
111  59.87752341 -001.29346171 51
111  59.87751971 -001.29339456 51
111  59.87755266 -001.29338054 51
111  59.87755192 -001.29334734 51
111  59.87751526 -001.29335767 51
111  59.87751304 -001.29329643 51
111  59.87749527 -001.29329938 51
111  59.87750008 -001.29336136 51
111  59.87747083 -001.29337021 51
111  59.87747342 -001.29340563 51
113  59.87750193 -001.29339678 51
120 Linear Feature 139
111  59.87779995 -001.29264490 51
111  59.87781662 -001.29264269 51
111  59.87781291 -001.29257554 51
111  59.87784587 -001.29256152 51
111  59.87784513 -001.29252832 51
111  59.87780847 -001.29253865 51
111  59.87780625 -001.29247741 51
111  59.87778848 -001.29248036 51
111  59.87779329 -001.29254234 51
111  59.87776404 -001.29255119 51
111  59.87776663 -001.29258661 51
113  59.87779514 -001.29257776 51
120 Linear Feature 139
111  59.87616402 -001.28780186 51
111  59.87618069 -001.28779965 51
111  59.87617698 -001.28773250 51
111  59.87620994 -001.28771848 51
111  59.87620920 -001.28768528 51
111  59.87617254 -001.28769561 51
111  59.87617032 -001.28763437 51
111  59.87615255 -001.28763732 51
111  59.87615736 -001.28769930 51
111  59.87612811 -001.28770815 51
111  59.87613070 -001.28774357 51
113  59.87615921 -001.28773472 51
120 Linear Feature 139
111  59.87711107 -001.28527491 51
111  59.87712773 -001.28527270 51
111  59.87712403 -001.28520555 51
111  59.87715698 -001.28519153 51
111  59.87715624 -001.28515833 51
111  59.87711959 -001.28516866 51
111  59.87711736 -001.28510742 51
111  59.87709959 -001.28511037 51
111  59.87710440 -001.28517235 51
111  59.87707515 -001.28518120 51
111  59.87707774 -001.28521662 51
113  59.87710625 -001.28520777 51
120 Linear Feature 135
111  59.87690626 -001.29025028 20
111  59.87687996 -001.29032733 20
111  59.87914728 -001.29368224 20
112  59.87932392 -001.29380408  59.87940814 -001.29380408 20
111  59.87949151 -001.29366419 20
115  59.88022073 -001.29257210
120 Linear Feature 134
111  59.87670672 -001.28994207 20
111  59.87688615 -001.28943969 20
115  59.87715065 -001.28915306
120 Linear Feature 136
111  59.87712456 -001.28967601 20
111  59.87717705 -001.29028121 20
115  59.87869909 -001.29253606
120 Linear Feature 133
111  59.87656596 -001.28974174 20
111  59.87690626 -001.29025028 20
111  59.87712456 -001.28967601 20
115  59.87718159 -001.28952599
120 Linear Feature 132
111  59.87661855 -001.28919313 20
111  59.87663248 -001.28915306 20
115  59.87724501 -001.28886335
120 Linear Feature 156
111  59.87459869 -001.28759945 54 104
115  59.87454595 -001.28785031
120 Linear Feature 155
111  59.87361257 -001.28783181 51 101
112  59.87389761 -001.28728333  59.87408329 -001.28707855
111  59.87389761 -001.28728333
112  59.87389761 -001.28728333  59.87406671 -001.28720406 51 101
111  59.87431211 -001.28750334 51 101
111  59.87494947 -001.28801795 51 101
115  59.87526577 -001.28846917
120 Linear Feature 154
111  59.87375023 -001.28848206 51
111  59.87360793 -001.28826326 51
112  59.87358163 -001.28808451  59.87358009 -001.28799206 51
111  59.87361257 -001.28783181 51
112  59.87351667 -001.28800131  59.87346408 -001.28804137 51
111  59.87340375 -001.28795200 51
115  59.87323360 -001.28771778
120 Linear Feature 160
111  59.87612199 -001.29199947 51
112  59.87597969 -001.29174983  59.87591472 -001.29162347 51
111  59.87593864 -001.29120668 51
112  59.87582810 -001.29141697  59.87573375 -001.29148477 51
115  59.87561155 -001.29126287
120 Linear Feature 159
111  59.87596300 -001.29004827 54 104
111  59.87607343 -001.29007437 54 104
115  59.87616326 -001.29026456
120 Linear Feature 158
111  59.87559485 -001.28892681 2
115  59.87526577 -001.28846917
