I
1050 Generated by WorldEditor

1    144 1 0 KAGS Augusta Rgnl At Bush Fld
1302 city Augusta
1302 country United States
1302 datum_lat 33.369944444
1302 datum_lon -81.964500000
1302 faa_code AGS
1302 iata_code AGS
1302 icao_code KAGS
1302 region_code K7
1302 state Georgia
1302 transition_alt 18000
1302 transition_level 18000
100 23.00 1 1 0.00 1 2 1 08  33.36604599 -081.96923789    0    0 2 9 0 0 26  33.36940642 -081.94999217    0    0 2 9 0 0
100 46.00 2 2 0.00 1 2 1 17  33.38239025 -081.97084303    0   61 2 9 0 0 35  33.36087287 -081.96548481    0   61 2 9 0 0
110 1 0.00 0.0000 New Taxiway 104
111  33.36861240 -081.97217493
111  33.36834924 -081.97343313
111  33.36828229 -081.97341427
111  33.36822912 -081.97364299
111  33.36788646 -081.97354867
111  33.36786873 -081.97362884
111  33.36760879 -081.97354867
111  33.36762454 -081.97345907
111  33.36729764 -081.97328929
111  33.36733309 -081.97313838
111  33.36747347 -081.97316443
111  33.36748749 -081.97308249
111  33.36764708 -081.97314048
113  33.36789125 -081.97197179
110 1 0.00 0.0000 New Taxiway 103
111  33.36972635 -081.97304580
111  33.36961056 -081.97365357
111  33.36919047 -081.97352356
113  33.36932119 -081.97292777
110 1 0.00 0.0000 New Taxiway 102
111  33.37056070 -081.97348781
111  33.37052979 -081.97363382
111  33.37032184 -081.97357281
111  33.37028008 -081.97377382
111  33.36984245 -081.97364482
113  33.36991761 -081.97329280
110 1 0.00 0.0000 New Taxiway 101
111  33.37115189 -081.97366401
111  33.37106457 -081.97408459
111  33.37051128 -081.97391584
113  33.37059443 -081.97349563
110 1 0.00 0.0000 New Taxiway 100
111  33.37210493 -081.97208942
111  33.37205381 -081.97233642
111  33.37183320 -081.97226982
111  33.37182587 -081.97233424
111  33.37185644 -081.97240013
111  33.37187967 -081.97238110
111  33.37193958 -081.97250555
111  33.37183198 -081.97257730
111  33.37177451 -081.97245284
111  33.37179041 -081.97243966
111  33.37174761 -081.97235913
111  33.37176350 -081.97226543
111  33.37173660 -081.97225518
111  33.37170359 -081.97241624
111  33.37153729 -081.97237524
111  33.37159355 -081.97189662
111  33.37168847 -081.97192461
111  33.37168316 -081.97194667
111  33.37178098 -081.97197236
111  33.37178896 -081.97194910
111  33.37185575 -081.97197363
111  33.37185070 -081.97199530
111  33.37196387 -081.97203185
111  33.37195441 -081.97208136
111  33.37202545 -081.97210558
113  33.37203424 -081.97206635
110 1 0.00 0.0000 New Taxiway 99
111  33.37421020 -081.97282358
111  33.37411637 -081.97329721
111  33.37293517 -081.97296471
111  33.37304624 -081.97244520
111  33.37345732 -081.97255723
111  33.37347571 -081.97248610
111  33.37345166 -081.97236360
111  33.37351133 -081.97206974
111  33.37352948 -081.97207657
111  33.37355541 -081.97193623
111  33.37403023 -081.97206839
111  33.37400228 -081.97221252
111  33.37402852 -081.97222345
111  33.37398403 -081.97243861
111  33.37395836 -081.97242768
111  33.37395208 -081.97247277
111  33.37391957 -081.97246115
113  33.37386554 -081.97273187
110 1 0.00 0.0000 New Taxiway 98
111  33.36966284 -081.97168041
111  33.36963644 -081.97173169
111  33.36958524 -081.97171935
111  33.36958267 -081.97165111
113  33.36962678 -081.97163067
110 2 0.00 0.0000 New Taxiway 2
111  33.36724279 -081.96682328 53 102
112  33.36738755 -081.96670372  33.36741418 -081.96657793 53 102
112  33.36859444 -081.95982160  33.36862004 -081.95967541 53 102
111  33.36842547 -081.95960198 53 102
112  33.36816424 -081.95953809  33.36793974 -081.95948386 53 102
111  33.36782930 -081.95963925
111  33.36792661 -081.95907817 53 102
112  33.36819314 -081.95935175  33.36841961 -081.95940834 53 102
111  33.36846104 -081.95942096 53 102
112  33.36867558 -081.95932247  33.36870315 -081.95918570 53 102
112  33.36984418 -081.95269416  33.36988750 -081.95246779 53 102
111  33.36970270 -081.95233995 53 102
