I
1050 Generated by WorldEditor 1.6.0r1

1     40 0 0 EGEN North Ronaldsay
100 17.98 1 0 0.00 0 0 0 10  59.36772800 -002.43826900    0    0 0 0 0 0 28  59.36736700 -002.43008600    0    0 0 0 0 0
100 17.98 1 0 0.00 0 1 0 03  59.36602317 -002.43282261    0    0 0 0 0 0 21  59.36868271 -002.43019039    0    0 0 0 0 0
100 29.87 3 0 0.00 0 0 0 14  59.36826500 -002.43528421    0    0 0 0 0 0 32  59.36598145 -002.43036772    0    0 0 0 0 0
110 3 0.25 0.0000 New Taxiway 5
111  59.36694925 -002.43207375
111  59.36731057 -002.43172472
112  59.36734154 -002.43173909  59.36735765 -002.43176521
111  59.36736224 -002.43180388
113  59.36743558 -002.43310556
110 3 0.25 0.0000 New Taxiway 4
111  59.36588748 -002.43054984
111  59.36571855 -002.43023079
111  59.36602700 -002.43005867
113  59.36608310 -002.43019819
110 1 0.25 0.0000 New Taxiway 3
111  59.36782295 -002.43865349
111  59.36766132 -002.43865177
111  59.36764702 -002.43827066
113  59.36780807 -002.43824500
110 1 0.25 0.0000 New Taxiway 2
111  59.36782295 -002.43865349
112  59.36789358 -002.43904792  59.36794819 -002.43936524
111  59.36789358 -002.43904792
112  59.36789358 -002.43904792  59.36790878 -002.43923331
111  59.36778934 -002.43929611
112  59.36763515 -002.43907513  59.36763902 -002.43882810
111  59.36763515 -002.43907513
112  59.36763515 -002.43907513  59.36764898 -002.43883166
113  59.36766132 -002.43865177
110 1 0.00 0.0000 New Taxiway 33
111  59.36750717 -002.43150932
111  59.36762086 -002.43140295
112  59.36759165 -002.43152686  59.36760603 -002.43158331
111  59.36759165 -002.43152686
112  59.36759165 -002.43152686  59.36760603 -002.43158331
111  59.36766582 -002.43154493
112  59.36799937 -002.43122853  59.36802043 -002.43120860
111  59.36801773 -002.43116447
111  59.36803493 -002.43114904
112  59.36804870 -002.43106461  59.36803967 -002.43101959
111  59.36800171 -002.43102036
111  59.36812025 -002.43090345
112  59.36812730 -002.43097830  59.36814532 -002.43101956
111  59.36817640 -002.43100849
111  59.36857240 -002.43063000
112  59.36855786 -002.43055948  59.36854470 -002.43051151
111  59.36851429 -002.43051346
111  59.36871624 -002.43032431
111  59.36871584 -002.43051224
111  59.36877826 -002.43079795
111  59.36875163 -002.43083209
111  59.36881585 -002.43105182
111  59.36876545 -002.43112533
111  59.36869747 -002.43088073
111  59.36809069 -002.43148427
111  59.36804887 -002.43129307
112  59.36786231 -002.43146338  59.36767575 -002.43163369
111  59.36786231 -002.43146338
112  59.36786231 -002.43146338  59.36776489 -002.43155480
112  59.36761722 -002.43171320  59.36757527 -002.43175467
111  59.36761722 -002.43171320
112  59.36761722 -002.43171320  59.36753331 -002.43179615
113  59.36752809 -002.43198711
110 1 0.00 0.0000 New Taxiway 32
111  59.36748330 -002.43105143
112  59.36752026 -002.43112100  59.36753571 -002.43114861
111  59.36757718 -002.43111083
113  59.36749261 -002.43120588
110 1 0.00 0.0000 New Taxiway 32
111  59.36727002 -002.43143604
112  59.36731510 -002.43129883  59.36732437 -002.43126207
111  59.36734532 -002.43113399
113  59.36734941 -002.43134829
110 1 0.00 0.0000 New Taxiway 32
111  59.36736224 -002.43180388
112  59.36734154 -002.43173909  59.36732543 -002.43171297
111  59.36731057 -002.43172472
113  59.36735730 -002.43167838
110 1 0.00 0.0000 New Taxiway 7
111  59.36842949 -002.43027171
112  59.36849446 -002.43006574  59.36855480 -002.43000469
113  59.36864686 -002.43005538
110 1 0.00 0.0000 New Taxiway 6
111  59.36600968 -002.43267876
112  59.36608429 -002.43248159  59.36614463 -002.43242054
113  59.36620788 -002.43248284
110 1 0.00 0.0000 New Taxiway 5
111  59.36626226 -002.43274250
112  59.36619076 -002.43292071  59.36613503 -002.43297833
113  59.36607786 -002.43292505
110 1 0.00 0.0000 New Taxiway 4
111  59.36744861 -002.43010077
112  59.36751759 -002.43031848  59.36752410 -002.43045110
113  59.36746784 -002.43054157
110 1 0.00 0.0000 New Taxiway 3
111  59.36730683 -002.43055455
112  59.36724902 -002.43035814  59.36724243 -002.43023519
113  59.36728885 -002.43015077
130 Airport Boundary 29
111  59.36916310 -002.42782143
111  59.36930921 -002.42848914
111  59.36933716 -002.42934875
111  59.36946289 -002.43009641
111  59.36914839 -002.43093959
111  59.36817139 -002.43168421
111  59.36853661 -002.43534585
111  59.36812375 -002.43590678
111  59.36897330 -002.44067470
111  59.36745681 -002.44106423
111  59.36729008 -002.44087726
111  59.36708365 -002.43709097
113  59.36517329 -002.43023081
21  59.36720545 -002.43102307 2 274.9646 3.00 New Light Fixture 2
21  59.36791418 -002.43831518 2 94.4826 3.00 New Light Fixture 1
14  59.36874345 -002.43116867  29.53 0 Tower
1300  59.36840439 -002.43090119 120.00 tie_down props GA 05
1301 B general_aviation 
1300  59.36847477 -002.43082750 120.00 tie_down props GA 04
1301 B general_aviation 
1300  59.36853789 -002.43076053 120.00 tie_down props GA 03
1301 B general_aviation 
1300  59.36860749 -002.43069247 120.00 tie_down props GA 02
1301 B general_aviation 
1300  59.36867811 -002.43063037 120.00 tie_down props GA 01
1301 B none 
99
