I
1050 Generated by WorldEditor

1     16 1 0 NZNV Invercargill
1302 city Invercargill
1302 country New Zealand
1302 datum_lat -46.412408
1302 datum_lon 	168.312992
1302 iata_code IVC
1302 icao_code NZNV
1302 transition_alt 1000
100 45.00 1 0 0.00 1 1 0 04 -46.41894016  168.30065385  137    0 3 0 0 1 22 -46.41045468  168.32674541  172    0 3 0 0 1
100 25.00 3 0 0.00 0 0 0 12 -46.41212198  168.31425433   30    0 1 0 0 0 30 -46.41769985  168.32083597   91    0 1 0 0 0
100 20.00 3 0 0.00 0 0 0 04R -46.41578180  168.31506738    0    0 1 0 0 0 22L -46.41305204  168.32351883    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 26
111 -46.41718004  168.32356898
111 -46.41722218  168.32344356
111 -46.41729670  168.32350052
111 -46.41718036  168.32382281
111 -46.41715067  168.32380347
112 -46.41715067  168.32380347 -46.41716764  168.32375689
111 -46.41712462  168.32369450
111 -46.41664399  168.32334296
113 -46.41669413  168.32318527
110 2 0.00 0.0000 New Taxiway 25
111 -46.41674559  168.32307926
111 -46.41722218  168.32344356
111 -46.41718004  168.32356898
113 -46.41669413  168.32318527
110 2 0.00 0.0000 New Taxiway 20
111 -46.41499389  168.32590580
111 -46.41525260  168.32590580
111 -46.41525018  168.32619845
111 -46.41502385  168.32619705
111 -46.41499406  168.32619886
113 -46.41499417  168.32595749
110 2 0.00 0.0000 New Taxiway 19
111 -46.41590304  168.32122581
111 -46.41607939  168.32158801
111 -46.41533085  168.32230234
113 -46.41515577  168.32190070
110 2 0.00 0.0000 New Taxiway 17
111 -46.41497275  168.32248607
111 -46.41506990  168.32248988
111 -46.41507155  168.32268802
111 -46.41510019  168.32268802
111 -46.41510239  168.32251145
111 -46.41515527  168.32251225
111 -46.41515968  168.32282144
113 -46.41496635  168.32281664
110 2 0.00 0.0000 New Taxiway 16
111 -46.41497671  168.32295948
111 -46.41531791  168.32296007
111 -46.41531259  168.32349018
113 -46.41497988  168.32350166
110 2 0.00 0.0000 New Taxiway 14
111 -46.41495741  168.32430769
111 -46.41503482  168.32430023
111 -46.41503603  168.32443732
111 -46.41523718  168.32443557
111 -46.41523961  168.32480291
111 -46.41498488  168.32481949
111 -46.41497806  168.32444839
113 -46.41495627  168.32445269
110 2 0.00 0.0000 New Taxiway 13
111 -46.41499139  168.32382272
111 -46.41522526  168.32381218
111 -46.41523556  168.32419183
113 -46.41499509  168.32419565
110 3 0.00 0.0000 New Taxiway 12
111 -46.41503695  168.31327794
111 -46.41553554  168.31393510
112 -46.41578384  168.31503379 -46.41561569  168.31567203
111 -46.41578384  168.31503379
111 -46.41594828  168.31514776
112 -46.41594828  168.31523894 -46.41592970  168.31528660
111 -46.41589828  168.31527002
111 -46.41582106  168.31521938
111 -46.41566150  168.31511701
111 -46.41560340  168.31506032
112 -46.41558140  168.31496230 -46.41560026  168.31491671
111 -46.41564741  168.31493267
111 -46.41570869  168.31498281
112 -46.41552640  168.31406876 -46.41526467  168.31373824
111 -46.41552640  168.31406876
113 -46.41499477  168.31340564
110 3 0.00 0.0000 New Taxiway 2
111 -46.41497626  168.32008806
112 -46.41497626  168.32008806 -46.41499431  168.32001157
111 -46.41507341  168.31982639
112 -46.41562989  168.31884813 -46.41568678  168.31873943
111 -46.41564270  168.31861118
111 -46.41586473  168.31888090
112 -46.41586473  168.31888090 -46.41580146  168.31882360
111 -46.41571038  168.31890650
111 -46.41567707  168.31902526
111 -46.41574229  168.31910779
112 -46.41572980  168.31918428 -46.41571315  168.31921246
111 -46.41568678  168.31923460
111 -46.41558409  168.31916214
111 -46.41534263  168.31960109
112 -46.41534263  168.31960109 -46.41575066  168.31941842
111 -46.41601409  168.31972395
111 -46.41722497  168.32114794
111 -46.41733623  168.32111900
111 -46.41749323  168.32079481
111 -46.41763217  168.32095952
111 -46.41751664  168.32120689
111 -46.41744324  168.32113202
111 -46.41729541  168.32146616
111 -46.41734529  168.32185570
112 -46.41728341  168.32189477 -46.41726769  168.32194264
111 -46.41728341  168.32189477
111 -46.41684252  168.32300450
112 -46.41686241  168.32307385 -46.41688495  168.32308787
111 -46.41686241  168.32307385
111 -46.41732283  168.32342239
111 -46.41729670  168.32350052
111 -46.41722218  168.32344356
111 -46.41674559  168.32307926
111 -46.41679896  168.32302198
111 -46.41723530  168.32191092
111 -46.41721150  168.32164772
111 -46.41720444  168.32140059
112 -46.41720444  168.32140059 -46.41720444  168.32131741
111 -46.41713771  168.32119340
111 -46.41595958  168.31982770
112 -46.41545559  168.31972071 -46.41522500  168.31982878
111 -46.41545559  168.31972071
112 -46.41545559  168.31972071 -46.41513819  168.31990111
111 -46.41508805  168.32006430
111 -46.41495339  168.32084571
113 -46.41485436  168.32086655
110 3 0.00 0.0000 New Taxiway 1
111 -46.41326089  168.32317655
112 -46.41330211  168.32337360 -46.41336317  168.32342009
111 -46.41330211  168.32337360
111 -46.41431116  168.32402745
111 -46.41428153  168.32097855
111 -46.41439975  168.32103481
112 -46.41445146  168.32123038 -46.41445516  168.32131075
111 -46.41445146  168.32123038
111 -46.41445516  168.32178763
111 -46.41436333  168.32215598
111 -46.41436835  168.32253241
111 -46.41445435  168.32284513
111 -46.41446962  168.32304883
111 -46.41447719  168.32529354
111 -46.41463319  168.32529456
111 -46.41467177  168.32536262
111 -46.41467513  168.32576440
111 -46.41429564  168.32575998
111 -46.41428998  168.32419078
111 -46.41324999  168.32353173
111 -46.41322345  168.32362108
111 -46.41313719  168.32360596
111 -46.41285663  168.32339562
111 -46.41288128  168.32329251
111 -46.41300450  168.32334613
111 -46.41385820  168.32068716
113 -46.41403454  168.32080854
110 2 0.00 0.0000 New Taxiway 15
111 -46.41497472  168.32496663
111 -46.41506632  168.32496121
111 -46.41507035  168.32505128
111 -46.41523486  168.32505245
111 -46.41523567  168.32528405
111 -46.41513003  168.32528990
111 -46.41512761  168.32542325
111 -46.41497586  168.32541974
113 -46.41497716  168.32528329
110 1 0.00 0.0000 New Taxiway 7
111 -46.41307939  168.31934083
112 -46.41308144  168.31966922 -46.41310204  168.31972427
111 -46.41315335  168.31982844
111 -46.41461420  168.32080637
111 -46.41485605  168.32086606
