I
1050 Generated by WorldEditor 2.0.0r4

1    214 0 0 5S6 Cape Blanco State
100 45.72 1 0 0.25 0 0 0 14  42.86453572 -124.52128711    0    0 1 0 0 0 32  42.85148331 -124.51442001    0    0 1 0 0 0
110 3 0.00 0.0000 New Taxiway 6
111  42.85893906 -124.52031380
111  42.85893865 -124.52024550
111  42.85897317 -124.52023732
113  42.85897300 -124.52031688
110 2 0.00 0.0000 New Taxiway 5
111  42.85897300 -124.52031688
111  42.85897374 -124.52035829
111  42.85901238 -124.52035841
111  42.85900917 -124.52048218
111  42.85889780 -124.52047923
111  42.85890039 -124.52035489
111  42.85893660 -124.52035518
113  42.85893906 -124.52031380
110 2 0.00 0.0000 New Taxiway 4
111  42.85797469 -124.52025395
111  42.85810190 -124.52022369
111  42.85811909 -124.52036509
113  42.85799070 -124.52039280
110 2 0.00 0.0000 New Taxiway 4
111  42.85812372 -124.52021787
111  42.85825246 -124.52019227
111  42.85826797 -124.52033296
113  42.85813985 -124.52036061
110 2 0.00 0.0000 New Taxiway 4
111  42.85827430 -124.52018568
111  42.85840201 -124.52016022
111  42.85841751 -124.52030068
113  42.85828999 -124.52032821
110 2 0.00 0.0000 New Taxiway 4
111  42.85872484 -124.52037204
111  42.85873549 -124.52045308
111  42.85874505 -124.52045063
111  42.85876696 -124.52063941
111  42.85862638 -124.52067170
111  42.85860374 -124.52048301
111  42.85861540 -124.52048036
113  42.85860608 -124.52039982
110 2 0.00 0.0000 New Taxiway 3
111  42.85766947 -124.52014432
111  42.85767908 -124.52014939
111  42.85761918 -124.52035944
111  42.85748825 -124.52028943
111  42.85749150 -124.52027806
113  42.85754778 -124.52008086
110 2 0.00 0.0000 New Taxiway 3
111  42.85749077 -124.52018714
111  42.85746855 -124.52026688
111  42.85743158 -124.52039917
111  42.85725249 -124.52030852
113  42.85731417 -124.52008644
110 2 0.00 0.0000 New Taxiway 2
111  42.85684072 -124.51902845
111  42.85673186 -124.51914753
112  42.85672460 -124.51918975  42.85672579 -124.51921269
111  42.85672460 -124.51918975
111  42.85675599 -124.51923096
111  42.85673814 -124.51931869
111  42.85675417 -124.51932694
111  42.85667102 -124.51961039
111  42.85646040 -124.51949937
111  42.85654394 -124.51921631
111  42.85654872 -124.51921922
111  42.85661382 -124.51899874
111  42.85664452 -124.51905471
111  42.85665624 -124.51906245
111  42.85667808 -124.51906245
113  42.85678872 -124.51893922
110 1 0.00 0.0000 New Taxiway 1
111  42.85609592 -124.51710890
112  42.85596376 -124.51725269  42.85600534 -124.51743012
111  42.85596376 -124.51725269
111  42.85598466 -124.51728792
111  42.85727369 -124.51946542
111  42.85777773 -124.51973153
111  42.85779521 -124.51973171
111  42.85981540 -124.51930558
111  42.85984541 -124.51929925
112  42.85984669 -124.51907585  42.85973492 -124.51890924
111  42.85984669 -124.51907585
111  42.86039664 -124.51936745
111  42.85983762 -124.51948807
111  42.85881664 -124.51970148
112  42.85876320 -124.51983887  42.85876384 -124.51993748
111  42.85876320 -124.51983887
111  42.85879500 -124.52012448
