I
1050 Generated by WorldEditor 2.3.0r2

1   3450 0 0 CAJ7 A.J. Flying Ranch
100 15.24 1 0 0.25 0 0 0 07  50.45344578 -113.75699561    0    0 1 0 0 0 25  50.45412741 -113.73842183    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 50
111  50.45454024 -113.75730604
111  50.45453969 -113.75719537
111  50.45445154 -113.75719210
111  50.45445053 -113.75698892
111  50.45457680 -113.75699149
111  50.45457665 -113.75697273
111  50.45477023 -113.75696861
111  50.45477071 -113.75721845
111  50.45459966 -113.75722211
113  50.45459966 -113.75730691
110 1 0.00 0.0000 New Taxiway 48
111  50.45352374 -113.75656717
112  50.45352374 -113.75656717  50.45354053 -113.75676497
111  50.45362089 -113.75681395
111  50.45367324 -113.75681648
111  50.45417963 -113.75684100
111  50.45426396 -113.75677217
111  50.45435735 -113.75669594
111  50.45435335 -113.75658605
111  50.45450228 -113.75657506
111  50.45450328 -113.75665198
111  50.45460124 -113.75661902
112  50.45478082 -113.75641807  50.45486328 -113.75630426
111  50.45478082 -113.75641807
111  50.45481830 -113.75649264
112  50.45481830 -113.75649264  50.45477998 -113.75653581
111  50.45476226 -113.75661800
111  50.45475948 -113.75681969
111  50.45457541 -113.75682015
111  50.45457665 -113.75697273
111  50.45457680 -113.75699149
111  50.45445053 -113.75698892
111  50.45445154 -113.75719210
111  50.45453969 -113.75719537
111  50.45454024 -113.75730604
111  50.45432887 -113.75730664
111  50.45432787 -113.75715908
112  50.45420293 -113.75703192  50.45415422 -113.75701766
111  50.45420293 -113.75703192
111  50.45366836 -113.75700768
113  50.45350806 -113.75700041
110 1 0.00 0.0000 New Taxiway 47
111  50.45405844 -113.73843674
111  50.45406234 -113.73831181
112  50.45406234 -113.73831181  50.45406118 -113.73827093
112  50.45403535 -113.73817838  50.45402416 -113.73810600
111  50.45403535 -113.73817838
112  50.45403535 -113.73817838  50.45399097 -113.73776582
112  50.45426924 -113.73814227  50.45422546 -113.73843489
111  50.45426924 -113.73814227
112  50.45426924 -113.73814227  50.45424698 -113.73826482
112  50.45419925 -113.73835861  50.45419578 -113.73841312
111  50.45419925 -113.73835861
113  50.45419434 -113.73845519
130 Airport Boundary 52
111  50.45213702 -113.75886718
111  50.45184483 -113.75858236
111  50.45176563 -113.73664244
111  50.45203853 -113.73619216
111  50.45530890 -113.73611603
111  50.45542584 -113.73621336
113  50.45539937 -113.75883726
120 Linear Feature 51
111  50.45367324 -113.75681648 4
115  50.45366836 -113.75700768
120 Linear Feature 49
112  50.45450328 -113.75665198  50.45452627 -113.75688589 1
116  50.45426396 -113.75677217  50.45419411 -113.75657402
1300  50.45458422 -113.75709337 -179.75 hangar props Hangar
1301 A none 
19  50.45349808 -113.74435865 1 New Windsock 12
51 12300 CTAF
99
