A
1000 Generated by WorldEditor

1    526 1 0 KSDM BROWN FLD MUNI
100 22.86 1 0 0.00 0 1 0 08R  32.57156650 -116.98432173    0    0 1 0 0 0 26L  32.57070807 -116.97411633    0    0 1 0 0 0
100 46.02 1 1 0.00 1 2 0 08L  32.57376211 -116.99349404    0    0 2 0 0 0 26R  32.57163423 -116.96774162    0    0 2 0 0 0
102 H27  32.57007225 -116.98457415  15.31 22.86 22.86 2 0 0 0.00 0
110 1 0.00 0.0000 New Taxiway 4
111  32.57152742 -116.99289038
111  32.57142102 -116.99290612
111  32.57140969 -116.99279027
113  32.57151609 -116.99277452
110 1 0.00 0.0000 New Taxiway 4
111  32.57021705 -116.98696500
111  32.57011292 -116.98699535
111  32.57009029 -116.98688185
113  32.57019442 -116.98685150
110 1 0.00 0.0000 New Taxiway 4
111  32.57013302 -116.98653682
111  32.57002888 -116.98656716
111  32.57000625 -116.98645366
113  32.57011039 -116.98642332
110 1 0.00 0.0000 New Taxiway 4
111  32.57062733 -116.98639018
111  32.57052320 -116.98642052
111  32.57050057 -116.98630702
113  32.57060471 -116.98627668
110 1 0.00 0.0000 New Taxiway 4
111  32.57095439 -116.98969323
111  32.57085025 -116.98972357
111  32.57082762 -116.98961007
113  32.57093176 -116.98957973
110 1 0.00 0.0000 New Taxiway 4
111  32.57128405 -116.99216650
111  32.57112972 -116.99218709
111  32.57111328 -116.99203558
113  32.57126762 -116.99201499
110 1 0.00 0.0000 New Taxiway 4
111  32.57140452 -116.99290856
111  32.57129812 -116.99292431
111  32.57128679 -116.99280845
113  32.57139319 -116.99279271
110 1 0.00 0.0000 New Taxiway 4
111  32.57009677 -116.98700005
111  32.56999263 -116.98703040
111  32.56997001 -116.98691690
113  32.57007414 -116.98688655
110 1 0.00 0.0000 New Taxiway 4
111  32.57001273 -116.98657187
111  32.56990860 -116.98660221
111  32.56988597 -116.98648871
113  32.56999011 -116.98645837
110 1 0.00 0.0000 New Taxiway 4
111  32.57050705 -116.98642523
111  32.57040292 -116.98645557
111  32.57038029 -116.98634207
113  32.57048443 -116.98631173
110 1 0.00 0.0000 New Taxiway 4
111  32.57083410 -116.98972828
111  32.57072997 -116.98975862
111  32.57070734 -116.98964512
113  32.57081148 -116.98961478
110 1 0.00 0.0000 New Taxiway 4
111  32.57110475 -116.99219042
111  32.57095042 -116.99221101
111  32.57093399 -116.99205950
113  32.57108832 -116.99203891
110 1 0.00 0.0000 New Taxiway 4
111  32.57128091 -116.99292685
111  32.57117450 -116.99294260
111  32.57116317 -116.99282674
113  32.57126958 -116.99281100
110 1 0.00 0.0000 New Taxiway 4
111  32.56997579 -116.98703531
111  32.56987166 -116.98706565
111  32.56984903 -116.98695215
113  32.56995316 -116.98692181
110 1 0.00 0.0000 New Taxiway 4
111  32.56989176 -116.98660712
111  32.56978762 -116.98663747
111  32.56976500 -116.98652396
113  32.56986913 -116.98649362
110 1 0.00 0.0000 New Taxiway 4
111  32.57038607 -116.98646048
111  32.57028194 -116.98649083
111  32.57025931 -116.98637733
113  32.57036345 -116.98634698
110 1 0.00 0.0000 New Taxiway 4
111  32.57071313 -116.98976353
111  32.57060899 -116.98979388
111  32.57058636 -116.98968038
113  32.57069050 -116.98965003
110 1 0.00 0.0000 New Taxiway 4
111  32.57092752 -116.99221407
111  32.57077318 -116.99223466
111  32.57075675 -116.99208314
113  32.57091109 -116.99206256
110 1 0.00 0.0000 New Taxiway 4
111  32.57115871 -116.99294493
111  32.57105231 -116.99296068
111  32.57104098 -116.99284482
113  32.57114738 -116.99282908
110 1 0.00 0.0000 New Taxiway 4
111  32.56985620 -116.98707016
111  32.56975207 -116.98710050
111  32.56972944 -116.98698700
113  32.56983358 -116.98695665
110 1 0.00 0.0000 New Taxiway 4
111  32.56977217 -116.98664197
111  32.56966804 -116.98667231
111  32.56964541 -116.98655881
113  32.56974954 -116.98652847
110 1 0.00 0.0000 New Taxiway 4
111  32.57026649 -116.98649533
111  32.57016235 -116.98652567
111  32.57013973 -116.98641217
113  32.57024386 -116.98638183
110 1 0.00 0.0000 New Taxiway 4
111  32.57059354 -116.98979838
111  32.57048940 -116.98982873
111  32.57046678 -116.98971522
113  32.57057091 -116.98968488
110 1 0.00 0.0000 New Taxiway 3
111  32.57011506 -116.98862777 20
111  32.57007015 -116.98842748 20
111  32.57071338 -116.98822002 20
113  32.57075326 -116.98842099 20
110 1 0.00 0.0000 New Taxiway 2
111  32.57033379 -116.98936053 20
111  32.57040734 -116.98968055 20
111  32.57020350 -116.98974604 20
113  32.57013132 -116.98942652 20
110 1 0.00 0.0000 New Taxiway 2
111  32.57014820 -116.98799140 20
111  32.57022175 -116.98831142 20
111  32.57001791 -116.98837691 20
113  32.56994573 -116.98805739 20
110 1 0.00 0.0000 New Taxiway 2
111  32.57070029 -116.99023650 20
111  32.57042380 -116.99028540 20
111  32.57039306 -116.99003748 20
113  32.57066896 -116.98999014 20
110 1 0.00 0.0000 New Taxiway 2
111  32.57082290 -116.99076525 20
111  32.57054641 -116.99081415 20
111  32.57051567 -116.99056623 20
113  32.57079157 -116.99051890 20
110 1 0.00 0.0000 New Taxiway 2
111  32.57095150 -116.99127271 20
111  32.57067501 -116.99132161 20
111  32.57064427 -116.99107370 20
113  32.57092017 -116.99102636 20
110 1 0.00 0.0000 New Taxiway 2
111  32.57158543 -116.99329462 20
111  32.57130895 -116.99334352 20
111  32.57127820 -116.99309560 20
113  32.57155411 -116.99304826 20
110 2 0.00 0.0000 New Taxiway 11
111  32.57081053 -116.97410575
111  32.57060591 -116.97413006
111  32.57014032 -116.96860340
113  32.57034374 -116.96857903
110 1 0.00 0.0000 New Taxiway 12
111  32.57000133 -116.98472314 1
111  32.56994541 -116.98448859 1
111  32.57014466 -116.98442504 1
113  32.57019821 -116.98465866 1
110 2 0.00 0.0000 New Taxiway 22
111  32.57007270 -116.98416222
112  32.57035697 -116.98433651  32.57051906 -116.98429691
111  32.57055661 -116.98428004
111  32.57107141 -116.98413671
111  32.57111520 -116.98473223
111  32.57121941 -116.98540005
111  32.57157570 -116.98965850
111  32.57180114 -116.98963716
111  32.57205276 -116.99280073
112  32.57223869 -116.99299024  32.57242223 -116.99306661
111  32.57284413 -116.99303550
111  32.57313971 -116.99298176
112  32.57337092 -116.99250657  32.57338522 -116.99211906
111  32.57338522 -116.99211906
111  32.57346177 -116.99352423
111  32.57345539 -116.99352908
111  32.57320715 -116.99361432
