I
1050 Generated by WorldEditor

1   1161 0 0 KBML BERLIN MUNI
100 30.00 2 0 0.00 0 3 1 18  44.58204039 -071.17949798    0    0 2 0 0 1 36  44.56871268 -071.17236318    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 45
111  44.57338174 -071.17682816
111  44.57333568 -071.17702312
111  44.57331323 -071.17701436
111  44.57329039 -071.17712051
111  44.57323508 -071.17709130
111  44.57326123 -071.17699284
111  44.57319346 -071.17696022
113  44.57324000 -071.17676072
110 3 0.00 0.0000 New Taxiway 44
111  44.57324000 -071.17676072
111  44.57322813 -071.17668159
111  44.57364448 -071.17520585
111  44.57384128 -071.17530858
111  44.57366742 -071.17596885
112  44.57355777 -071.17628497  44.57354393 -071.17633495
111  44.57355431 -071.17639675
111  44.57344867 -071.17679959
113  44.57338174 -071.17682816
110 1 0.00 0.0000 New Taxiway 27
111  44.57836828 -071.17994206
111  44.57835858 -071.17994352
111  44.57829143 -071.17990996
111  44.57832953 -071.17975036
111  44.57846314 -071.17981938
113  44.57842444 -071.17997077
110 1 0.00 0.0000 New Taxiway 26
111  44.57851633 -071.18002048
111  44.57851031 -071.18001715
111  44.57850988 -071.18002108
111  44.57850600 -071.18001927
111  44.57849890 -071.18001504
111  44.57845078 -071.17999073
111  44.57845217 -071.17998537
111  44.57849659 -071.17980745
111  44.57863638 -071.17987622
111  44.57859227 -071.18005438
113  44.57853582 -071.18003022
110 1 0.00 0.0000 New Taxiway 25
111  44.57867696 -071.18009677
111  44.57867019 -071.18009750
111  44.57861941 -071.18007227
111  44.57861232 -071.18006886
111  44.57865873 -071.17988266
111  44.57880110 -071.17995746
111  44.57875441 -071.18013643
113  44.57874884 -071.18013333
110 1 0.00 0.0000 New Taxiway 24
111  44.57889155 -071.18020316
111  44.57888374 -071.18020535
111  44.57882072 -071.18017208
111  44.57886899 -071.17998561
111  44.57899332 -071.18004996
111  44.57894376 -071.18023496
113  44.57893165 -071.18022838
110 1 0.00 0.0000 New Taxiway 23
111  44.57926703 -071.18079327
111  44.57914464 -071.18073118
111  44.57918582 -071.18057915
113  44.57930744 -071.18064125
110 1 0.00 0.0000 New Taxiway 22
111  44.57910353 -071.18053443
111  44.57905285 -071.18072373
111  44.57891738 -071.18065249
113  44.57896626 -071.18046581
110 1 0.00 0.0000 New Taxiway 21
111  44.57887250 -071.18062540
111  44.57875465 -071.18057535
111  44.57880197 -071.18039282
111  44.57880370 -071.18038114
111  44.57892155 -071.18044051
113  44.57891947 -071.18044538
110 1 0.00 0.0000 New Taxiway 20
111  44.57857206 -071.18090629
111  44.57845651 -071.18084438
111  44.57855085 -071.18049720
113  44.57866529 -071.18056146
110 1 0.00 0.0000 New Taxiway 19
111  44.57874529 -071.18054811
111  44.57860750 -071.18047250
111  44.57865332 -071.18030633
113  44.57878429 -071.18038309
110 1 0.00 0.0000 New Taxiway 18
111  44.57856826 -071.18045521
111  44.57846284 -071.18040011
111  44.57850488 -071.18023247
113  44.57861321 -071.18028987
110 1 0.00 0.0000 New Taxiway 17
111  44.57847962 -071.18022041
111  44.57846456 -071.18027826
111  44.57843305 -071.18026498
111  44.57841872 -071.18032169
111  44.57836974 -071.18029957
111  44.57838549 -071.18023965
111  44.57835312 -071.18022477
113  44.57836686 -071.18016374
110 1 0.00 0.0000 New Taxiway 16
111  44.57834732 -071.18014948
111  44.57834576 -071.18015569
111  44.57833390 -071.18019773
111  44.57829838 -071.18017923
111  44.57828234 -071.18023272
111  44.57824711 -071.18021422
111  44.57826229 -071.18016234
111  44.57822619 -071.18014143
111  44.57823536 -071.18010643
113  44.57823947 -071.18009077
110 1 0.00 0.0000 New Taxiway 15
111  44.57810162 -071.18002766
111  44.57821326 -071.18008142
111  44.57821051 -071.18009379
111  44.57817845 -071.18021626
111  44.57807863 -071.18016562
111  44.57810673 -071.18006140
113  44.57809575 -071.18005613
110 1 0.00 0.0000 New Taxiway 14
111  44.57804911 -071.18000086
111  44.57808824 -071.18002134
111  44.57808188 -071.18004864
111  44.57805221 -071.18016797
111  44.57792345 -071.18010262
111  44.57790835 -071.18015796
111  44.57782866 -071.18011910
111  44.57784418 -071.18006552
111  44.57777833 -071.18003078
113  44.57781590 -071.17988456
110 1 0.00 0.0000 New Taxiway 13
111  44.57763089 -071.17973027
111  44.57757827 -071.17985936
111  44.57754262 -071.17983286
111  44.57753382 -071.17985524
111  44.57752165 -071.17984346
111  44.57752962 -071.17982285
111  44.57740673 -071.17972393
113  44.57746131 -071.17959275
110 1 0.00 0.0000 New Taxiway 12
111  44.57766686 -071.17988087
111  44.57762677 -071.17985237
111  44.57764606 -071.17980749
113  44.57768564 -071.17983884
