I
1050 Generated by WorldEditor 2.0.0r4

1    155 0 0 KMCE Merced Regional Airport
1302 city Merced
1302 country United States
1302 datum_lat 37.28475
1302 datum_lon -120.513916667
1302 faa_code MCE
1302 iata_code MCE
1302 icao_code KMCE
1302 region_code K2
1302 state California
1302 transition_alt 18000
1302 transition_level 18000
100 45.72 1 0 0.00 0 3 0 12  37.29083025 -120.52068476    0  101 3 0 0 1 30  37.27866207 -120.50720128    0  104 3 8 0 0
110 2 0.00 0.0000 New Taxiway 3
111  37.28718354 -120.51310276
111  37.28714451 -120.51315039
111  37.28710944 -120.51310639
113  37.28714678 -120.51306016
110 1 0.00 0.0000 New Taxiway 11
111  37.27847139 -120.50747497
111  37.27783711 -120.50676331
112  37.27783711 -120.50676331  37.27777754 -120.50669038
111  37.27781266 -120.50662712
111  37.27810572 -120.50620884
112  37.27820170 -120.50621967  37.27825876 -120.50627544
111  37.27820170 -120.50621967
111  37.27876678 -120.50683687
111  37.27888569 -120.50694169
112  37.27888569 -120.50694169  37.27884879 -120.50696552
113  37.27879963 -120.50702804
110 2 0.00 0.0000 New Taxiway 5
111  37.28767096 -120.50936094
111  37.28747846 -120.50931216
111  37.28753443 -120.50896607
113  37.28772759 -120.50901070
110 2 0.00 0.0000 New Taxiway 152
111  37.28795264 -120.50902303
111  37.28783943 -120.50899885
111  37.28784868 -120.50892324
111  37.28788070 -120.50893264
111  37.28788867 -120.50887960
111  37.28794032 -120.50889354
111  37.28793071 -120.50895022
113  37.28796001 -120.50895838
110 2 0.00 0.0000 New Taxiway 152
111  37.28879049 -120.50925856
111  37.28867611 -120.50922357
111  37.28868389 -120.50915823
111  37.28871855 -120.50916818
111  37.28872652 -120.50911514
111  37.28877817 -120.50912907
111  37.28876856 -120.50918575
113  37.28879942 -120.50919416
110 2 0.00 0.0000 New Taxiway 152
111  37.28867391 -120.50922101
111  37.28855952 -120.50918601
111  37.28856731 -120.50912067
111  37.28860197 -120.50913062
111  37.28860994 -120.50907758
111  37.28866159 -120.50909152
111  37.28865198 -120.50914820
113  37.28868186 -120.50915784
110 2 0.00 0.0000 New Taxiway 152
111  37.28855557 -120.50918419
111  37.28844119 -120.50914920
111  37.28844898 -120.50908386
111  37.28848363 -120.50909381
111  37.28849160 -120.50904077
111  37.28854325 -120.50905470
111  37.28853365 -120.50911138
113  37.28856352 -120.50912102
110 2 0.00 0.0000 New Taxiway 152
111  37.28843606 -120.50914664
111  37.28832168 -120.50911164
111  37.28832946 -120.50904630
111  37.28836412 -120.50905625
111  37.28837209 -120.50900321
111  37.28842374 -120.50901715
111  37.28841413 -120.50907383
