A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     1213 1 0 LKHV Horovice
100   29.87   1   0 0.00 0 0 0 07   49.84709892  013.89041308    0.00  765.05 1  0 0 0 25   49.85137872  013.90525118    0.00   59.13 1  0 0 0
110   1 0.00  65.90 TWY
111  49.84573520  013.88927826 
111  49.84548198  013.88946094 
111  49.84545095  013.88934855 
111  49.84536503  013.88941368 
111  49.84544546  013.88970914 
111  49.84553836  013.88964225 
111  49.84550916  013.88953116 
113  49.84575705  013.88935739 
110   1 0.00  65.90 TWY
111  49.84563184  013.88891774 
111  49.84538212  013.88908280 
111  49.84536674  013.88904081 
111  49.84527565  013.88909469 
111  49.84532252  013.88929459 
111  49.84542246  013.88923548 
111  49.84539248  013.88912972 
113  49.84564578  013.88896981 
110   2 0.00  65.90 TWY
111  49.84415702  013.88076386 
111  49.84371035  013.88106962 
111  49.84367462  013.88127090 
111  49.84423119  013.88320411 
111  49.84427187  013.88323854 
111  49.84436615  013.88318735 
111  49.84439258  013.88326129 
111  49.84426406  013.88388557 
112  49.84426406  013.88388557  49.84424231  013.88401837 
112  49.84426406  013.88414879  49.84428037  013.88420360 
111  49.84426406  013.88414879 
111  49.84458595  013.88529667 
111  49.84432607  013.88549763 
111  49.84442402  013.88583036 
111  49.84468526  013.88563308 
111  49.84539806  013.88810646 
111  49.84535661  013.88825256 
111  49.84539213  013.88836272 
111  49.84548283  013.88838947 
111  49.84563184  013.88891774 
111  49.84564578  013.88896981 
111  49.84573520  013.88927826 
111  49.84575705  013.88935739 
111  49.84993027  013.90378729 
112  49.84993027  013.90378729  49.84999688  013.90397281 
112  49.85012093  013.90412795  49.85018210  013.90417855 
111  49.85012093  013.90412795 
112  49.85040438  013.90432104  49.85049410  013.90435899 
111  49.85049709  013.90439499 
111  49.85051971  013.90447515 
111  49.85039378  013.90456354 
111  49.85095029  013.90642575 
111  49.85147274  013.90608226 
111  49.85139543  013.90580027 
112  49.85131484  013.90602313  49.85122047  013.90609108 
112  49.85110389  013.90596761  49.85107805  013.90589792 
111  49.85072258  013.90465443 
111  49.85071431  013.90456007 
112  49.85083352  013.90412097  49.85086610  013.90409832 
111  49.85090585  013.90411101 
111  49.85078607  013.90368820 
111  49.85078463  013.90384558 
112  49.85066896  013.90412295  49.85060043  013.90422227 
112  49.85044178  013.90420413  49.85036426  013.90418670 
112  49.85016749  013.90402287  49.85011469  013.90397234 
112  49.85000020  013.90371288  49.84995414  013.90354910 
111  49.84556693  013.88836869 
111  49.84558564  013.88821448 
111  49.84618356  013.88773112 
111  49.84615017  013.88763632 
111  49.84558056  013.88808819 
111  49.84547174  013.88804333 
111  49.84434440  013.88417930 
112  49.84434440  013.88417930  49.84431722  013.88405704 
111  49.84435671  013.88383392 
112  49.84444141  013.88338574  49.84446995  013.88325926 
111  49.84457327  013.88318624 
112  49.84469042  013.88313592  49.84475839  013.88314225 
111  49.84485236  013.88316290 
111  49.84471820  013.88267920 
112  49.84467452  013.88281141  49.84463374  013.88284725 
112  49.84441593  013.88270240  49.84435748  013.88264127 
112  49.84431398  013.88254041  49.84428271  013.88246242 
111  49.84431398  013.88254041 
112  49.84395127  013.88123594  49.84395127  013.88116005 
112  49.84403489  013.88101023  49.84407839  013.88097650 
112  49.84417121  013.88099169  49.84420247  013.88099802 
113  49.84424695  013.88105563 
130 Airport Boundary 10
111  49.83868920  013.87865171 
111  49.84924710  013.91242454 
111  49.85462203  013.90736605 
113  49.84492796  013.87379160 
14   49.84450830  013.88583092   82 0 TW
15   49.84457766  013.88554894 334.41 Pred vezi
19   49.84554612  013.88921003 0 WS
54 12260 INFO

99
