I
1050 Generated by WorldEditor 2.1.0r1

1    433 1 0 UUML Severka
1302 city Kolomna
1302 country Russia
1302 datum_lat 55.20652
1302 datum_lon 38.67903
1302 local_code UUML
1302 region_code UU
1302 state Moscow Oblast
100 20.00 1 0 0.00 0 1 0 05  55.20481624  038.67438923    0    0 0 0 0 0 23  55.20820055  038.68361406    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 69
111  55.20552366  038.67436314
111  55.20552533  038.67439479
111  55.20550827  038.67439890
111  55.20551563  038.67448977
111  55.20553303  038.67448625
111  55.20553571  038.67451615
111  55.20558789  038.67450442
111  55.20558522  038.67447277
111  55.20560261  038.67446925
111  55.20559726  038.67437955
111  55.20557819  038.67438248
113  55.20557685  038.67435141
110 2 0.00 0.0000 New Taxiway 18
111  55.20657470  038.67727628
111  55.20693822  038.67706275
111  55.20686468  038.67668468
111  55.20649692  038.67690332
113  55.20655644  038.67718870
110 2 0.00 0.0000 New Taxiway 16
111  55.20646537  038.67552337
111  55.20644947  038.67545921
111  55.20640178  038.67549720
111  55.20640660  038.67551662
111  55.20640515  038.67552675
111  55.20623432  038.67566065
111  55.20623875  038.67567527
111  55.20641334  038.67554617
113  55.20641720  038.67556136
110 2 0.00 0.0000 New Taxiway 15
111  55.20647376  038.67578924
111  55.20648870  038.67585002
111  55.20654024  038.67581119
113  55.20652483  038.67574788
110 2 0.00 0.0000 New Taxiway 15
111  55.20633482  038.67524816
111  55.20634976  038.67530894
111  55.20640130  038.67527011
113  55.20638589  038.67520680
110 2 0.00 0.0000 New Taxiway 14
111  55.20637717  038.67444408
111  55.20636161  038.67426734
111  55.20605552  038.67433166
111  55.20604215  038.67413798
111  55.20592249  038.67416027
111  55.20594677  038.67448950
111  55.20592538  038.67449356
111  55.20590052  038.67416635
111  55.20570745  038.67420282
111  55.20573924  038.67461107
111  55.20583269  038.67459043
111  55.20592857  038.67456925
111  55.20592648  038.67454737
113  55.20600877  038.67452887
110 2 0.00 0.0000 New Taxiway 13
111  55.20716711  038.67420466
111  55.20714227  038.67387188
111  55.20696330  038.67391686
113  55.20698793  038.67424856
110 2 0.00 0.0000 New Taxiway 12
111  55.20696736  038.67425360
111  55.20694235  038.67391686
111  55.20679265  038.67395090
113  55.20682260  038.67428908
110 2 0.00 0.0000 New Taxiway 11
111  55.20677799  038.67423469
111  55.20675797  038.67400074
111  55.20661784  038.67404207
113  55.20664041  038.67427825
110 2 0.00 0.0000 New Taxiway 10
111  55.20748968  038.67415455
111  55.20748772  038.67412156
111  55.20747274  038.67412525
111  55.20745054  038.67380674
111  55.20727504  038.67384442
