I
1050 Generated by WorldEditor

1    456 1 0 SKVP ALFONSO LOPEZ PUMAREJO
100 30.00 1 0 0.25 1 2 0 02  10.42578891 -073.25100321    0    0 2 0 0 0 20  10.44441809 -073.24773691    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 27
111  10.43270448 -073.24776864
111  10.43269516 -073.24770641
111  10.43277631 -073.24769424
113  10.43278562 -073.24775646
110 2 0.00 0.0000 New Taxiway 26
111  10.43260380 -073.24803386
111  10.43259020 -073.24796019
111  10.43282338 -073.24792571
113  10.43283358 -073.24799697
110 2 0.00 0.0000 New Taxiway 25
111  10.43285535 -073.24798430
111  10.43284162 -073.24788844
111  10.43295295 -073.24787480
113  10.43296661 -073.24796992
110 2 0.00 0.0000 New Taxiway 3
111  10.43409480 -073.24794329
111  10.43410587 -073.24800335
111  10.43306206 -073.24818373
111  10.43305656 -073.24815177
111  10.43324741 -073.24811978
111  10.43320868 -073.24789759
111  10.43301499 -073.24793374
111  10.43297068 -073.24767562
111  10.43417664 -073.24747488
113  10.43426349 -073.24791032
111  10.43407088 -073.24797495
111  10.43403539 -073.24777236
111  10.43387848 -073.24779938
111  10.43388887 -073.24786213
111  10.43368656 -073.24789751
111  10.43366995 -073.24780882
111  10.43324099 -073.24789067
113  10.43328005 -073.24811370
110 1 0.00 0.0000 New Taxiway 2
111  10.43344669 -073.24953798 53 102
112  10.43366337 -073.24912031  10.43361501 -073.24885176
111  10.43366337 -073.24912031
112  10.43366337 -073.24912031  10.43365980 -073.24910049 53 102
112  10.43364745 -073.24906532  10.43364050 -073.24904845
111  10.43364745 -073.24906532
112  10.43364745 -073.24906532  10.43356032 -073.24885369 53 102
111  10.43323046 -073.24886531 53 102
111  10.43258302 -073.24897809 53 101
111  10.43253663 -073.24871404 53
111  10.43266865 -073.24869147 53
111  10.43266780 -073.24868629 53
111  10.43259830 -073.24826276 53
111  10.43306206 -073.24818373
111  10.43410587 -073.24800335
111  10.43428856 -073.24797017 53
111  10.43436993 -073.24843231 53
111  10.43441044 -073.24866246 53 102
111  10.43409144 -073.24872211 53 102
112  10.43385764 -073.24902920  10.43387248 -073.24926446
111  10.43385764 -073.24902920
112  10.43385764 -073.24902920  10.43385865 -073.24904520 53 102
112  10.43386449 -073.24907950  10.43386809 -073.24909705
111  10.43386449 -073.24907950
112  10.43386449 -073.24907950  10.43392115 -073.24935496 53 102
113  10.43431405 -073.24938308
110 1 0.00 0.0000 New Taxiway 1
111  10.44443795 -073.24785467 53 102
111  10.44448252 -073.24812956 53 102
111  10.44390058 -073.24823034 53 102
113  10.44360951 -073.24800387
110 1 0.00 0.0000 New Taxiway 2
111  10.42576739 -073.25087607 53 102
111  10.42572470 -073.25062705 53 102
111  10.42639954 -073.25050477 53 102
113  10.42671727 -073.25071270
130 Airport Boundary 1
111  10.44587476 -073.25009364
111  10.43021611 -073.25092391
111  10.43024223 -073.25113285
111  10.42466933 -073.25212731
112  10.42466933 -073.25212731  10.42455958 -073.25214666
111  10.42458729 -073.25200440
111  10.42468483 -073.25082746
111  10.42522891 -073.25035695
111  10.42952977 -073.24957284
111  10.42966279 -073.24866467
111  10.43230878 -073.24781642
112  10.43297862 -073.24745348  10.43305074 -073.24737244
111  10.43311120 -073.24707685
111  10.43448055 -073.24684308
111  10.43460296 -073.24750594
113  10.44578291 -073.24556992
120 Linear Feature 1
111  10.43364745 -073.24906532 54 103
115  10.43385764 -073.24902920
120 Linear Feature 22
111  10.43400493 -073.24836792 52
111  10.43297553 -073.24854925 52
115  10.43293575 -073.24855625
120 Linear Feature 20
111  10.43432469 -073.24844162 20
111  10.43395582 -073.24851256 20
111  10.43391436 -073.24828290 20
115  10.43387999 -073.24809252
120 Linear Feature 19
111  10.43328673 -073.24820175 20
111  10.43330671 -073.24830513 20
111  10.43343509 -073.24839582 20
111  10.43347471 -073.24860146 20
111  10.43311315 -073.24867214 20
111  10.43307130 -073.24845167 20
111  10.43313843 -073.24834210 20
115  10.43311798 -073.24823282
120 Linear Feature 18
111  10.43396457 -073.24807694 20
111  10.43398547 -073.24818112 20
115  10.43391436 -073.24828290
120 Linear Feature 17
111  10.43428790 -073.24824174 20
111  10.43415554 -073.24815110 20
115  10.43413579 -073.24804542
120 Linear Feature 16
111  10.43436993 -073.24843231 21
111  10.43432469 -073.24844162 21
111  10.43428790 -073.24824174 21
111  10.43425758 -073.24807698
112  10.43425758 -073.24807698  10.43424573 -073.24802420 21
111  10.43419861 -073.24803385 21
111  10.43413579 -073.24804542 21
111  10.43396457 -073.24807694 21
111  10.43387999 -073.24809252 21
111  10.43328673 -073.24820175 21
111  10.43311798 -073.24823282 21
111  10.43273039 -073.24830418
112  10.43273039 -073.24830418  10.43265931 -073.24831744 21
111  10.43267628 -073.24839314 21
111  10.43272339 -073.24867614 21
115  10.43266780 -073.24868629
120 Linear Feature 15
111  10.43285046 -073.24874179 51
112  10.43283913 -073.24877086  10.43283085 -073.24878122 51
115  10.43281903 -073.24878638
120 Linear Feature 14
111  10.43286067 -073.24879371 51
112  10.43281903 -073.24878638  10.43279483 -073.24879415
111  10.43281903 -073.24878638 51
115  10.43275893 -073.24879982
120 Linear Feature 13
111  10.43326156 -073.24853630 51
112  10.43324747 -073.24859144  10.43323655 -073.24861018
111  10.43324747 -073.24859144 51
112  10.43322545 -073.24868697  10.43322955 -073.24872654 51
115  10.43325518 -073.24875590
120 Linear Feature 12
111  10.43321483 -073.24829085 51
111  10.43326156 -073.24853630
112  10.43326156 -073.24853630  10.43326771 -073.24855612 51
111  10.43329501 -073.24858350 51
112  10.43335064 -073.24865707  10.43336141 -073.24869879 51
115  10.43334557 -073.24873911
120 Linear Feature 11
111  10.43356568 -073.24848140 51
112  10.43355224 -073.24853377  10.43354486 -073.24854463
111  10.43355224 -073.24853377 51
112  10.43352586 -073.24862672  10.43353285 -073.24866749 51
115  10.43355954 -073.24869937
120 Linear Feature 10
111  10.43351446 -073.24822103 51
111  10.43356568 -073.24848140
112  10.43356568 -073.24848140  10.43357064 -073.24849907 51
111  10.43359215 -073.24852298 51
112  10.43365261 -073.24859814  10.43365979 -073.24862995 51
115  10.43365328 -073.24868203
120 Linear Feature 9
111  10.43380361 -073.24842966 51
112  10.43379780 -073.24847863  10.43379216 -073.24848906
111  10.43379780 -073.24847863 51
112  10.43376631 -073.24857909  10.43377349 -073.24861663 51
115  10.43379646 -073.24865558
120 Linear Feature 8
111  10.43375856 -073.24817998 51
111  10.43380361 -073.24842966
112  10.43380361 -073.24842966  10.43380756 -073.24844515 51
111  10.43382989 -073.24847242 51
112  10.43389343 -073.24855206  10.43390233 -073.24858180 51
115  10.43389301 -073.24863740
120 Linear Feature 7
111  10.43357938 -073.24869569 51 101
111  10.43365328 -073.24868203 51 101
115  10.43379646 -073.24865558
120 Linear Feature 6
111  10.43410717 -073.24837415 51
112  10.43409481 -073.24843679  10.43408691 -073.24845630
111  10.43409481 -073.24843679 51
112  10.43406845 -073.24853270  10.43407666 -073.24856764 51
115  10.43409957 -073.24859851
120 Linear Feature 21
