I
1050 Generated by WorldEditor

1    575 0 0 58CL BORREGO AIR RANCH
100 30.48 4 0 0.00 1 2 1 18  33.19538048 -116.27246436    0    7 2 9 0 0 36  33.19135005 -116.27691180    0    0 2 9 0 0
100 13.72 1 0 0.25 0 0 0 08  33.19217387 -116.28460331   76    0 2 0 0 0 26  33.19136592 -116.27685916    0    0 2 0 0 0
110 1 0.00 0.0000 New Taxiway 3
111  33.19133142 -116.28383327
111  33.19124121 -116.28383636
111  33.19124005 -116.28388224
111  33.19115744 -116.28388502
111  33.19115279 -116.28382663
111  33.19123190 -116.28382107
111  33.19123190 -116.28364310
113  33.19132033 -116.28363615
110 1 0.00 0.0000 New Taxiway 2
111  33.19141108 -116.28407550
111  33.19129706 -116.28409496
111  33.19128310 -116.28392395
113  33.19139596 -116.28390866
110 2 0.00 0.0000 New Taxiway 1
111  33.19158701 -116.28400568
111  33.19151075 -116.28402046
111  33.19141108 -116.28407550
111  33.19139596 -116.28390866
111  33.19140975 -116.28384804
111  33.19133142 -116.28383327
111  33.19131905 -116.28361159
111  33.19148395 -116.28364607
111  33.19153548 -116.28362144
111  33.19152312 -116.28348597
111  33.19146746 -116.28349582
111  33.19156228 -116.28302784
111  33.19167565 -116.28297858
111  33.19190238 -116.28259188
111  33.19191269 -116.28267562
111  33.19172512 -116.28300321
111  33.19182818 -116.28395888
111  33.19194979 -116.28406233
111  33.19196010 -116.28415100
111  33.19208583 -116.28425445
111  33.19209614 -116.28437268
111  33.19188383 -116.28418302
111  33.19186116 -116.28420519
111  33.19189001 -116.28452785
113  33.19165297 -116.28456480
110 1 0.00 0.0000 New Taxiway 30
111  33.19288475 -116.27847147
111  33.19286967 -116.27833083
111  33.19295115 -116.27830558
111  33.19293606 -116.27814330
111  33.19308091 -116.27811806
111  33.19307186 -116.27804954
111  33.19319559 -116.27802069
111  33.19324690 -116.27826952
111  33.19328613 -116.27825870
113  33.19330725 -116.27838131
110 1 0.00 0.0000 New Taxiway 29
111  33.19266143 -116.27912780
111  33.19258901 -116.27914223
112  33.19257693 -116.27899798  33.19257995 -116.27899437
113  33.19265238 -116.27899076
110 1 0.00 0.0000 New Taxiway 28
111  33.19264634 -116.27898355
111  33.19263126 -116.27878882
111  33.19269765 -116.27877439
111  33.19270067 -116.27873833
111  33.19275499 -116.27873112
111  33.19275800 -116.27878521
111  33.19282742 -116.27876718
113  33.19283647 -116.27896191
110 1 0.00 0.0000 New Taxiway 27
111  33.19317749 -116.27869866
111  33.19302659 -116.27873112
111  33.19300849 -116.27858326
113  33.19317145 -116.27855802
110 1 0.00 0.0000 New Taxiway 26
111  33.19345513 -116.27882127
111  33.19327406 -116.27886815
111  33.19323784 -116.27854359
111  33.19331329 -116.27853999
111  33.19332838 -116.27863735
111  33.19329518 -116.27864457
111  33.19331329 -116.27877800
111  33.19338873 -116.27877078
111  33.19337063 -116.27862293
113  33.19342193 -116.27861572
110 1 0.00 0.0000 New Taxiway 25
111  33.19198966 -116.27812347
111  33.19196310 -116.27795290
111  33.19190003 -116.27796083
111  33.19189007 -116.27782992
111  33.19212245 -116.27776249
113  33.19215564 -116.27807983
110 1 0.00 0.0000 New Taxiway 24
111  33.19200958 -116.27852015
111  33.19199962 -116.27832181
111  33.19227847 -116.27827818
113  33.19229175 -116.27846462
110 1 0.00 0.0000 New Taxiway 23
111  33.19248778 -116.28120281
111  33.19242032 -116.28119609
111  33.19225542 -116.28104830
111  33.19229852 -116.28096098
111  33.19235661 -116.28100800
111  33.19238285 -116.28096545
111  33.19243906 -116.28102591
111  33.19245405 -116.28100352
113  33.19253275 -116.28107741
110 1 0.00 0.0000 New Taxiway 22
111  33.19237205 -116.28176083
111  33.19234258 -116.28158743
111  33.19251943 -116.28156034
113  33.19253757 -116.28173645
110 1 0.00 0.0000 New Taxiway 21
111  33.19220945 -116.28081511
111  33.19218884 -116.28062053
111  33.19247535 -116.28057373
113  33.19249390 -116.28074861
110 1 0.00 0.0000 New Taxiway 20
111  33.19282509 -116.28016094
111  33.19284550 -116.28030725
111  33.19276841 -116.28032350
111  33.19273666 -116.27989812
111  33.19297700 -116.27984123
113  33.19301555 -116.28012301
110 1 0.00 0.0000 New Taxiway 19
111  33.19343274 -116.27997670
111  33.19324682 -116.28000650
111  33.19323775 -116.27981955
113  33.19341687 -116.27978975
110 1 0.00 0.0000 New Taxiway 18
111  33.19367967 -116.28052335
111  33.19344922 -116.28051352
111  33.19345196 -116.28033976
113  33.19367693 -116.28034632
110 1 0.00 0.0000 New Taxiway 17
111  33.19335245 -116.28154852
111  33.19331844 -116.28127486
111  33.19343407 -116.28125319
111  33.19346128 -116.28141305
111  33.19350663 -116.28140492
111  33.19350209 -116.28136969
111  33.19356785 -116.28136428
111  33.19357238 -116.28139408
111  33.19361773 -116.28138595
113  33.19363133 -116.28148620
110 1 0.00 0.0000 New Taxiway 16
111  33.19368516 -116.28242971
111  33.19368980 -116.28233718
111  33.19359224 -116.28232422
111  33.19359998 -116.28212066
111  33.19377498 -116.28212991
111  33.19377343 -116.28222244
111  33.19382453 -116.28222614
111  33.19382608 -116.28233533
111  33.19385241 -116.28233903
113  33.19384931 -116.28242971
110 1 0.00 0.0000 New Taxiway 15
111  33.19276110 -116.28431236
111  33.19275125 -116.28418113
111  33.19278785 -116.28416767
111  33.19278222 -116.28409365
