I
1050 Generated by WorldEditor 2.2.0r2

1    213 1 0 EGPD Aberdeen Dyce
100 46.00 1 0 0.00 1 3 1 16  57.21057908 -002.20415204    0    0 3 2 0 1 34  57.19425099 -002.19214229    0    0 3 2 0 1
100 36.00 1 0 0.00 0 0 1 14  57.20315115 -002.20088556    0    0 0 0 0 0 32  57.19918194 -002.19460261    0    0 0 0 0 0
100 46.00 1 0 0.00 0 1 1 05  57.20409549 -002.20161366    0    0 0 0 0 0 23  57.20706656 -002.19591559    0    0 0 0 0 0
100 23.00 1 0 0.00 0 0 1 18  57.20966616 -002.20183326    0    0 0 0 0 0 36  57.20454622 -002.20174513    0    0 0 0 0 0
102 H01  57.20613495 -002.19772992 226.45 30.00 30.00 1 0 0 0.00 1
110 2 0.00 0.0000 New Taxiway 66
111  57.20583390 -002.20558469
111  57.20587070 -002.20550441
111  57.20600071 -002.20571244
113  57.20596407 -002.20578981
110 2 0.00 0.0000 New Taxiway 65
111  57.20552811 -002.20511354
111  57.20556636 -002.20503093
111  57.20569597 -002.20523282
113  57.20565642 -002.20531365
110 2 0.00 0.0000 New Taxiway 64
111  57.20519681 -002.20460606
111  57.20524640 -002.20450148
111  57.20540553 -002.20475663
113  57.20535624 -002.20486157
110 1 0.00 0.0000 New Taxiway 63
111  57.20520893 -002.20267269
111  57.20517742 -002.20261945
111  57.20520943 -002.20255676
113  57.20524168 -002.20261071
110 1 0.00 0.0000 New Taxiway 62
111  57.20512746 -002.20348778
111  57.20513121 -002.20346941
111  57.20517350 -002.20350083
113  57.20516959 -002.20351905
110 1 0.00 0.0000 New Taxiway 61
111  57.20477395 -002.20350720
111  57.20480711 -002.20344536
111  57.20483813 -002.20350159
113  57.20480580 -002.20356262
110 1 0.00 0.0000 New Taxiway 60
111  57.20463522 -002.20376591
111  57.20466826 -002.20370360
111  57.20469860 -002.20376023
113  57.20466687 -002.20382290
110 1 0.00 0.0000 New Taxiway 59
111  57.20208801 -002.20910983
111  57.20208676 -002.20906975
111  57.20212577 -002.20906642
113  57.20212636 -002.20910660
110 1 0.00 0.0000 New Taxiway 58
111  57.20047375 -002.21049931
111  57.20045393 -002.21053811
111  57.20048745 -002.21059598
111  57.20046139 -002.21064410
111  57.20039305 -002.21052842
113  57.20043904 -002.21044272
110 1 0.00 0.0000 New Taxiway 57
111  57.20039854 -002.21040345
111  57.20035981 -002.21047902
111  57.20032416 -002.21041905
113  57.20036692 -002.21034320
110 1 0.00 0.0000 New Taxiway 56
111  57.20039485 -002.21011400
111  57.20038432 -002.21013369
111  57.20039791 -002.21016263
111  57.20029727 -002.21035527
111  57.20026138 -002.21029747
113  57.20037541 -002.21007935
110 1 0.00 0.0000 New Taxiway 55
111  57.20051963 -002.21009131
111  57.20052482 -002.21008047
111  57.20053560 -002.21009800
111  57.20053168 -002.21010845
111  57.20062652 -002.21025357
111  57.20057385 -002.21035966
111  57.20055979 -002.21033823
111  57.20052068 -002.21041113
111  57.20048747 -002.21035287
111  57.20055050 -002.21023138
111  57.20048143 -002.21012260
111  57.20049033 -002.21010394
111  57.20042240 -002.20999181
111  57.20040308 -002.21003168
111  57.20036704 -002.20997673
111  57.20037831 -002.20995355
111  57.20034363 -002.20990264
113  57.20036663 -002.20985587
110 1 0.00 0.0000 New Taxiway 54
111  57.20122161 -002.20999438
111  57.20121989 -002.20995305
111  57.20125754 -002.20995108
113  57.20125856 -002.20999205
110 1 0.00 0.0000 New Taxiway 52
111  57.20151248 -002.20970414
111  57.20151027 -002.20965927
111  57.20155645 -002.20965530
113  57.20155748 -002.20969922
110 1 0.00 0.0000 New Taxiway 51
111  57.20159467 -002.20920699
111  57.20159381 -002.20915465
111  57.20163004 -002.20915309
113  57.20163093 -002.20920256
110 1 0.00 0.0000 New Taxiway 50
111  57.20225369 -002.20253999
111  57.20226925 -002.20246791
111  57.20231282 -002.20250062
113  57.20229699 -002.20257325
110 1 0.00 0.0000 New Taxiway 49
111  57.20233729 -002.20260137
111  57.20235350 -002.20252633
111  57.20239513 -002.20255980
113  57.20237948 -002.20262980
110 1 0.00 0.0000 New Taxiway 48
111  57.20226347 -002.20238437
111  57.20227993 -002.20230755
111  57.20234343 -002.20235664
113  57.20232732 -002.20242940
110 1 0.00 0.0000 New Taxiway 47
111  57.20216136 -002.20230921
111  57.20217691 -002.20223786
111  57.20222127 -002.20227044
113  57.20220423 -002.20234145
110 1 0.00 0.0000 New Taxiway 46
111  57.20207725 -002.20224746
111  57.20209382 -002.20217358
111  57.20213699 -002.20220760
113  57.20212156 -002.20227760
110 1 0.00 0.0000 New Taxiway 45
111  57.20195757 -002.20215845
111  57.20197570 -002.20208362
111  57.20200716 -002.20210667
113  57.20199047 -002.20218290
110 1 0.00 0.0000 New Taxiway 44
111  57.20163882 -002.20191479
111  57.20165424 -002.20184208
111  57.20175989 -002.20192311
113  57.20174517 -002.20199412
110 1 0.00 0.0000 New Taxiway 43
111  57.20151455 -002.20182650
111  57.20153061 -002.20175607
111  57.20157348 -002.20178556
113  57.20155647 -002.20185709
110 1 0.00 0.0000 New Taxiway 42
111  57.20143200 -002.20176908
111  57.20144707 -002.20169877
111  57.20151089 -002.20174227
113  57.20149427 -002.20181376
110 1 0.00 0.0000 New Taxiway 41
111  57.20103715 -002.20148256
111  57.20105335 -002.20141111
111  57.20109622 -002.20144427
113  57.20108102 -002.20151529
110 1 0.00 0.0000 New Taxiway 40
111  57.20100619 -002.20162432
111  57.20102325 -002.20155151
111  57.20108507 -002.20160118
113  57.20107067 -002.20167108
110 1 0.00 0.0000 New Taxiway 39
111  57.20088120 -002.20152952
111  57.20089717 -002.20145546
111  57.20094093 -002.20149004
113  57.20092624 -002.20156525
110 1 0.00 0.0000 New Taxiway 38
111  57.20079820 -002.20146591
111  57.20084501 -002.20125229
111  57.20088906 -002.20128576
113  57.20084321 -002.20149851
110 1 0.00 0.0000 New Taxiway 37
111  57.19964808 -002.20036595
111  57.19969793 -002.20024085
111  57.19972858 -002.20028404
113  57.19967895 -002.20040780
110 1 0.00 0.0000 New Taxiway 36
111  57.19950458 -002.20004484
111  57.19953267 -002.19998530
111  57.19956891 -002.20004811
113  57.19954177 -002.20010950
110 1 0.00 0.0000 New Taxiway 35
111  57.19944941 -002.20016567
111  57.19947691 -002.20010435
111  57.19951213 -002.20016311
113  57.19948424 -002.20022411
110 1 0.00 0.0000 New Taxiway 34
111  57.19927676 -002.19965186
111  57.19930586 -002.19959473
111  57.19933972 -002.19965425
113  57.19931117 -002.19970927
110 1 0.00 0.0000 New Taxiway 33
111  57.19909163 -002.19953478
111  57.19911975 -002.19947834
111  57.19914476 -002.19952292
113  57.19911664 -002.19957771
110 1 0.00 0.0000 New Taxiway 32
111  57.19899498 -002.19936651
111  57.19902229 -002.19931248
111  57.19900521 -002.19928111
111  57.19901426 -002.19926414
111  57.19903115 -002.19929575
111  57.19903798 -002.19928567
111  57.19908364 -002.19937217
111  57.19907100 -002.19939973
111  57.19905072 -002.19936021
113  57.19902180 -002.19941216
110 1 0.00 0.0000 New Taxiway 31
111  57.19893089 -002.19925410
111  57.19896129 -002.19920105
111  57.19898079 -002.19923392
113  57.19895207 -002.19928831
110 1 0.00 0.0000 New Taxiway 30
111  57.19883470 -002.19908721
111  57.19886483 -002.19903019
111  57.19888598 -002.19906747
113  57.19885691 -002.19912549
110 1 0.00 0.0000 New Taxiway 29
111  57.19847761 -002.19853669
111  57.19850118 -002.19846808
111  57.19852734 -002.19848678
113  57.19850318 -002.19856196
110 1 0.00 0.0000 New Taxiway 28
111  57.19626377 -002.19681453
112  57.19626377 -002.19681453  57.19635730 -002.19692709
111  57.19655165 -002.19707524
111  57.19653631 -002.19714557
111  57.19649195 -002.19711325
111  57.19650401 -002.19705911
112  57.19625762 -002.19683006  57.19615832 -002.19671218
113  57.19625762 -002.19683006
110 1 0.00 0.0000 New Taxiway 27
111  57.19630079 -002.19667699
111  57.19638267 -002.19676514
111  57.19636309 -002.19683488
113  57.19627738 -002.19674551
110 1 0.00 0.0000 New Taxiway 26
111  57.19627548 -002.19664968
111  57.19625290 -002.19671677
111  57.19624244 -002.19670650
113  57.19626578 -002.19663943
110 1 0.00 0.0000 New Taxiway 25
111  57.19620675 -002.19666091
111  57.19623038 -002.19659792
111  57.19623919 -002.19660741
113  57.19621546 -002.19667060
110 1 0.00 0.0000 New Taxiway 24
111  57.19613104 -002.19665634
111  57.19615675 -002.19659579
111  57.19617339 -002.19661741
111  57.19619680 -002.19655532
111  57.19621511 -002.19657724
111  57.19618889 -002.19664237
111  57.19617882 -002.19662870
113  57.19615461 -002.19668678
110 1 0.00 0.0000 New Taxiway 23
111  57.19607550 -002.19657628
111  57.19611277 -002.19662865
111  57.19608738 -002.19669012
113  57.19604845 -002.19663626
110 1 0.00 0.0000 New Taxiway 22
111  57.19591648 -002.19639716
111  57.19593736 -002.19635261
111  57.19597263 -002.19641095
111  57.19594505 -002.19647110
111  57.19593660 -002.19645879
111  57.19595724 -002.19641222
111  57.19593944 -002.19638042
113  57.19592532 -002.19641058
110 1 0.00 0.0000 New Taxiway 21
111  57.19582898 -002.19608217
111  57.19585730 -002.19602204
111  57.19589292 -002.19607900
113  57.19586370 -002.19613900
110 1 0.00 0.0000 New Taxiway 20
111  57.19576218 -002.19597676
111  57.19579087 -002.19591589
111  57.19582533 -002.19597094
113  57.19579614 -002.19603090
110 1 0.00 0.0000 New Taxiway 19
111  57.19566909 -002.19592227
111  57.19573698 -002.19603331
111  57.19570862 -002.19608852
111  57.19569987 -002.19607505
111  57.19572062 -002.19603117
111  57.19567021 -002.19595005
111  57.19565521 -002.19597928
113  57.19564638 -002.19596699
110 1 0.00 0.0000 New Taxiway 18
111  57.19566132 -002.19581524
111  57.19568878 -002.19575488
111  57.19572343 -002.19581102
113  57.19569566 -002.19586979
110 1 0.00 0.0000 New Taxiway 17
111  57.19555930 -002.19565550
111  57.19558814 -002.19559342
111  57.19562294 -002.19564939
113  57.19559542 -002.19571000
110 1 0.00 0.0000 New Taxiway 16
111  57.19551102 -002.19557737
111  57.19554102 -002.19551706
111  57.19557222 -002.19556971
113  57.19554250 -002.19562696
110 1 0.00 0.0000 New Taxiway 15
111  57.19542552 -002.19544365
111  57.19545433 -002.19537920
111  57.19548886 -002.19543432
113  57.19545937 -002.19549828
110 1 0.00 0.0000 New Taxiway 14
111  57.19532548 -002.19528437
111  57.19535327 -002.19522399
111  57.19540196 -002.19530112
113  57.19537501 -002.19536152
110 1 0.00 0.0000 New Taxiway 13
111  57.19527428 -002.19520351
111  57.19528150 -002.19518766
111  57.19529087 -002.19520258
111  57.19530140 -002.19517896
111  57.19530631 -002.19518719
113  57.19528799 -002.19522552
110 1 0.00 0.0000 New Taxiway 12
111  57.19525093 -002.19516417
111  57.19527855 -002.19510738
111  57.19529004 -002.19512469
113  57.19526156 -002.19517994
110 1 0.00 0.0000 New Taxiway 11
111  57.19519060 -002.19506923
111  57.19521915 -002.19500778
111  57.19525340 -002.19506480
113  57.19522510 -002.19512578
110 1 0.00 0.0000 New Taxiway 10
111  57.19520277 -002.19522481
111  57.19521252 -002.19520399
111  57.19523299 -002.19523766
113  57.19522354 -002.19525754
110 1 0.00 0.0000 New Taxiway 9
111  57.19513894 -002.19513394
111  57.19515333 -002.19510746
111  57.19516419 -002.19512615
113  57.19515099 -002.19515273
110 1 0.00 0.0000 New Taxiway 8
111  57.19510082 -002.19492614
111  57.19512951 -002.19486691
111  57.19515218 -002.19490263
113  57.19512386 -002.19496280
110 1 0.00 0.0000 New Taxiway 7
111  57.19500075 -002.19496791
111  57.19501684 -002.19493196
111  57.19502226 -002.19493956
111  57.19503322 -002.19491553
111  57.19513011 -002.19507068
113  57.19510289 -002.19513121
110 1 0.00 0.0000 New Taxiway 6
111  57.19500599 -002.19472435
111  57.19502225 -002.19469256
111  57.19505067 -002.19473891
113  57.19503535 -002.19477109
110 1 0.00 0.0000 New Taxiway 5
111  57.19488970 -002.19478642
111  57.19491860 -002.19472805
111  57.19495349 -002.19478333
113  57.19492434 -002.19484221
110 1 0.00 0.0000 New Taxiway 4
111  57.19490942 -002.19461539
111  57.19493871 -002.19455723
111  57.19497435 -002.19461215
113  57.19494515 -002.19467196
110 1 0.00 0.0000 New Taxiway 3
111  57.19467414 -002.19423475
111  57.19470194 -002.19417618
111  57.19477048 -002.19428497
113  57.19474154 -002.19434645
110 1 0.00 0.0000 New Taxiway 2
111  57.19458777 -002.19409489
111  57.19461682 -002.19403842
111  57.19464212 -002.19408004
113  57.19461419 -002.19413539
110 1 0.00 0.0000 New Taxiway 1
111  57.19443650 -002.19385305
111  57.19446436 -002.19379371
111  57.19456707 -002.19395826
113  57.19453937 -002.19401672
110 2 0.00 0.0000 New Taxiway 24
111  57.20407275 -002.20512316
111  57.20458314 -002.20597395
111  57.20462296 -002.20604009
111  57.20497693 -002.20662363
111  57.20517869 -002.20694933
112  57.20517869 -002.20694933  57.20512524 -002.20695516
112  57.20487184 -002.20671067  57.20478346 -002.20656703
111  57.20487184 -002.20671067
112  57.20452266 -002.20613782  57.20443428 -002.20599418
111  57.20452266 -002.20613782
111  57.20427569 -002.20573266
112  57.20412094 -002.20554511  57.20407273 -002.20553110
111  57.20412094 -002.20554511
111  57.20410247 -002.20551483
111  57.20409837 -002.20553170
112  57.20409837 -002.20553170  57.20405335 -002.20550213
112  57.20391016 -002.20552729  57.20384536 -002.20555645
111  57.20391016 -002.20552729
111  57.20387345 -002.20560234
113  57.20385260 -002.20556983
110 2 0.00 0.0000 New Taxiway 29
111  57.20291942 -002.20381248
111  57.20299144 -002.20367610
111  57.20317207 -002.20400260
113  57.20310008 -002.20414182
110 2 0.00 0.0000 New Taxiway 28
111  57.19643460 -002.19714659
112  57.19643460 -002.19714659  57.19625699 -002.19702061
112  57.19608714 -002.19680757  57.19593910 -002.19661444
111  57.19608714 -002.19680757
111  57.19490609 -002.19491259
111  57.19425894 -002.19387425
111  57.19444012 -002.19349777
112  57.19444012 -002.19349777  57.19456035 -002.19382143
111  57.19470051 -002.19405880
111  57.19504781 -002.19461959
111  57.19614317 -002.19638824
112  57.19652027 -002.19680635  57.19674651 -002.19698848
