I
1050 Generated by WorldEditor

1     39 1 0 FOOL Libreville Airport
1302 city Libreville
1302 country Gabon
1302 datum_lat 0.458441667
1302 datum_lon 9.412330556
1302 faa_code 
1302 iata_code LBV
1302 icao_code FOOL
1302 region_code FO
1302 state Estuaire Province
1302 transition_alt 3100
1302 transition_level 
100 45.00 1 0 0.25 0 3 1 16  00.47075673  009.40634682    0   65 3 10 0 0 34  00.44643747  009.41807141    0   64 3 0 0 0
110 2 0.00 0.0000 New Taxiway 78
111  00.46273533  009.41248599
111  00.46246971  009.41261365
111  00.46249937  009.41268844
111  00.46248131  009.41270262
111  00.46253160  009.41281351
111  00.46282946  009.41266523
111  00.46280238  009.41259688
113  00.46279206  009.41260204
110 2 0.00 0.0000 New Taxiway 77
111  00.46351861  009.41363597
111  00.46324221  009.41376915
111  00.46332513  009.41394505
111  00.46345328  009.41388977
111  00.46346836  009.41391238
111  00.46345077  009.41394254
111  00.46347338  009.41396766
111  00.46351138  009.41395501
111  00.46351912  009.41391891
111  00.46349462  009.41390086
111  00.46348301  009.41388151
113  00.46360164  009.41381059
110 2 0.00 0.0000 New Taxiway 14
111  00.45161905  009.41275160
111  00.45161265  009.41275160
111  00.45159880  009.41272922
111  00.45154339  009.41275906
111  00.45144854  009.41256724
111  00.45131640  009.41262372
111  00.45140698  009.41284964
111  00.45140166  009.41285284
111  00.45149330  009.41301589
113  00.45169684  009.41290932
110 2 0.00 0.0000 New Taxiway 13
111  00.45283504  009.41261455
111  00.45276151  009.41264865
111  00.45277004  009.41266464
111  00.45267200  009.41271473
111  00.45265921  009.41270087
111  00.45262511  009.41269021
111  00.45259634  009.41264332
111  00.45256650  009.41265505
111  00.45254092  009.41260709
111  00.45245674  009.41264226
111  00.45250149  009.41272645
111  00.45256330  009.41269874
111  00.45260060  009.41275842
111  00.45263469  009.41274242
111  00.45266101  009.41276749
111  00.45268591  009.41276183
111  00.45269795  009.41278118
113  00.45286812  009.41269151
110 2 0.00 0.0000 New Taxiway 12
111  00.45353933  009.41155268
111  00.45342199  009.41161715
111  00.45353160  009.41183636
111  00.45327500  009.41196015
111  00.45316282  009.41173965
111  00.45304935  009.41179252
111  00.45318345  009.41208136
111  00.45323374  009.41212004
113  00.45370309  009.41188923
110 2 0.00 0.0000 New Taxiway 11
111  00.44845836  009.41547713
111  00.44829120  009.41558295
111  00.44842595  009.41577935
113  00.44858752  009.41567132
110 2 0.00 0.0000 New Taxiway 10
111  00.44821634  009.41537775
111  00.44827887  009.41545701
111  00.44838400  009.41536833
113  00.44832478  009.41528708
110 2 0.00 0.0000 New Taxiway 9
111  00.44939357  009.41444827
111  00.44933808  009.41447837
111  00.44943496  009.41467214
111  00.44949139  009.41464956
111  00.44950174  009.41467120
111  00.44995793  009.41444513
111  00.44991184  009.41434260
111  00.44984506  009.41430122
111  00.44979633  009.41427406
113  00.44941011  009.41445662
110 2 0.00 0.0000 New Taxiway 8
111  00.44970790  009.41385365
111  00.44972375  009.41381842
111  00.44965682  009.41377439
111  00.44959869  009.41386510
111  00.44967707  009.41391266
111  00.44957667  009.41408528
111  00.44966474  009.41413636
111  00.44966122  009.41414605
111  00.44987421  009.41426010
111  00.44991269  009.41420708
111  00.44994347  009.41422333
113  00.45004608  009.41404804
110 2 0.00 0.0000 New Taxiway 7
111  00.45036962  009.41318653
111  00.45000413  009.41366564
111  00.45008163  009.41372641
111  00.45007547  009.41373610
111  00.45017410  009.41381008
111  00.45016882  009.41383210
111  00.45020405  009.41385587
111  00.45022518  009.41384443
111  00.45029508  009.41390499
111  00.45033013  009.41393069
113  00.45072072  009.41342616
110 2 0.00 0.0000 New Taxiway 6
111  00.45234659  009.41267451
111  00.45132790  009.41318329
111  00.45131538  009.41319205
111  00.45145250  009.41342177
111  00.45165305  009.41332771
111  00.45164839  009.41329895
111  00.45177354  009.41324454
111  00.45185594  009.41321422
111  00.45192900  009.41316758
111  00.45201374  009.41312638
111  00.45207965  009.41305976
111  00.45210469  009.41305293
111  00.45212062  009.41308138
111  00.45230499  009.41300855
111  00.45246888  009.41290270
113  00.45244612  009.41286628
110 2 0.00 0.0000 New Taxiway 5
111  00.45400203  009.41174884
111  00.45395342  009.41178093
111  00.45400515  009.41187819
111  00.45401423  009.41189339
113  00.45406756  009.41186319
110 2 0.00 0.0000 New Taxiway 4
111  00.45527511  009.41119138
111  00.45483569  009.41140296
111  00.45487200  009.41146806
111  00.45493585  009.41144302
111  00.45495212  009.41147182
111  00.45505603  009.41141924
111  00.45504101  009.41139295
113  00.45530641  009.41126024
110 2 0.00 0.0000 New Taxiway 3
111  00.45538063  009.41094283
111  00.45521200  009.41102165
111  00.45515701  009.41088784
111  00.45509836  009.41091350
