I
1050 Generated by WorldEditor

1   2865 0 0 99CL El Mirage Field Adelanto
100 45.72 1 0 0.25 0 0 0 04  34.62348210 -117.60534830    0    0 0 0 0 0 22  34.62871502 -117.59478059    0    0 0 0 0 0
100 45.72 1 0 0.25 0 0 0 16  34.62882923 -117.59491820    0    0 0 0 0 0 34  34.61868257 -117.59465180    0    0 0 0 0 0
100 45.72 1 0 0.25 0 0 0 07  34.62353778 -117.60682833   16    0 1 0 0 0 25  34.62368434 -117.59431218   15    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 24
111  34.62357893 -117.59431520 20
111  34.62360040 -117.59263671 20
111  34.62350164 -117.59251844 20
111  34.62350021 -117.59214273 20
111  34.62360184 -117.59200532 20
112  34.62378505 -117.59200010  34.62396826 -117.59199489
111  34.62378505 -117.59200010
112  34.62378505 -117.59200010  34.62389188 -117.59205690 20
111  34.62390671 -117.59215143 20
111  34.62390671 -117.59252017 20
111  34.62380079 -117.59263845 20
111  34.62379432 -117.59400274
111  34.62382896 -117.59400485
111  34.62382203 -117.59424688
113  34.62382030 -117.59431844
110 1 0.00 0.0000 New Taxiway 23
111  34.62390285 -117.60843705 20
111  34.62371549 -117.60844087 20
111  34.62341096 -117.60845138 20
111  34.62342920 -117.60697813 20
111  34.62332945 -117.60682052
111  34.62373775 -117.60682069 20
111  34.62363523 -117.60699141 20
111  34.62362174 -117.60802572 20
111  34.62369398 -117.60812283 20
113  34.62390758 -117.60811752 20
110 2 0.00 0.0000 New Taxiway 20
111  34.62220194 -117.60172931
111  34.62208819 -117.60172067
111  34.62209618 -117.60155111
113  34.62220923 -117.60155867
110 2 0.00 0.0000 not a building
111  34.62316341 -117.60135475
111  34.62316241 -117.60129744
111  34.62320455 -117.60129927
113  34.62320405 -117.60135353
110 2 0.00 0.0000 New Taxiway 9
111  34.62258170 -117.60269864
111  34.62259138 -117.60220859
111  34.62258708 -117.60205047
111  34.62293465 -117.60206106
111  34.62293325 -117.60221444
111  34.62294719 -117.60221442
111  34.62294513 -117.60240215
111  34.62294415 -117.60259149
111  34.62292734 -117.60259233
113  34.62292799 -117.60270406
110 2 0.00 0.0000 New Taxiway 7
111  34.62294695 -117.60001892
111  34.62272660 -117.60002216
111  34.62272460 -117.59979902
113  34.62295563 -117.59980308
110 4 0.00 0.0000 New Taxiway 6
111  34.62127559 -117.60084837
111  34.61852459 -117.59486727
112  34.61915024 -117.59488969  34.61977588 -117.59491211
111  34.61915024 -117.59488969
112  34.61915024 -117.59488969  34.61904961 -117.59492520
111  34.61905704 -117.59503576
113  34.62158521 -117.60055559
110 2 0.00 0.0000 New Taxiway 5
111  34.62305667 -117.59980887
111  34.62299249 -117.59980992
111  34.62298315 -117.59961275
113  34.62305344 -117.59961472
110 2 0.00 0.0000 Not a building
111  34.62304121 -117.60290598
111  34.62304422 -117.60270422
111  34.62318311 -117.60270422
113  34.62318244 -117.60290708
110 2 0.00 0.0000 New Taxiway 8
111  34.62295628 -117.60129566
111  34.62280313 -117.60128877
111  34.62280423 -117.60137729
111  34.62266721 -117.60137594
111  34.62266813 -117.60128450
111  34.62260245 -117.60128228
111  34.62260766 -117.60091227
113  34.62296267 -117.60092069
110 1 0.00 0.0000 New Taxiway 1
111  34.62337326 -117.60379208
111  34.62269663 -117.60377626
111  34.62269436 -117.60328483
111  34.62292215 -117.60329790
111  34.62293699 -117.60270439
111  34.62292799 -117.60270406
111  34.62292734 -117.60259233
111  34.62294415 -117.60259149
111  34.62294513 -117.60240215
111  34.62294719 -117.60221442
111  34.62293325 -117.60221444
111  34.62293465 -117.60206106
111  34.62294902 -117.60155269
111  34.62209146 -117.60154900
111  34.62212006 -117.60094568
111  34.62261156 -117.60091702
111  34.62260245 -117.60128228
111  34.62266813 -117.60128450
111  34.62266721 -117.60137594
111  34.62280423 -117.60137729
111  34.62295114 -117.60137023
111  34.62295628 -117.60129566
111  34.62296267 -117.60092069
111  34.62302400 -117.60092285
111  34.62299249 -117.59980992
111  34.62305667 -117.59980887
113  34.62341903 -117.59980296
111  34.62318244 -117.60290708
111  34.62318311 -117.60270422
111  34.62304422 -117.60270422
113  34.62304121 -117.60290598
111  34.62320455 -117.60129927
111  34.62316241 -117.60129744
111  34.62316341 -117.60135475
113  34.62320405 -117.60135353
130 Airport Boundary
111  34.61852670 -117.60493153
111  34.61910422 -117.60490789
111  34.61952432 -117.60530494
111  34.62312138 -117.60607418
111  34.62314949 -117.60931427
111  34.62981700 -117.61001500
111  34.62972111 -117.59196466
113  34.61847391 -117.59188710
120 Linear Feature 17
111  34.62332734 -117.60201013 1
116  34.62323549 -117.60188975  34.62322871 -117.60181326
120 Linear Feature 16
111  34.62358731 -117.60192466 1
116  34.62345638 -117.60201192  34.62332829 -117.60203331
120 Linear Feature 15
111  34.62332403 -117.60240769 1
116  34.62323030 -117.60251400  34.62321662 -117.60258439
120 Linear Feature 14
111  34.62357915 -117.60259695 1
116  34.62342833 -117.60240587  34.62328410 -117.60235962
120 Linear Feature 12
111  34.62333877 -117.60167523 1
112  34.62323650 -117.60182360  34.62324016 -117.60193880
111  34.62323650 -117.60182360
112  34.62323650 -117.60182360  34.62323915 -117.60153585
112  34.62323867 -117.60154830  34.62324133 -117.60126054
111  34.62323867 -117.60154830
112  34.62323867 -117.60154830  34.62325523 -117.60165620 1
111  34.62333877 -117.60167523 1
111  34.62343796 -117.60167730 1
112  34.62359864 -117.60147845  34.62362251 -117.60130685
111  34.62359864 -117.60147845
112  34.62359864 -117.60147845  34.62359416 -117.60169223
112  34.62358936 -117.60186310  34.62358488 -117.60207688
111  34.62358936 -117.60186310
112  34.62358936 -117.60186310  34.62357231 -117.60171027 1
115  34.62343796 -117.60167730
120 Linear Feature 12
111  34.62335887 -117.60136739 1
112  34.62323932 -117.60146586  34.62322929 -117.60156645
111  34.62323932 -117.60146586
112  34.62323932 -117.60146586  34.62324198 -117.60117810
112  34.62324111 -117.60124053  34.62324376 -117.60095277
111  34.62324111 -117.60124053
112  34.62324111 -117.60124053  34.62324311 -117.60136550 1
111  34.62335887 -117.60136739 1
111  34.62347571 -117.60136744 1
112  34.62359709 -117.60125881  34.62359660 -117.60115586
111  34.62359709 -117.60125881
112  34.62359709 -117.60125881  34.62359262 -117.60147259
112  34.62359864 -117.60147845  34.62359416 -117.60169223
111  34.62359864 -117.60147845
112  34.62359864 -117.60147845  34.62358956 -117.60139931 1
115  34.62347571 -117.60136744
120 Linear Feature 12
111  34.62334470 -117.60106317 1
112  34.62324180 -117.60115320  34.62322931 -117.60123132
111  34.62324180 -117.60115320
112  34.62324180 -117.60115320  34.62312555 -117.60097079
112  34.62324329 -117.60096405  34.62337963 -117.60091104
111  34.62324329 -117.60096405
112  34.62324329 -117.60096405  34.62325611 -117.60105227 1
111  34.62334470 -117.60106317 1
111  34.62347534 -117.60105988 1
112  34.62360204 -117.60085590  34.62362217 -117.60066066
111  34.62360204 -117.60085590
112  34.62360204 -117.60085590  34.62359757 -117.60106968
112  34.62359709 -117.60125881  34.62359262 -117.60147259
111  34.62359709 -117.60125881
112  34.62359709 -117.60125881  34.62357563 -117.60105434 1
115  34.62347534 -117.60105988
120 Linear Feature 12
111  34.62336517 -117.60070347 1
112  34.62324544 -117.60081727  34.62323239 -117.60091786
111  34.62324544 -117.60081727
112  34.62324544 -117.60081727  34.62313954 -117.60066104
112  34.62324904 -117.60055696  34.62335853 -117.60045288
111  34.62324904 -117.60055696
112  34.62324904 -117.60055696  34.62326025 -117.60067379 1
111  34.62336517 -117.60070347 1
111  34.62348146 -117.60070621 1
112  34.62359934 -117.60058043  34.62361051 -117.60047656
111  34.62359934 -117.60058043
112  34.62359934 -117.60058043  34.62367549 -117.60069711
112  34.62360204 -117.60085590  34.62352859 -117.60101469
111  34.62360204 -117.60085590
112  34.62360204 -117.60085590  34.62359182 -117.60074239 1
115  34.62348146 -117.60070621
120 Linear Feature 12
111  34.62336614 -117.60037202 1
112  34.62324974 -117.60051693  34.62323569 -117.60064313
111  34.62324974 -117.60051693
112  34.62324974 -117.60051693  34.62325240 -117.60022918
112  34.62325240 -117.60022918  34.62325506 -117.59994142
111  34.62325240 -117.60022918
112  34.62325240 -117.60022918  34.62326895 -117.60033708 1
111  34.62336614 -117.60037202 1
111  34.62348299 -117.60037208 1
112  34.62360473 -117.60028854  34.62362308 -117.60020345
111  34.62360473 -117.60028854
112  34.62360473 -117.60028854  34.62360026 -117.60050232
112  34.62360026 -117.60050232  34.62359579 -117.60071610
111  34.62360026 -117.60050232
112  34.62360026 -117.60050232  34.62358100 -117.60037966 1
115  34.62348299 -117.60037208
120 Linear Feature 12
111  34.62332489 -117.60003958 1
