A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      114 1 0 YWIS Williamson (Military)
100   29.87   1   0 0.25 0 0 0 14  -22.46668048  150.17470731    0.00    0.00 2  0 0 0 32  -22.48095252  150.18305840    0.00    0.00 2  0 0 0
102 H1  -22.47912843  150.18021774  64.18   10.06   10.06   2 0   0 0.25 0
102 H2  -22.47873218  150.17997554  64.18   10.06   10.06   2 0   0 0.25 0
102 H3  -22.47833478  150.17974220  64.18   10.06   10.06   2 0   0 0.25 0
102 H4  -22.47793625  150.17951036  64.18   10.06   10.06   2 0   0 0.25 0
110   2 0.25 151.60 New Taxiway 22
111 -22.47227157  150.18253567 
111 -22.47229181  150.18249953 
111 -22.47233331  150.18252910 
113 -22.47231509  150.18256415 
110   1 0.25 151.60 New Taxiway 2
111 -22.47906420  150.18179421 
111 -22.47923125  150.18177073 
111 -22.47982635  150.18211842 
111 -22.47982635  150.18224655 
111 -22.47970796  150.18248092 
111 -22.47961556  150.18253717 
111 -22.47900628  150.18216842 
113 -22.47894853  150.18203092 
110   1 0.25 241.60 New Taxiway 13
111 -22.47372588  150.17930800 
112 -22.47314762  150.18046244 -22.47308410  150.18059368 
111 -22.47315051  150.18065305 
112 -22.47341675  150.18078722 -22.47355516  150.18086211 
112 -22.47386199  150.18107465 -22.47394552  150.18114696 
111 -22.47406245  150.18103592 
111 -22.47467587  150.17985656 
111 -22.47479421  150.17991632 
112 -22.47415025  150.18121443 -22.47413627  150.18122955 
112 -22.47400350  150.18127493 -22.47396507  150.18130139 
112 -22.47384977  150.18139970 -22.47378338  150.18145263 
112 -22.47366808  150.18190258 -22.47364013  150.18205004 
112 -22.47357724  150.18231471 -22.47356327  150.18235630 
111 -22.47319744  150.18308225 
111 -22.47198661  150.18234352 
112 -22.47212190  150.18197294 -22.47215994  150.18197294 
112 -22.47218108  150.18209647 -22.47219799  150.18216052 
112 -22.47219799  150.18235725 -22.47221490  150.18241215 
112 -22.47243897  150.18243502 -22.47262922  150.18243960 
112 -22.47283608  150.18229252 -22.47293391  150.18221311 
112 -22.47285355  150.18190685 -22.47285355  150.18176317 
112 -22.47264042  150.18140775 -22.47254608  150.18126785 
112 -22.47260496  150.18082824 -22.47262187  150.18074589 
112 -22.47293049  150.18048053 -22.47305310  150.18033413 
113 -22.47360749  150.17923300 
110   1 0.25 151.60 New Taxiway 12
111 -22.47381151  150.17912910 
111 -22.47372588  150.17930800 
111 -22.47360749  150.17923300 
113 -22.47369696  150.17906453 
110   2 0.25 151.60 New Taxiway 11
111 -22.47488098  150.17974771 
111 -22.47479421  150.17991632 
111 -22.47467587  150.17985656 
113 -22.47476857  150.17968795 
110   1 0.25 151.60 New Taxiway 10
111 -22.47490071  150.17958550 
111 -22.47499735  150.17971356 
111 -22.47488098  150.17974771 
111 -22.47476857  150.17968795 
113 -22.47474687  150.17958550 
110   1 0.25 151.60 New Taxiway 9
111 -22.47382821  150.17892766 
111 -22.47391651  150.17909552 
111 -22.47381151  150.17912910 
111 -22.47369696  150.17906453 
113 -22.47365639  150.17894832 
110   4 0.25 151.60 New Taxiway 14
111 -22.47415174  150.18121012 
112 -22.47394095  150.18169760 -22.47389186  150.18181634 
112 -22.47363428  150.18224854 -22.47360541  150.18230791 
111 -22.47357653  150.18231729 
112 -22.47356787  150.18192043 -22.47358519  150.18176419 
114 -22.47390860  150.18120172 -22.47405009  150.18115484 
110   4 0.25 151.60 New Taxiway 15
111 -22.47368619  150.17923157 
112 -22.47353944  150.17950759 -22.47351848  150.17954162 
112 -22.47340667  150.17954918 -22.47335426  150.17955674 
112 -22.47286249  150.17970969 -22.47267731  150.17978153 
112 -22.47262490  150.18038271 -22.47262839  150.18051883 
112 -22.47267206  150.18122269 -22.47270281  150.18135994 
112 -22.47295647  150.18220424 -22.47296031  150.18234981 
