A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     2049 0 0 BISP Sprengisandur
100   49.99   5   0 0.00 0 0 0 06   64.65206150 -018.50070500    0.00    0.00 0  0 0 0 24   64.65906050 -018.48923252    0.00    0.00 0  0 0 0
100   39.93   5   0 0.00 0 0 0 10   64.65380793 -018.50129433    0.00    0.00 0  0 0 0 28   64.65519600 -018.48910200    0.00    0.00 0  0 0 0
130 Airport Boundary
111  64.65468674 -018.50464137 
111  64.65326375 -018.50222909 
111  64.65172601 -018.50225589 
111  64.65109485 -018.50013844 
111  64.65376869 -018.49284798 
111  64.65430804 -018.48679046 
111  64.65966719 -018.48617399 
113  64.65973605 -018.49228511 
14   64.65382606 -018.49582313   82 0 Tower Viewpoint
19   64.65502595 -018.49823671 1 WS
51 11810 COM

99
