I
1050 Generated by WorldEditor 2.3.0r2

1    240 0 0 EICL Clonbullogue
100 25.91 3 0 0.00 0 0 0 09  53.24919397 -007.12943981   38    0 0 0 0 0 27  53.24991576 -007.11769019   38    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 4
111  53.24936478 -007.11647038
111  53.24934112 -007.11647348
111  53.24934680 -007.11644687
111  53.24918353 -007.11632689
111  53.24924927 -007.11606084
113  53.24943269 -007.11619562
110 1 0.00 0.0000 New Taxiway 3
111  53.25028362 -007.11700799
111  53.25023692 -007.11698060
111  53.25021882 -007.11696932
111  53.25011531 -007.11690474
112  53.25004166 -007.11697917  53.25001727 -007.11704378
111  53.25004166 -007.11697917
111  53.24990121 -007.11691333
112  53.24990121 -007.11691333  53.24990834 -007.11682884
111  53.24986952 -007.11676734
111  53.24970895 -007.11667156
111  53.24937617 -007.11647305
111  53.24936342 -007.11647590
111  53.24936478 -007.11647038
111  53.24943269 -007.11619562
111  53.24943493 -007.11618652
111  53.24972487 -007.11637692
111  53.25023762 -007.11671364
113  53.25028588 -007.11674533
110 2 0.00 0.0000 New Taxiway 2
111  53.25023092 -007.11723452
111  53.25023692 -007.11698060
111  53.25028362 -007.11700799
111  53.25028588 -007.11674533
111  53.25050539 -007.11688548
113  53.25047962 -007.11725513
110 3 0.00 0.0000 New Taxiway 1
111  53.24933879 -007.12879931
111  53.24945121 -007.12881962
111  53.24951505 -007.12768033
111  53.24938174 -007.12766045
111  53.24938750 -007.12755764
111  53.24952081 -007.12757752
111  53.24959703 -007.12621755
111  53.24948403 -007.12619668
111  53.24949016 -007.12608732
111  53.24960316 -007.12610819
111  53.24973900 -007.12368410
111  53.24965267 -007.12366819
111  53.24965874 -007.12355989
111  53.24974507 -007.12357580
111  53.24986287 -007.12147377
111  53.24977757 -007.12145660
111  53.24978806 -007.12126933
111  53.24987336 -007.12128651
111  53.24997550 -007.11946380
111  53.24991287 -007.11945456
111  53.24992357 -007.11929698
111  53.24999664 -007.11908670
111  53.25000616 -007.11891669
111  53.24994442 -007.11890543
111  53.24983889 -007.11776855
111  53.24961568 -007.11766962
111  53.24913328 -007.11743505
111  53.24920447 -007.11659424
111  53.24932468 -007.11667741
111  53.24934112 -007.11647348
111  53.24936478 -007.11647038
111  53.24936342 -007.11647590
111  53.24937617 -007.11647305
111  53.24970895 -007.11667156
111  53.24986952 -007.11676734
112  53.24990121 -007.11691333  53.24989407 -007.11699782
111  53.24990121 -007.11691333
111  53.25004166 -007.11697917
112  53.25004166 -007.11697917  53.25006604 -007.11691456
111  53.25011531 -007.11690474
111  53.25021882 -007.11696932
111  53.25023692 -007.11698060
111  53.25023092 -007.11723452
111  53.25047962 -007.11725513
111  53.25039510 -007.11864988
111  53.25023889 -007.11868252
111  53.25016181 -007.11880103
112  53.25016181 -007.11880103  53.25011542 -007.11886663
111  53.25007018 -007.11891281
111  53.24949924 -007.12884813
111  53.24954634 -007.12885410
111  53.24949500 -007.12980687
111  53.24887161 -007.12973072
111  53.24892176 -007.12876275
113  53.24911566 -007.12879509
110 1 0.00 0.0000 New Taxiway 1
111  53.24920447 -007.11659424
111  53.24915022 -007.11657969
111  53.24915983 -007.11634672
111  53.24918353 -007.11632689
111  53.24934680 -007.11644687
111  53.24934112 -007.11647348
113  53.24932468 -007.11667741
130 Airport Boundary 5
111  53.25025654 -007.11870385
111  53.25014761 -007.11889354
111  53.24952083 -007.12989293
111  53.24885637 -007.12981131
111  53.24891796 -007.12875948
111  53.24961211 -007.11770747
111  53.24910957 -007.11748763
111  53.24918356 -007.11663228
111  53.24911882 -007.11661167
111  53.24915319 -007.11604806
111  53.24920646 -007.11588482
111  53.25052332 -007.11685378
113  53.25040513 -007.11867100
120 Linear Feature 7
111  53.24970895 -007.11667156 54
115  53.24972487 -007.11637692
120 Linear Feature 6
111  53.25023762 -007.11671364 54
115  53.25021882 -007.11696932
1300  53.24933768 -007.11628773 -22.67 hangar props Hangar
1301 A none 
1300  53.25036179 -007.11706996 -91.55 tie_down props Concrete Apron
1301 A general_aviation 
1300  53.25036149 -007.11758698 -185.82 tie_down props Grass Apron 5
1301 A general_aviation 
1300  53.25034950 -007.11779309 -185.82 tie_down props Grass Apron 4
1301 A general_aviation 
1300  53.25033837 -007.11800063 -185.82 tie_down props Grass Apron 3
1301 A general_aviation 
1300  53.25032480 -007.11820468 -185.82 tie_down props Grass Apron 2
1301 A general_aviation 
1300  53.25031247 -007.11840873 -185.82 tie_down props Grass Apron 1
1301 A general_aviation 
19  53.25030713 -007.11863161 1 New Windsock 1
51 12855 Clonbullogue Radio
99
