I
1050 Generated by WorldEditor 1.6.1r1

1     48 0 0 MRPM Palmar Sur Airport
100 18.00 1 0 0.25 0 0 0 03  08.94559860 -083.47216885    0    0 1 0 0 0 21  08.95621282 -083.46529747    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 40
111  08.94554989 -083.47300923
111  08.94571579 -083.47289638
111  08.94581614 -083.47304979
113  08.94565399 -083.47316204
110 2 0.00 0.0000 New Taxiway 40
111  08.94783825 -083.47154774
111  08.94789444 -083.47150925
111  08.94792898 -083.47156098
113  08.94787097 -083.47159985
110 2 0.00 0.0000 New Taxiway 40
111  08.94798184 -083.47144939
111  08.94822661 -083.47128172
111  08.94833827 -083.47146399
113  08.94809575 -083.47162477
110 2 0.00 0.0000 New Taxiway 40
111  08.94915973 -083.46863407
111  08.94940885 -083.46846064
111  08.94951686 -083.46862889
113  08.94926167 -083.46879822
110 2 0.00 0.0000 New Taxiway 39
111  08.95453516 -083.46568302
111  08.95432040 -083.46583887
111  08.95425850 -083.46574983
113  08.95448204 -083.46559906
110 2 0.00 0.0000 New Taxiway 38
111  08.95504670 -083.46558098
111  08.95498634 -083.46551105
111  08.95514194 -083.46537945
113  08.95519977 -083.46545365
110 2 0.00 0.0000 New Taxiway 37
111  08.95620551 -083.46496464
111  08.95616338 -083.46490710
111  08.95624952 -083.46484669
113  08.95628932 -083.46490316
110 1 0.00 0.0000 New Taxiway 34
111  08.94969353 -083.46957362
111  08.94951624 -083.46964680
112  08.94950451 -083.46947267  08.94946102 -083.46938363
112  08.94931954 -083.46921418  08.94924918 -083.46912799
111  08.94915189 -083.46916363
111  08.94892252 -083.46879544
111  08.94915973 -083.46863407
111  08.94926167 -083.46879822
111  08.94931032 -083.46887326
111  08.94927600 -083.46891910
111  08.94929443 -083.46904678
112  08.94955666 -083.46943550  08.94960122 -083.46949783
113  08.94968723 -083.46946437
110 1 0.00 0.0000 New Taxiway 36
111  08.94575042 -083.47287281
111  08.94571579 -083.47289638
111  08.94554989 -083.47300923
111  08.94546984 -083.47288252
112  08.94555076 -083.47271988  08.94556366 -083.47261481
112  08.94561632 -083.47218732  08.94562854 -083.47210777
111  08.94564931 -083.47207479
111  08.94570550 -083.47216877
112  08.94567877 -083.47229325  08.94567095 -083.47240009
113  08.94564622 -083.47270880
110 1 0.00 0.0000 New Taxiway 35
111  08.94781777 -083.47078800
111  08.94782836 -083.47085437
111  08.94801603 -083.47114633
111  08.94810689 -083.47109078
111  08.94822661 -083.47128172
111  08.94798184 -083.47144939
111  08.94789444 -083.47150925
111  08.94783825 -083.47154774
111  08.94782199 -083.47155888
111  08.94779993 -083.47152487
111  08.94792815 -083.47143754
111  08.94785159 -083.47132006
111  08.94796826 -083.47124967
111  08.94795995 -083.47117993
111  08.94778717 -083.47089344
113  08.94770370 -083.47084809
110 1 0.00 0.0000 New Taxiway 33
111  08.95491981 -083.46615796
111  08.95476492 -083.46591472
111  08.95559648 -083.46537453
111  08.95553901 -083.46528552
111  08.95611493 -083.46490608
111  08.95636537 -083.46529478
113  08.95625643 -083.46536652
130 Airport Boundary
111  08.94472890 -083.47199336
111  08.94547906 -083.47321568
111  08.94601228 -083.47327037
111  08.95663716 -083.46635814
111  08.95660821 -083.46504364
111  08.95575426 -083.46448201
113  08.94884781 -083.46870466
120 Linear Feature 43
111  08.94945345 -083.46937846 4
115  08.94949303 -083.46934872
120 Linear Feature 42
111  08.94788728 -083.47094832 4
115  08.94784190 -083.47097740
120 Linear Feature 41
111  08.94566403 -083.47245569 4
115  08.94558594 -083.47244792
14  08.95510081 -083.46550630   9.84 0 New Tower Viewpoint 5
1300  08.94563484 -083.47286276  23.00 tie_down props GA 11
1301 A general_aviation 
1300  08.94798394 -083.47129456  23.00 tie_down props GA 10
1301 A general_aviation 
1300  08.94811263 -083.47119199 178.07 tie_down props GA 09
1301 A general_aviation 
1300  08.94923962 -083.46889212 178.07 tie_down props GA 08
1301 A general_aviation 
1300  08.94901164 -083.46882545 -19.73 tie_down props GA 07
1301 A general_aviation 
1300  08.95521452 -083.46571633 -88.14 tie_down props GA 06
1301 A general_aviation 
1300  08.95539107 -083.46559521 -88.14 tie_down props GA 05
1301 A general_aviation 
1300  08.95555999 -083.46548291 -88.14 tie_down props GA 04
1301 A general_aviation 
1300  08.95578411 -083.46528261 -88.14 tie_down props GA 03
1301 A general_aviation 
1300  08.95593819 -083.46517449 -88.14 tie_down props GA 02
1301 A general_aviation 
1300  08.95610102 -083.46507700 -88.14 tie_down props GA 01
1301 A general_aviation 
18  08.95512230 -083.46546201 1 New Airport Beacon 6
99
