A
1050 Generated by WorldEditor 1.7.1r1

1    834 0 0 2G8 Gorham Airport
100 18.29 3 0 0.00 0 0 0 12  44.39475113 -071.20325248   76    0 0 0 0 0 30  44.39242862 -071.19289450   76    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 20
111  44.39357492 -071.19604759
111  44.39354361 -071.19591891
111  44.39359539 -071.19589431
111  44.39360625 -071.19593494
111  44.39363380 -071.19592269
111  44.39364706 -071.19597766
111  44.39361883 -071.19598922
113  44.39362689 -071.19602403
110 2 0.00 0.0000 New Taxiway 20
111  44.39363343 -071.19627507
111  44.39360150 -071.19613400
111  44.39370645 -071.19608470
113  44.39373980 -071.19622867
110 2 0.00 0.0000 New Taxiway 20
111  44.39367785 -071.19650432
111  44.39364041 -071.19633755
111  44.39373054 -071.19629990
113  44.39376664 -071.19646310
110 2 0.00 0.0000 New Taxiway 20
111  44.39373332 -071.19674026
111  44.39371510 -071.19666485
111  44.39370138 -071.19660805
111  44.39368982 -071.19656023
111  44.39377959 -071.19652008
113  44.39382402 -071.19670270
110 5 0.00 0.0000 New Taxiway 19
111  44.39359662 -071.19665126
111  44.39370138 -071.19660805
111  44.39371510 -071.19666485
113  44.39361009 -071.19671051
110 3 0.00 0.0000 New Taxiway 18
111  44.39278851 -071.19412181
111  44.39332105 -071.19464103
111  44.39329497 -071.19532973
111  44.39343891 -071.19596598
111  44.39354361 -071.19591891
111  44.39357492 -071.19604759
111  44.39347086 -071.19609798
111  44.39349053 -071.19618450
111  44.39360150 -071.19613400
111  44.39363343 -071.19627507
111  44.39352268 -071.19632594
111  44.39353623 -071.19638559
111  44.39364041 -071.19633755
111  44.39367785 -071.19650432
111  44.39357412 -071.19655226
111  44.39359662 -071.19665126
111  44.39361009 -071.19671051
111  44.39368997 -071.19706198
113  44.39346928 -071.19716493
130 BND
111  44.39456575 -071.20368559
111  44.39459339 -071.20342776
111  44.39212029 -071.19328905
111  44.39216406 -071.19308857
111  44.39203274 -071.19268762
111  44.39206458 -071.19256511
111  44.39188153 -071.19165183
111  44.39223569 -071.19152374
111  44.39237099 -071.19208062
111  44.39245456 -071.19228667
111  44.39276893 -071.19198595
111  44.39383540 -071.19333359
111  44.39347327 -071.19421348
111  44.39344542 -071.19466456
111  44.39389907 -071.19671948
111  44.39430496 -071.19673619
111  44.39444822 -071.20033931
111  44.39501727 -071.20262260
111  44.39492574 -071.20310710
113  44.39504115 -071.20358047
14  44.39369066 -071.19616680  80.00 0 TWR
1300  44.39329180 -071.19563237 199.03 tie_down props Tie-Down 2
1301 A general_aviation 
1300  44.39333622 -071.19582017 199.03 tie_down props Tie-Down 1
1301 A general_aviation 
1300  44.39356667 -071.19597818 199.03 hangar props Hangar 4
1301 A none 
1300  44.39362528 -071.19619512 199.03 hangar props Hangar 3
1301 A none 
1300  44.39366693 -071.19641746 199.03 hangar props Hangar 2
1301 A none 
1300  44.39371937 -071.19663656 199.03 hangar props Hangar 1
1301 A none 
19  44.39392826 -071.19764387 0 WS
51 12280 CTAF/Unicom
99
