I
1050 Generated by WorldEditor 1.6.0r1

1     42 0 0 EGET Lerwick Tingwall
100 17.98 1 0 0.00 0 1 0 02  60.18881238 -001.24514764   20    0 1 12 0 1 20  60.19544865 -001.24205815    0    0 1 0 0 1
110 2 0.00 0.0000 New Taxiway 1
111  60.18947092 -001.24659439
111  60.18923240 -001.24669959
111  60.18919413 -001.24628144
113  60.18942598 -001.24615832
110 1 0.00 0.0000 rway 20 runoff
111  60.18883721 -001.24529881
111  60.18840912 -001.24549364
111  60.18837157 -001.24516878
113  60.18880044 -001.24498307
110 1 0.00 0.0000 Apron
111  60.18868658 -001.24530502
111  60.18906445 -001.24517401
111  60.18901025 -001.24541286
111  60.18903147 -001.24561089
112  60.18913042 -001.24573992  60.18919900 -001.24573613
111  60.18922694 -001.24551973
111  60.18927730 -001.24528539
112  60.18924926 -001.24512805  60.18920631 -001.24507973
111  60.18918574 -001.24508821
111  60.18948775 -001.24495872
112  60.18934415 -001.24545979  60.18936748 -001.24565794
111  60.18942598 -001.24615832
111  60.18919413 -001.24628144
111  60.18923240 -001.24669959
111  60.18891300 -001.24684183
111  60.18884954 -001.24618514
111  60.18879973 -001.24572162
112  60.18875916 -001.24538201  60.18875488 -001.24534430
111  60.18875916 -001.24538201
114  60.18875916 -001.24538201  60.18875059 -001.24530659
130 Airport Boundary 43
111  60.18918932 -001.24782521
111  60.18924488 -001.24796604
111  60.18896511 -001.24843048
111  60.18803257 -001.24645790
111  60.18778290 -001.24632286
111  60.18775381 -001.24587111
111  60.18784827 -001.24506635
111  60.18792607 -001.24484280
111  60.19573483 -001.24112713
111  60.19648987 -001.24118341
111  60.19659336 -001.24179438
111  60.19604382 -001.24246229
111  60.18978828 -001.24549340
113  60.18956818 -001.24667530
120 Rway entry centreline A
112  60.18932670 -001.24522790  60.18932454 -001.24512406 1
115  60.18929832 -001.24506972
120 Rway entry centreline A
111  60.18928406 -001.24549052 1
112  60.18932670 -001.24522790  60.18933376 -001.24518554
111  60.18932670 -001.24522790
112  60.18932670 -001.24522790  60.18936779 -001.24496368 1
115  60.18946522 -001.24482392
120 Rway entry centreline B
112  60.18891271 -001.24542738  60.18889454 -001.24529214 1
115  60.18895439 -001.24513213
120 Rway entry centreline B
111  60.18883379 -001.24524937 1
112  60.18891271 -001.24542738  60.18892361 -001.24550140 1
115  60.18894166 -001.24565380
120 Hold B
111  60.18903147 -001.24561089 4
111  60.18894166 -001.24565380 4
115  60.18879973 -001.24572162
120 Hold A
111  60.18934415 -001.24545979 4
111  60.18928406 -001.24549052 4
115  60.18922694 -001.24551973
120 Linear Feature 6
111  60.18906755 -001.24629318 1
112  60.18907360 -001.24616453  60.18906972 -001.24611155 1
115  60.18906972 -001.24610064
120 Linear Feature 5
111  60.18901627 -001.24631413 1
111  60.18906755 -001.24629318 1
115  60.18916501 -001.24625335
120 Linear Feature 4
111  60.18894267 -001.24625180 1
115  60.18900697 -001.24633439
120 Linear Feature 3
112  60.18916501 -001.24625335  60.18916269 -001.24625024 1
112  60.18903099 -001.24618791  60.18894654 -001.24622063 1
115  60.18893260 -001.24631101
120 Linear Feature 2
111  60.18912282 -001.24604475 1
112  60.18903099 -001.24618791  60.18893415 -001.24625803
111  60.18903099 -001.24618791
112  60.18903099 -001.24618791  60.18891556 -001.24626115 1
115  60.18889658 -001.24603398
14  60.18890664 -001.24643744  19.69 0 ATC Tower
1300  60.18933066 -001.24639467 102.00 hangar props Hangar
1301 A none 
1300  60.18895337 -001.24603383 103.60 tie_down props Apron 01
1301 A general_aviation 
18  60.18913980 -001.24543631 1 BCN
19  60.18870284 -001.24556912 1 WS
19  60.19232909 -001.24413398 1 WS
51 12530 Tingwall Information
99
