A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     1374 1 0 LKMI Mikulovice
100   89.92   3   0 0.00 0 0 0 05   50.29901590  017.29209099    0.00    0.00 1  0 0 0 23   50.30439336  017.30330377    0.00    0.00 1  0 0 0
110   1 0.00  53.10 PARKING
111  50.29949613  017.29034485 
111  50.29929508  017.29076767 
111  50.29973373  017.29173094 
111  50.29983526  017.29186128 
111  50.29993680  017.29193758 
111  50.30032061  017.29245260 
111  50.30074910  017.29170233 
111  50.30061913  017.29149251 
111  50.30065365  017.29138442 
111  50.30051962  017.29117142 
111  50.30037747  017.29104107 
111  50.30022314  017.29084715 
111  50.30015409  017.29083443 
111  50.30002209  017.29111101 
111  50.29979871  017.29082807 
113  50.29981496  017.29073906 
111  50.30055618  017.29142892 
111  50.30039981  017.29177227 
111  50.30051962  017.29192804 
111  50.30035513  017.29225867 
111  50.29991852  017.29168643 
111  50.30006474  017.29133355 
111  50.30011347  017.29130176 
111  50.30021095  017.29137488 
113  50.30032467  017.29115234 
110   3 0.00  53.10 STRIP
111  50.29933155  017.29134188 
111  50.29846637  017.29239811 
111  50.30405613  017.30404810 
113  50.30501652  017.30287941 
130 Airport Boundary 38
111  50.29807505  017.29183878 
111  50.30403398  017.30439229 
111  50.30519002  017.30292827 
111  50.30031504  017.29305837 
111  50.30099000  017.29155362 
113  50.29959903  017.28995253 
14   50.30030912  017.29180167   82 0 TWR
15   50.30049492  017.29177225  46.05 Pred vezi
19   50.30031247  017.29190151 0 WS
54 12350 INFO

99
