A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      751 1 0 EPZA Zamosc-Mokre
100   45.72   3   0 0.00 1 2 1 12   50.70336023  023.19951301    0.00    0.00 2  9 0 0 30   50.69859577  023.21024044    0.00    0.00 2  9 0 0
110   2 0.00 180.00 znacznik7
111  50.69942233  023.20899804 
111  50.69941503  023.20899228 
111  50.69939835  023.20903097 
113  50.69940460  023.20903756 
110   2 0.00 180.00 znacznik7
111  50.69942233  023.20899804 
111  50.69941503  023.20899228 
111  50.69939835  023.20903097 
113  50.69940460  023.20903756 
110   2 0.00 180.00 znacznik7
111  50.69957943  023.20864668 
111  50.69957213  023.20864092 
111  50.69955545  023.20867961 
113  50.69956170  023.20868619 
110   2 0.00 180.00 znacznik7
111  50.69957943  023.20864668 
111  50.69957213  023.20864092 
111  50.69955545  023.20867961 
113  50.69956170  023.20868619 
110   2 0.00 180.00 znacznik7
111  50.69976435  023.20824106 
111  50.69975705  023.20823530 
111  50.69974036  023.20827399 
113  50.69974662  023.20828057 
110   2 0.00 180.00 znacznik7
111  50.69976435  023.20824106 
111  50.69975705  023.20823530 
111  50.69974036  023.20827399 
113  50.69974662  023.20828057 
110   2 0.00 180.00 znacznik7
111  50.69993453  023.20785610 
111  50.69992723  023.20785034 
111  50.69991055  023.20788903 
113  50.69991681  023.20789561 
110   2 0.00 180.00 znacznik7
111  50.69993453  023.20785610 
111  50.69992723  023.20785034 
111  50.69991055  023.20788903 
113  50.69991681  023.20789561 
110   2 0.00 180.00 znacznik7
111  50.70010145  023.20746081 
111  50.70009415  023.20745505 
111  50.70007746  023.20749374 
113  50.70008372  023.20750032 
110   2 0.00 180.00 znacznik7
111  50.70010145  023.20746081 
111  50.70009415  023.20745505 
111  50.70007746  023.20749374 
113  50.70008372  023.20750032 
110   2 0.00 180.00 znacznik7
111  50.70031582  023.20699576 
111  50.70030852  023.20699000 
111  50.70029184  023.20702869 
113  50.70029809  023.20703527 
110   2 0.00 180.00 znacznik7
111  50.70031582  023.20699576 
111  50.70030852  023.20699000 
111  50.70029184  023.20702869 
113  50.70029809  023.20703527 
110   2 0.00 180.00 znacznik7
111  50.70053510  023.20649970 
111  50.70052780  023.20649394 
111  50.70051112  023.20653263 
113  50.70051738  023.20653921 
110   2 0.00 180.00 znacznik7
111  50.70053510  023.20649970 
111  50.70052780  023.20649394 
111  50.70051112  023.20653263 
113  50.70051738  023.20653921 
110   2 0.00 180.00 znacznik7
111  50.70069220  023.20613282 
111  50.70068490  023.20612706 
111  50.70066822  023.20616575 
113  50.70067447  023.20617234 
110   2 0.00 180.00 znacznik7
111  50.70069220  023.20613282 
111  50.70068490  023.20612706 
111  50.70066822  023.20616575 
113  50.70067447  023.20617234 
110   2 0.00 180.00 znacznik7
111  50.70069220  023.20613282 
111  50.70068490  023.20612706 
111  50.70066822  023.20616575 
113  50.70067447  023.20617234 
110   2 0.00 180.00 znacznik7
111  50.70089348  023.20568844 
111  50.70088618  023.20568267 
111  50.70086950  023.20572136 
113  50.70087575  023.20572795 
110   2 0.00 180.00 znacznik7
111  50.70089512  023.20568844 
111  50.70088782  023.20568267 
111  50.70087113  023.20572136 
113  50.70087739  023.20572795 
110   2 0.00 180.00 znacznik7
111  50.70104894  023.20533189 
111  50.70104164  023.20532613 
111  50.70102496  023.20536482 
113  50.70103121  023.20537141 
110   2 0.00 180.00 znacznik7
111  50.70104894  023.20533189 
111  50.70104164  023.20532613 
111  50.70102496  023.20536482 
113  50.70103121  023.20537141 
110   2 0.00 180.00 znacznik7
111  50.70122240  023.20494951 
111  50.70121510  023.20494375 
111  50.70119842  023.20498244 
113  50.70120468  023.20498902 
110   2 0.00 180.00 znacznik7
111  50.70122240  023.20494951 
