I
1130 Generated by WorldEditor 2.2.0r2

1   1666 1 0 SCBA Balmaceda
1302 city Balmaceda
1302 country Chile
1302 datum_lat -45.916388889
1302 datum_lon -71.686944444
1302 faa_code 
1302 gui_label 2D
1302 iata_code BBA
1302 icao_code SCBA
1302 region_code SC
1302 state Aysén Region
1302 transition_alt 7000
1302 transition_level 
100 45.11 1 2 0.00 0 1 0 09 -45.91400827 -071.70531948    0   51 2 0 0 2 27 -45.91792266 -071.67354257    0   27 3 5 0 0
110 2 0.00 0.0000 New Taxiway 77
111 -45.91807955 -071.69757313
111 -45.91601072 -071.69620789
112 -45.91575002 -071.69608737 -45.91568599 -071.69606764
111 -45.91542224 -071.69600629
111 -45.91539632 -071.69618598
112 -45.91569818 -071.69627144 -45.91576222 -071.69629335
111 -45.91597413 -071.69639854
111 -45.91745448 -071.69739782
111 -45.91736758 -071.69766079
111 -45.91780055 -071.69795225
111 -45.91787983 -071.69768709
113 -45.91800637 -071.69777693
110 1 0.00 0.0000 New Taxiway 76
111 -45.91769422 -071.67342030
111 -45.91656726 -071.67312315
111 -45.91665508 -071.67246049
111 -45.91624528 -071.67236057
111 -45.91614454 -071.67312098
113 -45.91768322 -071.67350703
110 1 0.00 0.0000 New Taxiway 75
111 -45.91736455 -071.67372295
111 -45.91677929 -071.67361293
111 -45.91658434 -071.67382119
111 -45.91656326 -071.67403703
112 -45.91669809 -071.67380063 -45.91673010 -071.67376119
112 -45.91683987 -071.67368887 -45.91687798 -071.67369764
111 -45.91732468 -071.67382474
111 -45.91747713 -071.67391897
111 -45.91761282 -071.67401320
113 -45.91762404 -071.67395197
110 2 0.00 0.0000 New Taxiway 68
111 -45.91283597 -071.69102714
111 -45.91227034 -071.69056013
111 -45.91214045 -071.69166448
111 -45.91206727 -071.69163030
112 -45.91203797 -071.69193812 -45.91203924 -071.69194543
111 -45.91203797 -071.69193812
112 -45.91203797 -071.69193812 -45.91203289 -071.69200386
111 -45.91208879 -071.69209151
113 -45.91231435 -071.69228800
110 2 0.00 0.0000 New Taxiway 72
111 -45.91301976 -071.69247573
111 -45.91312140 -071.69222161
111 -45.91299541 -071.69211965
113 -45.91289483 -071.69237530
110 2 0.00 0.0000 New Taxiway 71
111 -45.91268097 -071.69217291
111 -45.91275932 -071.69197053
111 -45.91259627 -071.69183966
113 -45.91251899 -071.69203596
110 1 0.00 0.0000 New Taxiway 67
111 -45.91387939 -071.69168740
112 -45.91372389 -071.69165322 -45.91367942 -071.69163131
111 -45.91345877 -071.69143052
111 -45.91228059 -071.69044445
111 -45.91261355 -071.68775717
112 -45.91273832 -071.68758310 -45.91283742 -071.68758091
111 -45.91273832 -071.68758310
112 -45.91273832 -071.68758310 -45.91274442 -071.68758529
111 -45.91295054 -071.68763043
112 -45.91297432 -071.68748055 -45.91297585 -071.68747617
111 -45.91297432 -071.68748055
112 -45.91297432 -071.68748055 -45.91299719 -071.68734250
111 -45.91309873 -071.68736485
112 -45.91425861 -071.68765673 -45.91426166 -071.68765892
111 -45.91425861 -071.68765673
112 -45.91425861 -071.68765673 -45.91435313 -071.68768741
111 -45.91434643 -071.68783817
111 -45.91439216 -071.68784605
111 -45.91444522 -071.68744111
111 -45.91439765 -071.68743848
112 -45.91427325 -071.68756207 -45.91416653 -071.68755768
111 -45.91427325 -071.68756207
112 -45.91427325 -071.68756207 -45.91426715 -071.68755988
111 -45.91312068 -071.68725968
112 -45.91301640 -071.68710191 -45.91301945 -071.68693319
111 -45.91301640 -071.68710191
112 -45.91301640 -071.68710191 -45.91301792 -071.68709096
111 -45.91302738 -071.68695203
111 -45.91265233 -071.68684160
111 -45.91206727 -071.69163030
111 -45.91214045 -071.69166448
111 -45.91227034 -071.69056013
111 -45.91283597 -071.69102714
111 -45.91231435 -071.69228800
111 -45.91354727 -071.69331033
113 -45.91372114 -071.69299607
111 -45.91251899 -071.69203596
111 -45.91259627 -071.69183966
111 -45.91275932 -071.69197053
113 -45.91268097 -071.69217291
111 -45.91289483 -071.69237530
111 -45.91299541 -071.69211965
111 -45.91312140 -071.69222161
113 -45.91301976 -071.69247573
110 1 0.00 0.0000 New Taxiway 74
111 -45.91415778 -071.69309883
111 -45.91502056 -071.69503944
111 -45.91514350 -071.69392556
112 -45.91500958 -071.69399182 -45.91495013 -071.69395238
111 -45.91492616 -071.69388454
111 -45.91430268 -071.69237307
112 -45.91432902 -071.69215535 -45.91438208 -071.69207646
