A
1050 Generated by WorldEditor 1.6.1r1

1    200 1 0 KASH Boire Field Nashua
100 30.48 1 0 0.00 0 3 0 14  42.78689857 -071.52354328    0    8 3 8 0 0 32  42.77798272 -071.50469345  107    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 58
112  42.78532214 -071.51960321  42.78526256 -071.51966756
111  42.78532214 -071.51960321
111  42.78529577 -071.51955873
112  42.78529577 -071.51955873  42.78535027 -071.51949536
111  42.78551048 -071.51943555
113  42.78552680 -071.51949029
110 1 0.00 0.0000 New Taxiway 57
111  42.78592283 -071.52097370
112  42.78592283 -071.52097370  42.78601700 -071.52095825
111  42.78613209 -071.52086796
111  42.78615476 -071.52092261
112  42.78593591 -071.52103073  42.78584610 -071.52105805
113  42.78593591 -071.52103073
110 1 0.00 0.0000 New Taxiway 56
111  42.78645977 -071.52212647
111  42.78643797 -071.52208093
111  42.78658183 -071.52195915
113  42.78660291 -071.52200370
110 1 0.00 0.0000 New Taxiway 55
111  42.77935542 -071.50896048
111  42.77933536 -071.50891178
111  42.77956730 -071.50870745
113  42.77958997 -071.50875497
110 1 0.00 0.0000 New Taxiway 54
111  42.78511099 -071.52112734
111  42.78509215 -071.52109028
111  42.78532130 -071.52088783
113  42.78533908 -071.52092633
110 2 0.00 0.0000 New Taxiway 116
111  42.77674741 -071.50784940
111  42.77682969 -071.50777165
111  42.77688930 -071.50789794
111  42.77689775 -071.50791559
111  42.77690514 -071.50793102
111  42.77698002 -071.50808741
111  42.77698754 -071.50810312
111  42.77699507 -071.50811884
111  42.77724850 -071.50864817
111  42.77725538 -071.50866256
111  42.77726237 -071.50867719
111  42.77728644 -071.50872757
111  42.77729611 -071.50874780
111  42.77721011 -071.50882331
111  42.77719252 -071.50878630
111  42.77713093 -071.50865666
111  42.77712560 -071.50864391
111  42.77711926 -071.50863060
111  42.77704397 -071.50847243
111  42.77703596 -071.50845561
111  42.77686549 -071.50809747
111  42.77685839 -071.50808255
111  42.77685076 -071.50806653
113  42.77676927 -071.50789533
110 2 0.00 0.0000 New Taxiway 95
111  42.77969453 -071.51783477
111  42.77952886 -071.51787547
111  42.77949435 -071.51758978
111  42.77955009 -071.51757532
111  42.77954611 -071.51754096
111  42.77948506 -071.51755543
111  42.77946515 -071.51740354
111  42.77957588 -071.51737698
111  42.77964834 -071.51735960
111  42.77966268 -071.51751365
111  42.77965075 -071.51751662
111  42.77959654 -071.51753011
111  42.77960052 -071.51756808
113  42.77965585 -071.51755368
110 2 0.00 0.0000 New Taxiway 111
111  42.78200364 -071.52211046
111  42.78293439 -071.52190429
111  42.78296323 -071.52215684
111  42.78237580 -071.52229024
111  42.78236451 -071.52229280
111  42.78235322 -071.52229537
111  42.78224348 -071.52231969
111  42.78223206 -071.52232288
111  42.78222234 -071.52232588
113  42.78203231 -071.52236824
110 2 0.00 0.0000 New Taxiway 110
111  42.78227501 -071.52176936
111  42.78222342 -071.52135535
111  42.78264576 -071.52126942
113  42.78268972 -071.52166780
110 2 0.00 0.0000 New Taxiway 109
111  42.78173227 -071.52189434
111  42.78168258 -071.52150377
111  42.78169461 -071.52150096
111  42.78218519 -071.52138660
113  42.78223297 -071.52177457
110 2 0.00 0.0000 New Taxiway 108
111  42.78201476 -071.52086153
111  42.78199485 -071.52070783
111  42.78211164 -071.52068071
111  42.78209837 -071.52057583
111  42.78229080 -071.52053424
113  42.78232398 -071.52079462
110 2 0.00 0.0000 New Taxiway 107
111  42.78173739 -071.52092481
111  42.78170819 -071.52066443
111  42.78191522 -071.52061923
113  42.78194442 -071.52087599
110 2 0.00 0.0000 New Taxiway 106
111  42.78136671 -071.52074449
111  42.78157216 -071.52069458
111  42.78160878 -071.52095930
113  42.78140016 -071.52100921
110 2 0.00 0.0000 New Taxiway 105
111  42.78133646 -071.52044939
111  42.78131575 -071.52026496
111  42.78207700 -071.52008702
113  42.78210248 -071.52028448
110 2 0.00 0.0000 New Taxiway 104
111  42.78115013 -071.52000240
111  42.78112783 -071.51980929
111  42.78186519 -071.51963353
113  42.78188907 -071.51983750
110 2 0.00 0.0000 New Taxiway 77
111  42.77623379 -071.50748650
111  42.77603656 -071.50742799
111  42.77609296 -071.50707240
111  42.77612763 -071.50708325
111  42.77628953 -071.50713393
113  42.77628386 -071.50717119
110 2 0.00 0.0000 New Taxiway 78
111  42.77603785 -071.50852316
111  42.77604980 -071.50845446
111  42.77595733 -071.50842592
111  42.77577742 -071.50837039
111  42.77577097 -071.50840303
111  42.77571107 -071.50838420
111  42.77571475 -071.50835155
111  42.77569976 -071.50834811
111  42.77572863 -071.50818687
111  42.77567156 -071.50817059
111  42.77569280 -071.50804765
111  42.77574190 -071.50806211
111  42.77576712 -071.50791204
111  42.77579366 -071.50791747
111  42.77579764 -071.50787046
111  42.77585736 -071.50788673
111  42.77585073 -071.50793555
111  42.77612411 -071.50801691
111  42.77613606 -071.50794640
111  42.77615252 -071.50795227
111  42.77607478 -071.50840741
113  42.77605378 -071.50853039
110 2 0.00 0.0000 New Taxiway 79
111  42.77603859 -071.50893944
111  42.77602235 -071.50903310
111  42.77595557 -071.50941814
111  42.77567156 -071.50932774
113  42.77575610 -071.50884228
110 2 0.00 0.0000 New Taxiway 80
111  42.77633900 -071.50914184
111  42.77627408 -071.50953385
111  42.77603652 -071.50945791
113  42.77610143 -071.50906026
110 2 0.00 0.0000 New Taxiway 83
111  42.77711735 -071.51004837
111  42.77714774 -071.51002142
111  42.77742877 -071.50977416
111  42.77748545 -071.50989265
111  42.77760839 -071.51014963
111  42.77733102 -071.51038829
111  42.77726864 -071.51025630
111  42.77722352 -071.51030331
111  42.77713460 -071.51011527
111  42.77718105 -071.51007369
111  42.77717043 -071.51004657
113  42.77713195 -071.51007911
110 2 0.00 0.0000 New Taxiway 82
111  42.77677359 -071.50961263
111  42.77682160 -071.50933872
111  42.77683709 -071.50934173
111  42.77683930 -071.50932214
111  42.77698639 -071.50936885
111  42.77698086 -071.50939145
111  42.77699745 -071.50939748
113  42.77694768 -071.50966567
110 2 0.00 0.0000 New Taxiway 81
111  42.77668225 -071.50929954
111  42.77663879 -071.50956741
111  42.77646321 -071.50951334
113  42.77650899 -071.50924354
110 2 0.00 0.0000 New Taxiway 84
111  42.77766857 -071.50972895
111  42.77769806 -071.50979048
111  42.77773861 -071.50976160
111  42.77775377 -071.50979551
111  42.77783931 -071.50998690
111  42.77766147 -071.51013697
113  42.77752606 -071.50985635
110 2 0.00 0.0000 New Taxiway 89
111  42.78027700 -071.51611363
111  42.78006355 -071.51629897
111  42.77988328 -071.51591925
111  42.77991093 -071.51589364
111  42.77989434 -071.51585597
111  42.77990098 -071.51581679
111  42.77985453 -071.51580172
111  42.77987112 -071.51569625
111  42.77989103 -071.51570077
111  42.77989545 -071.51568419
111  42.78002263 -071.51557118
111  42.78012729 -071.51579438
113  42.78014419 -071.51583040
110 2 0.00 0.0000 New Taxiway 88
111  42.77791148 -071.51176177
111  42.77785973 -071.51164967
111  42.77843968 -071.51114521
113  42.77849011 -071.51126093
110 2 0.00 0.0000 New Taxiway 87
111  42.77774825 -071.51147247
111  42.77768985 -071.51135314
111  42.77828706 -071.51083060
113  42.77834148 -071.51094632
110 2 0.00 0.0000 New Taxiway 86
111  42.77762081 -071.51115877
111  42.77756643 -071.51104576
111  42.77814639 -071.51053950
113  42.77819947 -071.51065521
110 2 0.00 0.0000 New Taxiway 85
111  42.77758670 -071.51075195
111  42.77750745 -071.51057993
111  42.77794429 -071.51019571
113  42.77802355 -071.51036396
110 2 0.00 0.0000 New Taxiway 90
111  42.78031489 -071.51713541
111  42.78028569 -071.51706490
111  42.78025783 -071.51709021
111  42.78022332 -071.51701608
111  42.78024854 -071.51699619
111  42.78021403 -071.51692024
111  42.78023692 -071.51690256
111  42.78004427 -071.51649334
111  42.78032851 -071.51624137
111  42.78057420 -071.51675866
111  42.78062269 -071.51686075
113  42.78057094 -071.51690693
110 2 0.00 0.0000 New Taxiway 91
111  42.78086565 -071.51737229
111  42.78077353 -071.51745536
111  42.78068118 -071.51753864
111  42.78049671 -071.51715531
111  42.78063228 -071.51703501
113  42.78068376 -071.51698933
110 2 0.00 0.0000 New Taxiway 92
111  42.78041588 -071.51769239
111  42.78006074 -071.51777268
111  42.78001714 -071.51743248
111  42.77999999 -071.51729867
111  42.78011678 -071.51727154
111  42.78011412 -071.51723538
111  42.78016854 -071.51722272
111  42.78017252 -071.51726070
111  42.78028984 -071.51723215
113  42.78036014 -071.51721504
110 2 0.00 0.0000 New Taxiway 93
111  42.77982637 -071.51782547
111  42.77978788 -071.51752351
111  42.77984628 -071.51750724
111  42.77984229 -071.51746746
111  42.77989273 -071.51745480
111  42.77989671 -071.51749277
111  42.77995510 -071.51748193
111  42.77999093 -071.51778569
113  42.77990923 -071.51780544
110 2 0.00 0.0000 New Taxiway 96
111  42.77986245 -071.51876773
111  42.77980196 -071.51832307
111  42.78012930 -071.51824703
113  42.78018574 -071.51868962
110 2 0.00 0.0000 New Taxiway 98
111  42.78078113 -071.51845312
111  42.78063249 -071.51848205
111  42.78064045 -071.51855980
111  42.78057144 -071.51857426
111  42.78054357 -071.51836090
111  42.78055817 -071.51835909
111  42.78053694 -071.51820178
113  42.78074264 -071.51815296
110 2 0.00 0.0000 New Taxiway 97
111  42.78047170 -071.51821231
111  42.78051788 -071.51856165
111  42.78024555 -071.51862675
113  42.78019778 -071.51827958
110 2 0.00 0.0000 New Taxiway 99
111  42.78084351 -071.51848747
111  42.78079706 -071.51811680
111  42.78112486 -071.51804085
111  42.78116835 -071.51841406
113  42.78113163 -071.51842236
110 2 0.00 0.0000 New Taxiway 100
111  42.78092239 -071.51902599
111  42.78073979 -071.51906423
111  42.78053928 -071.51910623
111  42.78051540 -071.51888708
111  42.78062316 -071.51886102
113  42.78089213 -071.51879599
110 2 0.00 0.0000 New Taxiway 101
111  42.78148394 -071.51890624
111  42.78133467 -071.51894158
111  42.78114477 -071.51898653
111  42.78111557 -071.51874062
113  42.78138630 -071.51868276
110 2 0.00 0.0000 New Taxiway 102
111  42.78086028 -071.51934495
111  42.78164063 -071.51915400
111  42.78166930 -071.51938184
113  42.78088417 -071.51955976
110 2 0.00 0.0000 New Taxiway 112
111  42.78260484 -071.52275550
111  42.78223734 -071.52284389
111  42.78217517 -071.52285885
111  42.78214548 -071.52262574
111  42.78245086 -071.52255370
113  42.78257636 -071.52252409
110 2 0.00 0.0000 New Taxiway 113
111  42.78271186 -071.52249212
111  42.78316773 -071.52238457
111  42.78319693 -071.52261603
113  42.78273933 -071.52272382
110 2 0.00 0.0000 New Taxiway 114
111  42.78247160 -071.52330033
111  42.78244179 -071.52308436
111  42.78284189 -071.52298570
111  42.78284443 -071.52300655
111  42.78286891 -071.52320769
111  42.78282053 -071.52321897
111  42.78280786 -071.52322192
113  42.78279549 -071.52322481
110 2 0.00 0.0000 New Taxiway 115
111  42.78293262 -071.52296617
111  42.78339210 -071.52285550
111  42.78342076 -071.52307900
111  42.78296584 -071.52318508
113  42.78293541 -071.52298461
110 1 0.00 0.0000 New Taxiway 60
111  42.78693465 -071.52327358
111  42.78704746 -071.52331155
111  42.78711693 -071.52346407
111  42.78679841 -071.52374437
111  42.78664666 -071.52370216 102
111  42.78629994 -071.52400410 102
111  42.78618024 -071.52410833 3
111  42.78611714 -071.52416328
112  42.78611714 -071.52416328  42.78601628 -071.52425008 102
111  42.78589285 -071.52418860 102
111  42.78539402 -071.52389438
112  42.78539402 -071.52389438  42.78535155 -071.52386183 102
111  42.78527237 -071.52390192 102
111  42.78487405 -071.52424605
111  42.78456469 -071.52451334
112  42.78456469 -071.52451334  42.78446276 -071.52462184
111  42.78453411 -071.52475811
111  42.78459112 -071.52487051
112  42.78459112 -071.52487051  42.78467871 -071.52503543
111  42.78458953 -071.52517647
111  42.78446850 -071.52532620
112  42.78446850 -071.52532620  42.78445124 -071.52534609
111  42.78444620 -071.52542601
111  42.78450035 -071.52549979
111  42.78344926 -071.52686467
111  42.78339830 -071.52678656
112  42.78339830 -071.52678656  42.78337122 -071.52674533
111  42.78333618 -071.52679306
111  42.78309571 -071.52711204
112  42.78309571 -071.52711204  42.78305908 -071.52716195
111  42.78304793 -071.52727695
111  42.78321037 -071.52816878
111  42.78311641 -071.52819699
111  42.78280117 -071.52650923
111  42.78405133 -071.52486662
111  42.78407362 -071.52490134
112  42.78407362 -071.52490134  42.78412560 -071.52497819
111  42.78418510 -071.52490351
111  42.78432843 -071.52472124
112  42.78432684 -071.52458453  42.78428592 -071.52450919
111  42.78432684 -071.52458453
111  42.78367080 -071.52319661
112  42.78367080 -071.52319661  42.78365642 -071.52316346
111  42.78359244 -071.52316276
111  42.78248752 -071.52341099
111  42.78247160 -071.52330033
111  42.78279549 -071.52322481
111  42.78280786 -071.52322192
111  42.78282053 -071.52321897
111  42.78286891 -071.52320769
111  42.78296584 -071.52318508
111  42.78342076 -071.52307900
111  42.78339210 -071.52285550
111  42.78293262 -071.52296617
111  42.78293541 -071.52298461
111  42.78284443 -071.52300655
111  42.78284189 -071.52298570
111  42.78244179 -071.52308436
111  42.78242719 -071.52297225
111  42.78225732 -071.52300118
111  42.78223734 -071.52284389
111  42.78260484 -071.52275550
111  42.78273933 -071.52272382
111  42.78319693 -071.52261603
111  42.78316773 -071.52238457
111  42.78271186 -071.52249212
111  42.78257636 -071.52252409
111  42.78245086 -071.52255370
111  42.78214548 -071.52262574
111  42.78213592 -071.52256499
111  42.78204196 -071.52259754
111  42.78167726 -071.52204422
111  42.78157534 -071.52180988
111  42.78142564 -071.52127176
111  42.78142723 -071.52119799
111  42.78140016 -071.52100921
111  42.78160878 -071.52095930
111  42.78157216 -071.52069458
111  42.78136671 -071.52074449
111  42.78135405 -071.52062097
111  42.78133646 -071.52044939
111  42.78210248 -071.52028448
111  42.78227766 -071.52029099
111  42.78214707 -071.51999806
111  42.78208974 -071.52003061
111  42.78207700 -071.52008702
111  42.78131575 -071.52026496
111  42.78130938 -071.52020637
111  42.78116924 -071.52023892
111  42.78115013 -071.52000240
111  42.78188907 -071.51983750
111  42.78194163 -071.51987872
111  42.78207540 -071.51984834
111  42.78194163 -071.51955542
111  42.78189226 -071.51956843
111  42.78186519 -071.51963353
111  42.78112783 -071.51980929
111  42.78110394 -071.51975071
111  42.78097017 -071.51978542
111  42.78096220 -071.51971382
111  42.78090010 -071.51972033
111  42.78089850 -071.51961401
111  42.78088417 -071.51955976
111  42.78166930 -071.51938184
111  42.78164063 -071.51915400
111  42.78086028 -071.51934495
111  42.78085391 -071.51929504
111  42.78076791 -071.51930806
111  42.78073979 -071.51906423
111  42.78092239 -071.51902599
111  42.78089213 -071.51879599
111  42.78062316 -071.51886102
111  42.78049877 -071.51869618
111  42.78026148 -071.51875693
111  42.78024555 -071.51862675
111  42.78051788 -071.51856165
111  42.78047170 -071.51821231
111  42.78019778 -071.51827958
111  42.78018503 -071.51817760
111  42.78012293 -071.51819279
111  42.78012930 -071.51824703
111  42.77980196 -071.51832307
111  42.77978371 -071.51832731
111  42.77953049 -071.51809732
111  42.77949546 -071.51788468
111  42.77952781 -071.51787657
111  42.77969453 -071.51783477
111  42.77965585 -071.51755368
111  42.77965075 -071.51751662
111  42.77966268 -071.51751365
111  42.77964834 -071.51735960
111  42.77957588 -071.51737698
111  42.77956871 -071.51731620
111  42.77953049 -071.51722507
111  42.77963401 -071.51713828
111  42.77944609 -071.51675857
111  42.77949864 -071.51671084
111  42.77939603 -071.51649213
111  42.77949003 -071.51640323
111  42.77978200 -071.51699690
111  42.77992467 -071.51686883
111  42.77963049 -071.51627063
111  42.77976320 -071.51614255
111  42.78009326 -071.51681899
111  42.78020209 -071.51686962
111  42.78023692 -071.51690256
111  42.78021403 -071.51692024
111  42.78024854 -071.51699619
111  42.78022332 -071.51701608
111  42.78025783 -071.51709021
111  42.78028569 -071.51706490
111  42.78031489 -071.51713541
111  42.78057094 -071.51690693
111  42.78063228 -071.51703501
111  42.78049671 -071.51715531
111  42.78068118 -071.51753864
111  42.78077353 -071.51745536
111  42.78086565 -071.51737229
111  42.78068376 -071.51698933
111  42.78062269 -071.51686075
111  42.78057420 -071.51675866
111  42.78032851 -071.51624137
111  42.78045637 -071.51612393
111  42.78027437 -071.51573986
111  42.78025313 -071.51573443
111  42.78014419 -071.51583040
111  42.78012729 -071.51579438
111  42.78023986 -071.51570008
111  42.78024119 -071.51566753
111  42.77974484 -071.51462423
111  42.78012292 -071.51429095
112  42.78012292 -071.51429095  42.78021369 -071.51421501
111  42.78014840 -071.51402190
111  42.78003055 -071.51378756
111  42.77976778 -071.51402190
111  42.77970726 -071.51400237
111  42.77966267 -071.51407831
111  42.77942537 -071.51387435
111  42.77941900 -071.51382011
111  42.77925656 -071.51368559
112  42.77911005 -071.51348814  42.77909890 -071.51342087
111  42.77911005 -071.51348814
112  42.77911005 -071.51348814  42.77910368 -071.51344908
111  42.77908934 -071.51324079
111  42.77960056 -071.51280033
111  42.77953526 -071.51265712
111  42.77904794 -071.51308890
111  42.77896831 -071.51289580
111  42.77944289 -071.51247269
111  42.77936327 -071.51230128
111  42.77886639 -071.51274608
111  42.77876765 -071.51256816
111  42.77927727 -071.51211469
111  42.77919445 -071.51193894
111  42.77863440 -071.51243353
111  42.77860733 -071.51241617
111  42.77861211 -071.51236410
111  42.77855318 -071.51231636
111  42.77852929 -071.51233155
111  42.77850381 -071.51230118
111  42.77910261 -071.51175006
111  42.77902139 -071.51157865
111  42.77834933 -071.51217316
111  42.77820600 -071.51205165
111  42.77892265 -071.51140508
111  42.77855398 -071.51061965
111  42.77863654 -071.51055403
111  42.78028771 -071.51404091 102
112  42.78042072 -071.51402841  42.78048442 -071.51395066 102
111  42.78045741 -071.51386281 102
111  42.77850161 -071.50971417
112  42.77850161 -071.50971417  42.77847772 -071.50966355 102
111  42.77842357 -071.50965125 102
111  42.77829581 -071.50961797
112  42.77829581 -071.50961797  42.77821574 -071.50959731
111  42.77823565 -071.50970984
111  42.77854461 -071.51036292
111  42.77846816 -071.51044537
111  42.77807321 -071.50960135
112  42.77807321 -071.50960135  42.77803727 -071.50952727
111  42.77798402 -071.50951239
111  42.77784184 -071.50947030
112  42.77780036 -071.50953433  42.77779115 -071.50959712
111  42.77780036 -071.50953433
112  42.77780036 -071.50953433  42.77779817 -071.50954923
112  42.77780022 -071.50957302  42.77780196 -071.50958395
111  42.77780022 -071.50957302
112  42.77780022 -071.50957302  42.77780580 -071.50960815
111  42.77782617 -071.50962348
111  42.77787962 -071.50963227
111  42.77787271 -071.50969380
111  42.77782617 -071.50967999
112  42.77777456 -071.50971766  42.77776304 -071.50976997
111  42.77777456 -071.50971766
111  42.77775377 -071.50979551
111  42.77773861 -071.50976160
