I
1050 Generated by WorldEditor 1.6.0r1

1    761 0 0 CYPY FORT CHIPEWYAN
100 45.72 1 0 0.25 0 2 0 04  58.76318724 -111.12786600    0    0 3 0 0 0 22  58.77172237 -111.10728196    0    0 3 0 0 0
110 1 0.00 0.0000 New Taxiway 87
111  58.76813659 -111.11536734
111  58.76812045 -111.11472081
111  58.76791510 -111.11437389
111  58.76746365 -111.11362412
111  58.76713960 -111.11368159
111  58.76691611 -111.11423231
111  58.76646045 -111.11350919
111  58.76666253 -111.11301418
111  58.76642558 -111.11265132
111  58.76647171 -111.11253670
111  58.76670872 -111.11290102
111  58.76686024 -111.11252986
111  58.76683044 -111.11242451
111  58.76699061 -111.11205097
111  58.76746986 -111.11284354
112  58.76746986 -111.11284354  58.76751083 -111.11287227
111  58.76755065 -111.11279795
111  58.76797205 -111.11167832
112  58.76797205 -111.11167832  58.76802420 -111.11151549
111  58.76797154 -111.11136171
111  58.76785440 -111.11116330
112  58.76785440 -111.11116330  58.76776252 -111.11105555
111  58.76766387 -111.11121331
112  58.76766387 -111.11121331  58.76751736 -111.11143360
111  58.76732671 -111.11122239
111  58.76742049 -111.11100652
111  58.76770649 -111.11034822
111  58.76774461 -111.11026048
111  58.76797761 -111.11061885
111  58.76784282 -111.11093303
111  58.76803678 -111.11131604
112  58.76803678 -111.11131604  58.76810507 -111.11153155
111  58.76803406 -111.11176356
111  58.76756298 -111.11298961
112  58.76756298 -111.11298961  58.76751456 -111.11314046
111  58.76754706 -111.11324252
111  58.76804229 -111.11405900
111  58.76825212 -111.11440493
113  58.76856555 -111.11433642
110 2 0.00 0.0000 New Taxiway 99
112  58.76659388 -111.11012573  58.76658885 -111.11004259
111  58.76659388 -111.11012573
111  58.76666573 -111.11013543
111  58.76667795 -111.11004675
112  58.76667795 -111.11004675  58.76672178 -111.11005922
114  58.76671028 -111.11024490  58.76666933 -111.11031834
110 2 0.00 0.0000 New Taxiway 98
111  58.76691652 -111.11177849
111  58.76688359 -111.11172883
111  58.76694346 -111.11158911
113  58.76697580 -111.11163876
110 2 0.00 0.0000 New Taxiway 97
111  58.76687880 -111.11132236
111  58.76684706 -111.11127156
111  58.76687880 -111.11120227
113  58.76690874 -111.11125654
110 2 0.00 0.0000 New Taxiway 96
111  58.76677581 -111.11157410
111  58.76673809 -111.11150943
111  58.76677521 -111.11142398
113  58.76681473 -111.11148980
110 2 0.00 0.0000 New Taxiway 95
111  58.76648271 -111.11108772
111  58.76639792 -111.11095099
111  58.76647465 -111.11077739
113  58.76655943 -111.11091611
110 2 0.00 0.0000 New Taxiway 95
111  58.76660845 -111.11129210
111  58.76653085 -111.11117039
111  58.76660638 -111.11099679
113  58.76668398 -111.11112050
110 2 0.00 0.0000 New Taxiway 94
111  58.76709802 -111.11045104
111  58.76704018 -111.11035982
111  58.76709287 -111.11023510
113  58.76714915 -111.11032748
110 2 0.00 0.0000 New Taxiway 93
111  58.76687822 -111.10959784
111  58.76682577 -111.10970453
111  58.76680600 -111.10966922
113  58.76685811 -111.10956458
110 2 0.00 0.0000 New Taxiway 92
111  58.76668595 -111.10967737
111  58.76660763 -111.10955127
111  58.76673912 -111.10925335
113  58.76681744 -111.10937668
110 2 0.00 0.0000 New Taxiway 91
111  58.76655046 -111.11426735
111  58.76652842 -111.11423429
111  58.76657333 -111.11412575
113  58.76659560 -111.11415696
110 2 0.00 0.0000 New Taxiway 90
111  58.76652675 -111.11402487
111  58.76644604 -111.11421667
111  58.76642004 -111.11417638
113  58.76650091 -111.11398664
110 2 0.00 0.0000 New Taxiway 89
111  58.76742049 -111.11100652
111  58.76725977 -111.11075813
111  58.76754258 -111.11009299
113  58.76770649 -111.11034822
110 2 0.00 0.0000 New Taxiway 88
111  58.76635543 -111.11282375
111  58.76628757 -111.11271982
111  58.76641381 -111.11241478
111  58.76648146 -111.11251404
111  58.76647171 -111.11253670
113  58.76642558 -111.11265132
130 Airport Boundary
111  58.76515198 -111.11921601
111  58.76586380 -111.11350230
111  58.76522761 -111.11245561
111  58.76711837 -111.10838043
111  58.76783908 -111.10970168
111  58.76947180 -111.10582354
111  58.76964264 -111.10606023
111  58.77056622 -111.10607053
111  58.77198629 -111.10241498
111  58.77418579 -111.10553492
111  58.76295935 -111.13233158
113  58.76098517 -111.12902308
120 Linear Feature 102
111  58.76795607 -111.11627229 1
111  58.76830526 -111.11544750
112  58.76830526 -111.11544750  58.76845615 -111.11503012 1
115  58.76829406 -111.11474410
120 Linear Feature 101
111  58.76734607 -111.11316470 2
111  58.76787416 -111.11403737 1
111  58.76829406 -111.11474410
112  58.76829406 -111.11474410  58.76849495 -111.11496526 1
111  58.76863635 -111.11464765 1
115  58.76896917 -111.11384114
120 Linear Feature 100
111  58.76791510 -111.11437389 4
115  58.76804229 -111.11405900
21  58.76511439 -111.12462627 2 51.0600 3.00 04  PAPI-4L
21  58.76940182 -111.11144909 2 231.0800 3.00 22  PAPI-4L
14  58.76641156 -111.11254577  82.02 0 Tower Viewpoint
1300  58.76753418 -111.11061287 -39.17 hangar jets|turboprops|props Hangar 1
1301 A none 
1300  58.76717839 -111.11263687 -130.79 tie_down jets|turboprops|props GA Start 3
1301 A general_aviation 
1300  58.76707470 -111.11246102 -130.79 tie_down jets|turboprops|props GA Start 2
1301 A general_aviation 
1300  58.76697100 -111.11228517 -130.79 tie_down jets|turboprops|props GA Start 1
1301 A general_aviation 
