I
1050 Generated by WorldEditor 1.6.0r1

1   3244 0 0 CYRM ROCKY MOUNTAIN HOUSE
100 30.48 1 0 0.25 0 2 0 13  52.43599327 -114.91092213    0   59 2 0 0 0 31  52.42337083 -114.89751934    0   62 2 0 0 0
110 1 0.00 0.0000 New Taxiway 30
111  52.42884044 -114.90651704
111  52.42876870 -114.90644250
111  52.42881306 -114.90632485
113  52.42888424 -114.90639939
110 1 0.00 0.0000 New Taxiway 29
111  52.42897680 -114.90673282
111  52.42890843 -114.90691068
111  52.42874379 -114.90673842
111  52.42876460 -114.90668100
111  52.42886520 -114.90678146
113  52.42890993 -114.90666026
110 1 0.00 0.0000 New Taxiway 28
111  52.42877175 -114.90623488
111  52.42867870 -114.90647283
111  52.42859118 -114.90638101
113  52.42868344 -114.90614306
110 1 0.00 0.0000 New Taxiway 27
111  52.43037446 -114.90815490
111  52.43019340 -114.90863984
111  52.43002875 -114.90846665
113  52.43021740 -114.90799082
110 1 0.00 0.0000 New Taxiway 26
111  52.43245023 -114.91114786
111  52.43260636 -114.91075986
111  52.43270846 -114.91087559
113  52.43255193 -114.91126024
110 1 0.00 0.0000 New Taxiway 25
111  52.43286971 -114.91053683
111  52.43275559 -114.91083537
111  52.43263431 -114.91070811
113  52.43274705 -114.91041289
110 2 0.00 0.0000 New Taxiway 24
111  52.43183220 -114.91031698
111  52.43207066 -114.90971134
111  52.43227913 -114.90993035
113  52.43204477 -114.91053599
110 2 0.00 0.0000 New Taxiway 23
111  52.43209193 -114.91079528
111  52.43223370 -114.91045044
111  52.43230832 -114.91053341
111  52.43229259 -114.91057250
111  52.43227298 -114.91062121
111  52.43222638 -114.91073697
111  52.43220364 -114.91079346
113  52.43216854 -114.91088063
110 2 0.00 0.0000 New Taxiway 22
111  52.43076011 -114.90862408
111  52.43058742 -114.90844431
111  52.43062524 -114.90834967
111  52.43065602 -114.90838353
111  52.43068543 -114.90831355
111  52.43072217 -114.90835422
111  52.43069388 -114.90842376
111  52.43076563 -114.90850175
111  52.43077661 -114.90847098
113  52.43080505 -114.90850380
110 2 0.00 0.0000 New Taxiway 21
111  52.43101875 -114.90920429
111  52.43082571 -114.90899323
111  52.43091166 -114.90875721
111  52.43094854 -114.90879791
111  52.43106653 -114.90892714
113  52.43110848 -114.90897448
110 2 0.00 0.0000 New Taxiway 20
111  52.43120644 -114.90928649
111  52.43111735 -114.90951997
111  52.43100301 -114.90939603
113  52.43109320 -114.90916330
110 2 0.00 0.0000 New Taxiway 19
111  52.43136155 -114.90999028
111  52.43126371 -114.90988583
111  52.43144897 -114.90938435
113  52.43155021 -114.90948944
110 2 0.00 0.0000 New Taxiway 18
111  52.43161672 -114.90927109
111  52.43156063 -114.90941526
111  52.43147153 -114.90932326
113  52.43152542 -114.90917741
110 2 0.00 0.0000 New Taxiway 16
111  52.43306929 -114.91084042
111  52.43304646 -114.91089935
111  52.43302719 -114.91094911
111  52.43300249 -114.91101287
111  52.43288475 -114.91088982
113  52.43295484 -114.91071827
110 2 0.00 0.0000 New Taxiway 15
111  52.43282279 -114.91117295
111  52.43289124 -114.91099781
111  52.43297703 -114.91108538
111  52.43296254 -114.91112285
111  52.43293992 -114.91118131
113  52.43290812 -114.91126352
110 2 0.00 0.0000 New Taxiway 14
111  52.43290011 -114.91130660
111  52.43287777 -114.91136131
111  52.43284503 -114.91144144
111  52.43280751 -114.91153328
111  52.43267882 -114.91138894
113  52.43276966 -114.91116701
110 2 0.00 0.0000 New Taxiway 13
111  52.43318787 -114.91153815
111  52.43321444 -114.91146694
111  52.43323206 -114.91141970
111  52.43325698 -114.91135401
111  52.43329465 -114.91139265
111  52.43327875 -114.91143610
111  52.43331304 -114.91147062
111  52.43327932 -114.91156240
111  52.43324578 -114.91152860
113  52.43322729 -114.91157677
110 2 0.00 0.0000 New Taxiway 12
111  52.43334105 -114.91135403
111  52.43326937 -114.91128400
111  52.43329540 -114.91121325
111  52.43331363 -114.91116397
111  52.43333612 -114.91110254
113  52.43340840 -114.91117080
110 2 0.00 0.0000 New Taxiway 11
111  52.43369498 -114.91143799
111  52.43368047 -114.91147218
111  52.43361432 -114.91162808
111  52.43359119 -114.91168259
111  52.43344137 -114.91151769
113  52.43354256 -114.91127519
110 2 0.00 0.0000 New Taxiway 10
111  52.43245023 -114.91114786
111  52.43233468 -114.91102127
111  52.43252387 -114.91055620
112  52.43252387 -114.91055620  52.43253018 -114.91065190
113  52.43260636 -114.91075986
110 2 0.00 0.0000 New Taxiway 9
111  52.43052209 -114.90777942
111  52.43037446 -114.90815490
111  52.43021740 -114.90799082
113  52.43036895 -114.90761189
110 2 0.00 0.0000 New Taxiway 7
111  52.42976738 -114.90705992
111  52.42829248 -114.90549741
111  52.42861189 -114.90468931
111  52.42900857 -114.90511075
111  52.42967626 -114.90582010
113  52.43008082 -114.90624989
110 2 0.00 0.0000 New Taxiway 6
111  52.43152281 -114.90642249
111  52.43130922 -114.90648036
111  52.43108445 -114.90704405
111  52.43100018 -114.90725539
111  52.43103552 -114.90755038
111  52.43070551 -114.90719399
111  52.43088935 -114.90712236
111  52.43097005 -114.90692383
111  52.43119457 -114.90637147
113  52.43115074 -114.90602483
110 2 0.00 0.0000 New Taxiway 8
111  52.43295645 -114.91030162
111  52.43286971 -114.91053683
111  52.43274705 -114.91041289
113  52.43283745 -114.91017221
110 2 0.00 0.0000 New Taxiway 17
111  52.43169803 -114.90989654
111  52.43159060 -114.91016662
111  52.43148305 -114.91005023
113  52.43159315 -114.90977936
110 1 0.00 0.0000 New Taxiway 5
111  52.43582285 -114.91099626
111  52.43561051 -114.91152894
112  52.43561051 -114.91152894  52.43556736 -114.91162206
111  52.43547046 -114.91164982
111  52.43543496 -114.91166042
111  52.43463103 -114.91190063
