I
1050 Generated by WorldEditor

1   7707 0 0 MMSC [X] San Cristobal de las Casas
100 29.87 1 0 0.25 0 0 1 11  16.69469506 -092.54154309   63    0 2 0 0 0 29  16.68580712 -092.51844253   66    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 4
111  16.69245574 -092.53043561
111  16.69246603 -092.53039760
111  16.69250244 -092.53039346
111  16.69251828 -092.53042983
113  16.69249215 -092.53045875
110 2 0.00 0.0000 New Taxiway 3
111  16.69215888 -092.53055462
111  16.69210743 -092.53041660
111  16.69234649 -092.53031661
113  16.69239557 -092.53045875
110 2 0.00 0.0000 New Taxiway 2
111  16.69190711 -092.53056245
111  16.69203824 -092.53050930
111  16.69203361 -092.53049964
111  16.69210920 -092.53046904
111  16.69219558 -092.53071867
111  16.69212308 -092.53074282
111  16.69211752 -092.53072697
113  16.69199658 -092.53077503
110 1 0.00 0.0000 New Taxiway 1
111  16.69064061 -092.53063331
112  16.69075476 -092.53064619  16.69080567 -092.53064297
111  16.69087817 -092.53060915
112  16.69118516 -092.53049964  16.69129623 -092.53046421
111  16.69138570 -092.53038852
112  16.69194259 -092.52997945  16.69199504 -092.52994885
112  16.69217399 -092.52996173  16.69223415 -092.52999394
111  16.69231437 -092.53010346
112  16.69239304 -092.53022747  16.69239458 -092.53023552
111  16.69241310 -092.53025001
111  16.69244703 -092.53025646
111  16.69249023 -092.53035631
111  16.69240693 -092.53041106
111  16.69233751 -092.53023391
112  16.69224186 -092.53009218  16.69219713 -092.53002615
112  16.69209223 -092.52999072  16.69201355 -092.52998106
111  16.69189631 -092.53005514
112  16.69150140 -092.53035631  16.69143969 -092.53040623
111  16.69149831 -092.53044166
112  16.69160630 -092.53048998  16.69165875 -092.53050769
111  16.69171737 -092.53047548
111  16.69185466 -092.53041912
111  16.69190711 -092.53056245
111  16.69199658 -092.53077503
111  16.69172971 -092.53087810
112  16.69163869 -092.53065264  16.69161864 -092.53059949
111  16.69156773 -092.53058016
112  16.69145049 -092.53051897  16.69139187 -092.53049642
111  16.69130703 -092.53053024
111  16.69106329 -092.53063492
112  16.69086583 -092.53073477  16.69082110 -092.53077020
113  16.69073471 -092.53087810
110 1 0.00 0.0000 New Taxiway 21
111  16.69431419 -092.54092629 3 102
111  16.69414363 -092.54084216 3 102
111  16.69396233 -092.54077907 3 102
111  16.69370582 -092.54087722 3 102
111  16.69367359 -092.54090245 3 102
111  16.69358629 -092.54105808 3 102
111  16.69350840 -092.54125718 3
111  16.69353795 -092.54134971 3
111  16.69341302 -092.54140394 3
111  16.69329059 -092.54145708 3
111  16.69316708 -092.54151069 3
111  16.69304373 -092.54156423 3
111  16.69270933 -092.54069495 3
111  16.69283089 -092.54064508 3
111  16.69295933 -092.54059238 3
111  16.69307983 -092.54054295 3
111  16.69320489 -092.54049165 3
111  16.69323712 -092.54057016 3 102
111  16.69341171 -092.54066551 3 102
111  16.69361047 -092.54072439 3 102
111  16.69364459 -092.54071325 3 102
111  16.69388041 -092.54060802 3 102
111  16.69397039 -092.54042154 3 102
113  16.69404425 -092.54021964
110 1 0.00 0.0000 New Taxiway 20
111  16.68605294 -092.51945646
112  16.68597081 -092.51938462  16.68591754 -092.51935913
111  16.68565116 -092.51921313
112  16.68546802 -092.51902658  16.68543473 -092.51891535
112  16.68549577 -092.51869288  16.68556236 -092.51859671
113  16.68569777 -092.51852835
110 1 0.00 0.0000 New Taxiway 19
111  16.68759135 -092.52345213
112  16.68739931 -092.52326146  16.68728247 -092.52320538
111  16.68718577 -092.52316752
112  16.68701118 -092.52300769  16.68694404 -092.52287590
112  16.68699641 -092.52263055  16.68708236 -092.52254222
112  16.68714683 -092.52247773  16.68716026 -092.52245389
113  16.68717637 -092.52237258
120 Linear Feature 10
111  16.69316708 -092.54151069 20
115  16.69313692 -092.54142250
120 Linear Feature 9
111  16.69329059 -092.54145708 20
115  16.69325931 -092.54136926
120 Linear Feature 8
111  16.69341302 -092.54140394 20
115  16.69338297 -092.54132002
120 Linear Feature 29
111  16.69319394 -092.54087189 2
111  16.69310531 -092.54090694 2
112  16.69298712 -092.54098966  16.69289311 -092.54096302 2
116  16.69292803 -092.54086488  16.69293878 -092.54085366
120 Linear Feature 28
111  16.69309322 -092.54128550 2
112  16.69303950 -092.54118875  16.69305159 -092.54110603 2
112  16.69313619 -092.54110323  16.69316037 -092.54110463 2
111  16.69318723 -092.54112566 2
115  16.69327183 -092.54108640
120 Linear Feature 27
111  16.69356863 -092.54084665 1
112  16.69348537 -092.54085506  16.69345582 -092.54084945 1
111  16.69327855 -092.54078075 1
112  16.69313888 -092.54077374  16.69306233 -092.54080599 1
115  16.69292803 -092.54086488
120 Linear Feature 26
111  16.69406688 -092.54063213 1
112  16.69419312 -092.54049333  16.69421864 -092.54041341 1
116  16.69420386 -092.54028442  16.69418641 -092.54022974
120 Linear Feature 25
111  16.69437980 -092.54078776 1
112  16.69424281 -092.54063494  16.69415686 -092.54059708 1
111  16.69406688 -092.54063213 1
111  16.69356863 -092.54084665 1
112  16.69348268 -092.54093358  16.69344642 -092.54100508 1
111  16.69338733 -092.54111585 1
112  16.69328526 -092.54120558  16.69320603 -092.54123923 1
115  16.69309322 -092.54128550
120 Linear Feature 24
111  16.69370582 -092.54087722 4
115  16.69364459 -092.54071325
120 Linear Feature 23
111  16.69391264 -092.54073140 3
115  16.69393547 -092.54065148
120 Linear Feature 22
111  16.69396367 -092.54070476 3
115  16.69388847 -092.54068093
120 Linear Feature 7
111  16.69283089 -092.54064508 20
115  16.69287046 -092.54075035
120 Linear Feature 6
111  16.69295933 -092.54059238 20
