I
1050 Generated by WorldEditor 2.0.0r4

1   1427 1 0 KDLH Duluth Intl
100 45.72 2 0 0.00 1 3 0 9  46.84246246 -092.22029888    0  122 3 2 1 0 27  46.84135896 -092.17973065    0    0 3 8 0 0
100 45.72 1 0 0.00 0 3 0 3  46.83574921 -092.18828112    0    0 2 0 0 1 21  46.84911405 -092.17632184    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 10
111  46.83787772 -092.19258851 3
111  46.83782912 -092.19259281
112  46.83782912 -092.19259281  46.83773473 -092.19262228 3
112  46.83784715 -092.19279758  46.83793723 -092.19278680
111  46.83784715 -092.19279758 3
111  46.83786738 -092.19363244 3
111  46.83765520 -092.19364306 3
111  46.83763094 -092.19280763
112  46.83763094 -092.19280763  46.83773652 -092.19280209 3
112  46.83764557 -092.19260598  46.83757922 -092.19259988
111  46.83764557 -092.19260598 3
111  46.83753295 -092.19261109 3
111  46.83752418 -092.19232951
112  46.83752418 -092.19232951  46.83752408 -092.19230948 3
112  46.83752521 -092.19229520  46.83752551 -092.19227550
111  46.83752521 -092.19229520
111  46.83791677 -092.19227310
111  46.83791972 -092.19239285
111  46.83792552 -092.19262845
114  46.83792552 -092.19262845  46.83789787 -092.19259397 3
110 2 0.00 0.0000 New Taxiway 74
111  46.84334469 -092.17725591
111  46.84334099 -092.17711458
111  46.84333384 -092.17684168
111  46.84332361 -092.17645131
111  46.84331650 -092.17617998
111  46.84331289 -092.17604229
111  46.84348309 -092.17602817
111  46.84352817 -092.17602544
111  46.84353239 -092.17616804
111  46.84354044 -092.17644001
111  46.84355201 -092.17683062
111  46.84356000 -092.17710074
113  46.84356408 -092.17723847
110 2 0.00 0.0000 New Taxiway 33
111  46.83771048 -092.20164663
111  46.83769650 -092.20124356
111  46.83852258 -092.20120209
111  46.83852457 -092.20129987
111  46.83852846 -092.20149086
113  46.83853055 -092.20159390
110 2 0.00 0.0000 New Taxiway 32
111  46.83893063 -092.20440655
111  46.83876675 -092.20441267
111  46.83876189 -092.20420705
113  46.83892463 -092.20419715
110 2 0.00 0.0000 New Taxiway 31
111  46.83892160 -092.20409153
111  46.83875737 -092.20410368
111  46.83872817 -092.20303151
111  46.83888171 -092.20302417
111  46.83889331 -092.20302362
111  46.83890003 -092.20327713
111  46.83890473 -092.20345464
111  46.83891250 -092.20374789
113  46.83892091 -092.20406540
110 2 0.00 0.0000 New Taxiway 30
111  46.83883826 -092.20299370
111  46.83840043 -092.20301833
111  46.83839244 -092.20264888
113  46.83882750 -092.20262380
110 1 0.00 0.0000 New Taxiway 39
111  46.83841291 -092.19946059
112  46.83841291 -092.19946059  46.83836617 -092.19935774
112  46.83824902 -092.19935043  46.83814916 -092.19935292
111  46.83824902 -092.19935043
111  46.83824875 -092.19927317
111  46.83827817 -092.19927193
111  46.83826162 -092.19866809
113  46.83839240 -092.19865791
110 2 0.00 0.0000 New Taxiway 38
111  46.83809928 -092.20031671
111  46.83778646 -092.20033489
111  46.83776986 -092.19968998
113  46.83808549 -092.19967762
110 2 0.00 0.0000 New Taxiway 43
111  46.83799302 -092.19704258
111  46.83796846 -092.19648061
111  46.83816195 -092.19646183
113  46.83818259 -092.19702411
110 2 0.00 0.0000 New Taxiway 41
111  46.83802409 -092.19809779
111  46.83770102 -092.19811032
111  46.83768100 -092.19748244
113  46.83800746 -092.19746198
110 2 0.00 0.0000 New Taxiway 40
111  46.83827817 -092.19927193
111  46.83824875 -092.19927317
111  46.83797500 -092.19928472
111  46.83795781 -092.19868906
113  46.83826162 -092.19866809
110 2 0.00 0.0000 New Taxiway 14
111  46.84780133 -092.17390116
111  46.84778354 -092.17391642
111  46.84777536 -092.17392343
111  46.84772515 -092.17396648
111  46.84758987 -092.17408249
111  46.84744779 -092.17374122
111  46.84748304 -092.17371046
111  46.84761247 -092.17359756
113  46.84766033 -092.17355581
110 2 0.00 0.0000 New Taxiway 13
111  46.84727694 -092.17336780
111  46.84721509 -092.17322206
111  46.84715277 -092.17307523
111  46.84737699 -092.17287192
111  46.84750562 -092.17318043
113  46.84744455 -092.17323309
110 2 0.00 0.0000 New Taxiway 12
111  46.84694045 -092.17346586
111  46.84681894 -092.17319071
111  46.84700160 -092.17301966
113  46.84712762 -092.17330025
110 2 0.00 0.0000 New Taxiway 10
111  46.84636621 -092.17441724
111  46.84636764 -092.17404208
111  46.84659812 -092.17404100
111  46.84659808 -092.17441721
113  46.84647154 -092.17441688
110 2 0.00 0.0000 New Taxiway 8
111  46.83816529 -092.18973982
111  46.83800420 -092.18999638
111  46.83776394 -092.18967556
113  46.83792305 -092.18943536
110 2 0.00 0.0000 New Taxiway 7
111  46.83922686 -092.19078845
111  46.83900392 -092.19080164
111  46.83899109 -092.19047973
111  46.83909181 -092.19047288
113  46.83921762 -092.19046010
110 2 0.00 0.0000 New Taxiway 7
111  46.83923684 -092.19114294
111  46.83920592 -092.19114480
111  46.83901500 -092.19115628
111  46.83900431 -092.19083801
113  46.83922772 -092.19081904
110 2 0.00 0.0000 New Taxiway 1
111  46.83887994 -092.19365427
111  46.83887858 -092.19358369
111  46.83891504 -092.19358067
111  46.83891322 -092.19351315
111  46.83894994 -092.19351146
111  46.83931084 -092.19349489
111  46.83931140 -092.19363157
111  46.83924967 -092.19363482
111  46.83908990 -092.19364323
111  46.83907580 -092.19364397
113  46.83893667 -092.19365128
110 2 0.00 0.0000 New Taxiway 47
111  46.83929646 -092.19328078
111  46.83907337 -092.19329103
111  46.83906725 -092.19304828
113  46.83929167 -092.19303569
