I
1050 Generated by WorldEditor 2.3.0r2

1    203 0 0 CCZ3 Clarenville
100 22.86 1 0 0.25 0 2 1 08  48.27178334 -053.93077193    0    0 1 0 0 1 26  48.27758176 -053.91711291    0    0 1 0 0 1
110 2 0.00 0.0000 New Taxiway 56
111  48.27441677 -053.92719328
111  48.27450013 -053.92699626
111  48.27461207 -053.92710138
113  48.27452872 -053.92729840
110 1 0.00 0.0000 New Taxiway 52
111  48.27348162 -053.92704437
111  48.27350338 -053.92718112
111  48.27394818 -053.92757844
111  48.27396359 -053.92759220
111  48.27413358 -053.92749624
111  48.27431358 -053.92709638
111  48.27441677 -053.92719328
111  48.27452872 -053.92729840
111  48.27474096 -053.92749771
111  48.27439080 -053.92828998
111  48.27425427 -053.92847430
111  48.27413160 -053.92875969
111  48.27388922 -053.92855753
111  48.27406883 -053.92811421
111  48.27418749 -053.92821533
111  48.27424922 -053.92804766
111  48.27389452 -053.92771467
111  48.27348903 -053.92733398
113  48.27334558 -053.92735628
130 Airport Boundary 57
111  48.27499870 -053.92708867
111  48.27416187 -053.92907839
111  48.27367150 -053.92859018
111  48.27353561 -053.92860793
111  48.27107782 -053.93442190
111  48.27082377 -053.93469705
111  48.26980951 -053.93357795
111  48.27727150 -053.91644464
111  48.27722896 -053.91603984
111  48.27854057 -053.91291860
111  48.27967094 -053.91412946
111  48.27832965 -053.91725785
111  48.27806628 -053.91745963
113  48.27437088 -053.92649121
120 Linear Feature 55
111  48.27394818 -053.92757844 4
115  48.27389452 -053.92771467
120 Linear Feature 54
111  48.27346745 -053.92721669 1
112  48.27343088 -053.92694136  48.27347048 -053.92680158
111  48.27343088 -053.92694136 1
115  48.27369223 -053.92631955
120 Linear Feature 53
111  48.27400638 -053.92772869 1
111  48.27346745 -053.92721669 1
112  48.27327632 -053.92729977  48.27319796 -053.92741927
111  48.27327632 -053.92729977 1
115  48.27297787 -053.92799957
1300  48.27457200 -053.92760451 146.44 tie_down props Tie Down 3
1301 A general_aviation 
1300  48.27450187 -053.92776365 146.44 tie_down props Tie Down 2
1301 A general_aviation 
1300  48.27443317 -053.92792351 146.44 tie_down props Tie Down 1
1301 A general_aviation 
1300  48.27448220 -053.92722612 -122.22 hangar props Hangar
1301 A none 
18  48.27441947 -053.92808732 1 New Airport Beacon 26
19  48.27565090 -053.92285772 1 New Windsock 29
51 12320 Clarenville Traffic
99
