I
1050 Generated by WorldEditor 1.7.1r2

1     14 1 0 MTCH Cap Haitien Intl
100 39.93 1 0 0.25 0 2 0 05  19.71803356 -072.20754813    0   60 3 0 0 1 23  19.73651837 -072.19148089    0   60 3 0 0 1
110 2 0.00 39.2900 New Taxiway 7
111  19.73530872 -072.19556491
111  19.73481057 -072.19492040
111  19.73570400 -072.19414190
111  19.73593935 -072.19442739
111  19.73687173 -072.19360396
113  19.73714166 -072.19395113
110 1 0.00 39.2900 New Taxiway 6
111  19.73349652 -072.19435242
112  19.73349652 -072.19435242  19.73333535 -072.19475408 53 102
111  19.73371692 -072.19478927 53 102
111  19.73400118 -072.19482153 53 102
111  19.73464124 -072.19489418 53 102
112  19.73481140 -072.19484087  19.73489491 -072.19477957
111  19.73481140 -072.19484087 53 102
111  19.73564734 -072.19407032 53 102
111  19.73532620 -072.19366621 53 102
111  19.73500912 -072.19326722 53 102
112  19.73479154 -072.19322165  19.73464970 -072.19325766
111  19.73479154 -072.19322165
111  19.73519213 -072.19287851
112  19.73519213 -072.19287851  19.73510552 -072.19299720 53 102
111  19.73517769 -072.19313136 53 102
111  19.73548513 -072.19351920 53 102
111  19.73572436 -072.19382100
112  19.73572436 -072.19382100  19.73584487 -072.19396822 53 102
111  19.73604445 -072.19383033 53 102
111  19.73664683 -072.19332280
111  19.73687173 -072.19360396
111  19.73593935 -072.19442739
111  19.73570400 -072.19414190
111  19.73481057 -072.19492040
111  19.73530872 -072.19556491
111  19.73524997 -072.19562092
111  19.73496622 -072.19526658
112  19.73496622 -072.19526658  19.73487312 -072.19515545 53 102
111  19.73476451 -072.19514895 53 102
111  19.73397565 -072.19507058 53 102
111  19.73300965 -072.19497462
112  19.73300965 -072.19497462  19.73283517 -072.19497195
111  19.73266651 -072.19515857
113  19.73262292 -072.19510949
110 1 0.00 39.2900 New Taxiway 5
111  19.72546556 -072.20133148
112  19.72546556 -072.20133148  19.72537142 -072.20147150
111  19.72544172 -072.20159685
111  19.72557731 -072.20177383
111  19.72575388 -072.20200429
111  19.72657138 -072.20127500
111  19.72692689 -072.20175849
111  19.72596637 -072.20256539
111  19.72544348 -072.20188571
111  19.72531661 -072.20172082
112  19.72505406 -072.20168970  19.72489018 -072.20176841
113  19.72505406 -072.20168970
110 1 0.00 39.2900 New Taxiway 4
111  19.73704932 -072.19126535
111  19.73708631 -072.19131721
111  19.73668321 -072.19168681
113  19.73663230 -072.19162637
110 2 0.00 0.0000 New Taxiway 3
111  19.73663230 -072.19162637
111  19.73668321 -072.19168681
111  19.73635785 -072.19198447
113  19.73617348 -072.19202288
110 2 0.00 0.0000 New Taxiway 2
111  19.71932040 -072.20618907
111  19.71923522 -072.20608710
111  19.71942961 -072.20590238
113  19.71968191 -072.20587705
110 2 0.00 0.0000 New Taxiway 1
111  19.71792115 -072.20740228
111  19.71786033 -072.20732576
111  19.71821154 -072.20702420
113  19.71838816 -072.20700025
130 Airport Boundary
111  19.73626304 -072.18966631
111  19.73684595 -072.18981493
111  19.73732782 -072.18962502
111  19.73776306 -072.18898923
111  19.73920333 -072.18992628
111  19.73782766 -072.19125567
111  19.73764890 -072.19156118
111  19.73749063 -072.19423496
111  19.73791810 -072.19480608
111  19.73344929 -072.19878699
111  19.73244881 -072.20108510
111  19.73167657 -072.20064518
111  19.73128486 -072.20024093
111  19.73021681 -072.19990265
111  19.72984375 -072.20091327
111  19.72857750 -072.20053368
111  19.71598967 -072.21146592
111  19.71395902 -072.20893223
111  19.72765434 -072.19699529
111  19.72713206 -072.19665843
111  19.72785953 -072.19609367
113  19.72841912 -072.19640082
120 Runway Hold 03
111  19.72557731 -072.20177383 54
115  19.72544348 -072.20188571
120 Runway Hold 02
111  19.73400118 -072.19482153 54
115  19.73397565 -072.19507058
120 Runway Hold 01
111  19.73548513 -072.19351920 54
115  19.73532620 -072.19366621
120 Linear Feature 23
111  19.72456124 -072.20188549 51
111  19.72503572 -072.20147584
112  19.72503572 -072.20147584  19.72517731 -072.20142144 51
115  19.72528721 -072.20153637
120 Linear Feature 22
111  19.72570144 -072.20089950 51
111  19.72528871 -072.20125794
112  19.72528871 -072.20125794  19.72518829 -072.20134595 51
111  19.72528721 -072.20153637 51
115  19.72569397 -072.20207810
120 Linear Feature 19
112  19.73300965 -072.19497462  19.73285065 -072.19496684 53 102
115  19.73274147 -072.19501172
120 Linear Feature 18
112  19.73573808 -072.19401444  19.73582386 -072.19410112 51
115  19.73592140 -072.19404717
120 Linear Feature 17
111  19.73572930 -072.19421181 51
111  19.73592140 -072.19404717 51
115  19.73646066 -072.19358502
120 Linear Feature 16
112  19.73568242 -072.19445843  19.73562053 -072.19434174 51
115  19.73568067 -072.19425425
120 Linear Feature 15
111  19.73549695 -072.19441463 51
112  19.73568242 -072.19445843  19.73577395 -072.19454456
111  19.73568242 -072.19445843 51
115  19.73598548 -072.19485462
120 Linear Feature 14
112  19.73540317 -072.19471787  19.73534389 -072.19460581 51
115  19.73538260 -072.19451446
120 Linear Feature 13
111  19.73521466 -072.19466106 51
112  19.73540317 -072.19471787  19.73548336 -072.19480307
111  19.73540317 -072.19471787 51
115  19.73569437 -072.19509829
120 Linear Feature 12
112  19.73511351 -072.19495706  19.73505358 -072.19485673 51
115  19.73509563 -072.19476497
120 Linear Feature 11
111  19.73493790 -072.19490265 51
112  19.73511351 -072.19495706  19.73520189 -072.19505224
111  19.73511351 -072.19495706 51
115  19.73542535 -072.19535333
120 Linear Feature 10
112  19.73500956 -072.19309576  19.73489406 -072.19289048 51
111  19.73504922 -072.19277050 51
115  19.73532944 -072.19252885
120 Linear Feature 9
111  19.73326807 -072.19487170 51
