A
1000 Generated by WorldEditor

1     59 0 0 PASA Savoonga
100 30.48 5 0 0.00 0 2 0 05  63.68279084 -170.50842972    0   91 1 0 0 0 23  63.68890116 -170.48495075    0   91 1 0 0 0
110 5 0.00 12.0000 New Taxiway 15
112  63.68260947 -170.50730411  63.68254960 -170.50723427
112  63.68257486 -170.50710295  63.68257963 -170.50707154
112  63.68267565 -170.50699907  63.68273861 -170.50707589
111  63.68267565 -170.50699907
112  63.68267565 -170.50699907  63.68273036 -170.50705960
114  63.68270894 -170.50721666  63.68269899 -170.50727500
110 5 0.00 12.0000 New Taxiway 14
111  63.68926493 -170.48420472
112  63.68933263 -170.48484194  63.68939081 -170.48503696
112  63.68954024 -170.48537893  63.68957847 -170.48567520
111  63.68954024 -170.48537893
111  63.68980643 -170.48579348
111  63.68970678 -170.48619395
111  63.68962210 -170.48627335
111  63.68973884 -170.48754887
112  63.68973884 -170.48754887  63.68993354 -170.48814736
111  63.69007379 -170.48747652
111  63.69082563 -170.48847335
111  63.69054956 -170.48953582
111  63.69083395 -170.48993857
111  63.69055800 -170.49104786
111  63.69017931 -170.49096073
111  63.69001113 -170.49160800
111  63.68919723 -170.49057154
111  63.68951079 -170.48932549
112  63.68951079 -170.48912452  63.68949797 -170.48897993
112  63.68925780 -170.48636713  63.68917302 -170.48545207
113  63.68879814 -170.48594112
111  63.69049877 -170.49056992
111  63.69035344 -170.49035522
111  63.69028234 -170.49060022
113  63.69042767 -170.49081492
111  63.69062351 -170.49028183
111  63.69054934 -170.49017147
111  63.69051758 -170.49028015
113  63.69059175 -170.49039051
110 5 0.00 12.0000 New Taxiway 13
111  63.68779933 -170.48851225
111  63.68759745 -170.48827224
111  63.68762565 -170.48811899
113  63.68783714 -170.48838213
110 5 0.00 12.0000 New Taxiway 12
111  63.68407826 -170.50424314
111  63.68424810 -170.50450348
111  63.68421807 -170.50463047
113  63.68403604 -170.50435532
110 5 0.00 12.0000 New Taxiway 10
111  63.68237164 -170.51103418
111  63.68198683 -170.51052462
111  63.68918860 -170.48285172
113  63.68957292 -170.48336323
110 1 0.00 12.0000 New Taxiway 16
111  63.69062351 -170.49028183
111  63.69059175 -170.49039051
111  63.69051758 -170.49028015
113  63.69054934 -170.49017147
110 1 0.00 12.0000 New Taxiway 16
111  63.69042767 -170.49081492
111  63.69028234 -170.49060022
111  63.69035344 -170.49035522
113  63.69049877 -170.49056992
130 Airport Boundary 11
111  63.68201933 -170.51049253
111  63.68918510 -170.48296949
111  63.68953434 -170.48340719
111  63.69019302 -170.48688028
111  63.69124202 -170.48839751
111  63.69028397 -170.49247948
111  63.68914747 -170.49104191
111  63.68902998 -170.48719423
111  63.68840091 -170.48750858
113  63.68236590 -170.51095281
21  63.68419843 -170.50449638 1 59.5700 3.0 05  VASI
21  63.68767635 -170.48827018 1 239.5900 3.0 23  VASI
14  63.69051362 -170.48982859   0.00 0 New Tower Viewpoint 12
1300  63.69028992 -170.48848468 -32.19 misc props GA 1
1300  63.68966036 -170.49039057  62.50 misc props GA 2
1300  63.69020343 -170.48997762 243.18 misc turboprops Gate
18  63.68965904 -170.48589258 1 BCN
19  63.68265365 -170.50713906 1 WS
19  63.68964494 -170.48572630 1 WS
50 12130 Weather
51 12270 CTAF
99
