I
1050 Generated by WorldEditor 1.7.1r2

1    254 0 0 PHJH Lahaina Kapalua Airport
100 30.48 1 0 0.25 0 2 0 2  20.95926920 -156.67514404    0    0 2 0 0 1 20  20.96662580 -156.67097987    0    0 2 0 0 0
110 1 0.00 27.8600 New Taxiway 68
111  20.96649414 -156.67144957
111  20.96619118 -156.67145625
111  20.96306623 -156.67322399
112  20.96300626 -156.67326695  20.96299031 -156.67328720
111  20.96297684 -156.67333537
111  20.96279953 -156.67397431
111  20.96273674 -156.67419697
111  20.96294656 -156.67465551
111  20.96296017 -156.67469858
111  20.96293028 -156.67472881
111  20.96295191 -156.67479084
111  20.96291502 -156.67487738
111  20.96263960 -156.67502773
111  20.96263045 -156.67506304
111  20.96265218 -156.67512309
111  20.96260332 -156.67515156
111  20.96257123 -156.67509114
111  20.96254271 -156.67510785
111  20.96252341 -156.67506834
111  20.96238192 -156.67515554
111  20.96239614 -156.67518931
111  20.96233108 -156.67522535
111  20.96230654 -156.67523894
111  20.96185562 -156.67548867
111  20.96189272 -156.67555659
111  20.96153163 -156.67575608
111  20.96147445 -156.67563270
111  20.96108027 -156.67483988
111  20.96106365 -156.67481269
111  20.96092546 -156.67453896
112  20.96088279 -156.67449525  20.96085125 -156.67447935
111  20.96081662 -156.67449591
111  20.95989729 -156.67501621
111  20.95987733 -156.67503741
111  20.95971763 -156.67528799
111  20.95944133 -156.67544122
112  20.95941531 -156.67543841  20.95940349 -156.67543314
111  20.95939422 -156.67542378
111  20.95916803 -156.67497441
111  20.95953685 -156.67476354
111  20.96654974 -156.67079288
113  20.96679782 -156.67127987
111  20.96251621 -156.67353456
111  20.96117465 -156.67429433
112  20.96113510 -156.67434936  20.96112531 -156.67438546
111  20.96114981 -156.67443141
111  20.96125201 -156.67463503
111  20.96130188 -156.67474662
112  20.96140393 -156.67483095  20.96146887 -156.67485192
111  20.96154170 -156.67480424
111  20.96237621 -156.67433487
112  20.96244658 -156.67427297  20.96246763 -156.67422974
111  20.96248801 -156.67416452
