I
1050 Generated by WorldEditor 2.2.0r2

1     17 1 0 KTFP McCampbell-Porter
100 22.86 1 0 0.25 0 2 0 13  27.91828498 -097.21650464    0    0 2 0 0 0 31  27.90778325 -097.20649496    0    0 2 0 0 0
110 2 0.00 0.0000 Taxiway 18h
111  27.91550851 -097.21196900
111  27.91554796 -097.21191452
111  27.91557705 -097.21194217
111  27.91574810 -097.21170647
111  27.91600874 -097.21195139
111  27.91583234 -097.21219420
111  27.91585515 -097.21221659
113  27.91582011 -097.21226475
110 2 0.00 0.0000 Taxiway 17h
111  27.91515165 -097.21162897
111  27.91533262 -097.21138982
111  27.91560614 -097.21165248
113  27.91542937 -097.21189359
110 2 0.00 0.0000 Taxiway 16h
111  27.91614731 -097.21174087
111  27.91541672 -097.21106615
111  27.91551504 -097.21093279
113  27.91624273 -097.21160191
110 2 0.00 0.0000 Taxiway 15h
111  27.91622327 -097.20996794
111  27.91636116 -097.21010199
111  27.91622313 -097.21028620
113  27.91608406 -097.21015720
110 2 0.00 0.0000 Taxiway 14h
111  27.91690275 -097.20967599
111  27.91671523 -097.20991409
111  27.91644616 -097.20963959
113  27.91663801 -097.20940137
110 2 0.00 0.0000 Taxiway 13h
111  27.91555381 -097.21032720
111  27.91503021 -097.21104090
111  27.91491083 -097.21092925
111  27.91495331 -097.21087129
111  27.91501554 -097.21078639
111  27.91502634 -097.21077195
111  27.91503675 -097.21075774
111  27.91523948 -097.21048087
111  27.91524873 -097.21046825
111  27.91525762 -097.21045613
111  27.91530994 -097.21038474
111  27.91531962 -097.21037153
111  27.91532938 -097.21035822
113  27.91543280 -097.21021712
110 2 0.00 0.0000 Taxiway 12h
111  27.91526990 -097.21006516
111  27.91474862 -097.21077754
111  27.91462761 -097.21066561
113  27.91515005 -097.20995718
110 2 0.00 0.0000 Taxiway 11h
111  27.91408991 -097.20948096
111  27.91394731 -097.20934326
111  27.91420501 -097.20899802
111  27.91434688 -097.20913116
111  27.91426549 -097.20924195
113  27.91412573 -097.20943220
110 2 0.00 0.0000 Taxiway 10h
111  27.91444276 -097.20904288
111  27.91436719 -097.20897213
111  27.91439672 -097.20893397
111  27.91436357 -097.20890485
111  27.91454969 -097.20865936
