A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     1958 0 0 UI95 Nizhnyaya Gutara
100   99.97   3   0 0.00 0 0 0 9    54.66432891  097.38099902    0.00    0.00 1  0 0 0 27   54.66900509  097.38566726    0.00    0.00 1  0 0 0
110   3 0.00 120.00 appron
111  54.66833428  097.38581688 
111  54.66835330  097.38605590 
111  54.66816324  097.38662481 
111  54.66855293  097.38701707 
113  54.66879633  097.38628326 
130 Airport Boundary
111  54.66328722  097.37728979 
111  54.66195591  097.38129972 
111  54.66953202  097.38908232 
113  54.67089078  097.38507238 
15   54.66843126  097.38660596 300.00 Ramp Start
19   54.66819238  097.38625543 0 Windsock

99
