I
1050 Generated by WorldEditor 2.3.0r2

1    100 0 0 EIBT Belmullet
100 29.87 3 0 0.00 0 0 0 07  54.22139814 -010.03485550    0    0 0 0 0 0 25  54.22380058 -010.02730666    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 37
111  54.22360014 -010.02646208
111  54.22394125 -010.02622650
111  54.22450177 -010.02685106
111  54.22298037 -010.03173737
111  54.22216073 -010.03423909
112  54.22216073 -010.03423909  54.22201151 -010.03441980
112  54.22195164 -010.03484716  54.22198037 -010.03508177
111  54.22195164 -010.03484716
111  54.22185235 -010.03526443
112  54.22185235 -010.03526443  54.22172724 -010.03536905
111  54.22152157 -010.03531585
113  54.22098218 -010.03488215
130 Airport Boundary 38
111  54.22178817 -010.03562039
111  54.22096131 -010.03491410
111  54.22358130 -010.02645093
111  54.22394367 -010.02621473
113  54.22452290 -010.02684249
1300  54.22186154 -010.03476401 -208.15 tie_down props Stand 3
1301 A general_aviation 
1300  54.22180259 -010.03495043 -208.15 tie_down props Stand 2
1301 A general_aviation 
1300  54.22174365 -010.03514065 -208.15 tie_down props Stand 1
1301 A general_aviation 
19  54.22160616 -010.03283893 1 New Windsock 13
51 12360 Belmullet Radio
99
