I
1050 Generated by WorldEditor 1.6.0r1

1   1652 1 0 CYXE Saskatoon J G Diefenbaker Intl
100 43.73 2 0 0.00 0 3 0 09  52.17854140 -106.71812230    0    0 3 10 0 0 27  52.17419875 -106.68181912    0    0 3 11 0 0
100 46.02 2 0 0.00 0 2 0 15  52.17899361 -106.70570195    0    0 3 11 0 0 33  52.16293788 -106.69672819    0    0 3 11 0 0
110 1 0.00 0.0000 New Taxiway 15
111  52.17295214 -106.69702839 102
112  52.17291298 -106.69706342  52.17289568 -106.69709230 102
111  52.17288514 -106.69712184
113  52.17286831 -106.69698148
110 1 0.00 0.0000 New Taxiway 42
111  52.17035676 -106.67463616
111  52.17025679 -106.67463901
111  52.17025919 -106.67318166
113  52.17036142 -106.67318107
110 1 0.00 0.0000 New Taxiway 41
111  52.17081845 -106.67463169
111  52.17070739 -106.67463083
111  52.17070686 -106.67312233
113  52.17081950 -106.67312062
110 1 0.00 0.0000 New Taxiway 40
111  52.17107681 -106.67463820
111  52.17107525 -106.67312207
111  52.17118439 -106.67312350
113  52.17118266 -106.67463444
110 1 0.00 0.0000 New Taxiway 39
111  52.17141556 -106.67362972
111  52.17141682 -106.67276356
111  52.17155889 -106.67275946
113  52.17155889 -106.67362972
110 1 0.00 0.0000 New Taxiway 37
111  52.17143442 -106.67464644
111  52.17143261 -106.67384199
111  52.17156025 -106.67384347
113  52.17155844 -106.67463906
110 1 0.00 0.0000 New Taxiway 36
111  52.16916145 -106.68511334
111  52.16916031 -106.68535135
111  52.16901094 -106.68533806
111  52.16900823 -106.68525984
111  52.16896749 -106.68525098
111  52.16896387 -106.68492922
111  52.16897745 -106.68493069
111  52.16897776 -106.68487549
113  52.16916102 -106.68487939
110 1 0.00 0.0000 New Taxiway 29
111  52.16839478 -106.68192665
111  52.16823353 -106.68211842
111  52.16820084 -106.68203847
113  52.16836052 -106.68184578
110 1 0.00 0.0000 New Taxiway 28
111  52.16735238 -106.68202424
111  52.16735238 -106.68204491
111  52.16719939 -106.68204343
111  52.16719939 -106.68205376
111  52.16719939 -106.68205376
111  52.16663631 -106.68206704
111  52.16663812 -106.68147668
111  52.16735872 -106.68147077
111  52.16735691 -106.68176300
111  52.16762034 -106.68176300
113  52.16761582 -106.68202277
110 1 0.00 0.0000 New Taxiway 27
111  52.17019671 -106.68579807
111  52.17019838 -106.68575103
111  52.17025873 -106.68575127
111  52.17032744 -106.68587131
111  52.17035093 -106.68587229
111  52.17035370 -106.68592259
111  52.17036690 -106.68598819
111  52.17035244 -106.68604047
111  52.17035307 -106.68607839
111  52.17031032 -106.68607839
111  52.17031472 -106.68633670
111  52.17021853 -106.68637052
111  52.16980676 -106.68637257
113  52.16980860 -106.68579046
110 1 0.00 0.0000 New Taxiway 26
111  52.16766114 -106.69038019
111  52.16771328 -106.69011275
111  52.16785885 -106.69019953
113  52.16780127 -106.69045812
110 1 0.00 0.0000 New Taxiway 25
111  52.16800036 -106.68559111
111  52.16780422 -106.68559828
111  52.16780485 -106.68508273
113  52.16800413 -106.68508478
110 1 0.00 0.0000 New Taxiway 24
111  52.16825345 -106.68519099
111  52.16825258 -106.68567464
111  52.16802249 -106.68567464
113  52.16802153 -106.68518804
110 1 0.00 0.0000 New Taxiway 22
111  52.16906540 -106.67618513
111  52.16884603 -106.67618502
111  52.16884540 -106.67610404
111  52.16883785 -106.67610199
111  52.16883947 -106.67578508
111  52.16911070 -106.67578813
111  52.16911064 -106.67580922
111  52.16913697 -106.67580911
111  52.16913586 -106.67593381
111  52.16913456 -106.67607908
111  52.16911104 -106.67608062
113  52.16910900 -106.67618523
110 1 0.00 0.0000 New Taxiway 21
111  52.16906474 -106.67653812
111  52.16906531 -106.67630703
111  52.16918230 -106.67630949
113  52.16918157 -106.67653681
110 1 0.00 0.0000 New Taxiway 20
111  52.16915627 -106.67802423
111  52.16915106 -106.67755302
111  52.16899130 -106.67755084
111  52.16899054 -106.67736873
111  52.16899434 -106.67673698
111  52.16906370 -106.67673539
111  52.16959535 -106.67673669
111  52.16959622 -106.67681868
111  52.16954285 -106.67681756
111  52.16954106 -106.67739750
111  52.16950568 -106.67739794
111  52.16950763 -106.67762401
113  52.16950688 -106.67802255
110 1 0.00 0.0000 New Taxiway 16
111  52.16867182 -106.67720203
111  52.16858035 -106.67720223
111  52.16858016 -106.67714086
111  52.16842973 -106.67713925
112  52.16841705 -106.67716184  52.16840530 -106.67716414
111  52.16840229 -106.67713990
111  52.16840296 -106.67704740
111  52.16841434 -106.67704799
111  52.16841502 -106.67685988
111  52.16844098 -106.67685986
111  52.16844115 -106.67682016
111  52.16842880 -106.67682063
111  52.16842816 -106.67677159
111  52.16844144 -106.67677135
111  52.16860782 -106.67677342
111  52.16860933 -106.67698005
111  52.16867270 -106.67697882
113  52.16867137 -106.67702528
110 1 0.00 0.0000 New Taxiway 11
111  52.16774379 -106.67823046
111  52.16774319 -106.67794565
111  52.16776095 -106.67794561
111  52.16775929 -106.67746320
111  52.16775154 -106.67746365
111  52.16775155 -106.67705556
111  52.16791494 -106.67705366
111  52.16791577 -106.67745843
111  52.16789953 -106.67747434
111  52.16789957 -106.67793446
111  52.16791756 -106.67793486
113  52.16791703 -106.67822999
110 1 0.00 0.0000 New Taxiway 8
111  52.16796204 -106.67977402
111  52.16776650 -106.67976339
111  52.16776780 -106.67930432
112  52.16787079 -106.67919592  52.16797116 -106.67920017
113  52.16796856 -106.67930857
110 1 0.00 0.0000 New Taxiway 5
111  52.16814060 -106.68385560
111  52.16814266 -106.68314179
111  52.16844379 -106.68314384
111  52.16844363 -106.68340273
111  52.16844625 -106.68385946
111  52.16841841 -106.68389339
113  52.16814147 -106.68389459
110 1 0.00 0.0000 New Taxiway 4
111  52.16711003 -106.68985707
111  52.16715349 -106.68964454
111  52.16723170 -106.68968882
113  52.16718825 -106.68989958
110 1 0.00 0.0000 New Taxiway 3
111  52.16749903 -106.68930816
111  52.16759137 -106.68887070
111  52.16768914 -106.68892737
113  52.16759354 -106.68936838
110 1 0.00 0.0000 New Taxiway 2
111  52.16733717 -106.69011933
111  52.16742516 -106.68970666
111  52.16751424 -106.68975979
113  52.16742516 -106.69016715
110 1 0.00 0.0000 New Taxiway 11
111  52.16732656 -106.69210303
111  52.16734038 -106.69204482
111  52.16727818 -106.69200914
111  52.16733807 -106.69171621
111  52.16755115 -106.69182888
113  52.16747168 -106.69218002
110 1 0.00 0.0000 New Taxiway 7
111  52.16769680 -106.69121427
111  52.16760562 -106.69165085
111  52.16741558 -106.69154445
111  52.16756243 -106.69082463
111  52.16770352 -106.69090130
111  52.16769008 -106.69096703
111  52.16809895 -106.69119549
113  52.16805193 -106.69140987
110 1 0.00 0.0000 New Taxiway 5
111  52.16616105 -106.69232529
111  52.16620637 -106.69211882
111  52.16634901 -106.69220250
113  52.16630435 -106.69240135
110 1 0.00 0.0000 New Taxiway 4
111  52.16657866 -106.69250316
111  52.16656168 -106.69251675
111  52.16645711 -106.69245993
111  52.16644813 -106.69244701
111  52.16647646 -106.69231299
113  52.16660254 -106.69237910
110 1 0.00 0.0000 New Taxiway 2
111  52.16933739 -106.68366917
111  52.16934818 -106.68376766
