I
1100 Generated by WorldEditor 1.6.1r1

1   3038 0 0 00CA Goldstone Airstrip
100 30.48 1 0 0.25 0 2 0 04  35.34958921 -116.89281844    0   49 2 0 0 0 22  35.36034471 -116.87755386  462    0 2 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  35.36042727 -116.87764755
111  35.36101087 -116.87830581
111  35.36086243 -116.87852523
111  35.36071398 -116.87835817
111  35.36060214 -116.87850777
111  35.36075262 -116.87867982
111  35.36062045 -116.87886183
111  35.36007142 -116.87830082
113  35.35999211 -116.87830332
111  35.36030066 -116.87827108
111  35.36048706 -116.87847055
112  35.36053111 -116.87846848  35.36055145 -116.87843523
112  35.36065312 -116.87829186  35.36069040 -116.87823992
111  35.36064465 -116.87819836
111  35.36060398 -116.87814849
111  35.36052772 -116.87824407
114  35.36042097 -116.87828978  35.36035488 -116.87829186
110 1 0.00 0.0000 New Taxiway 3
111  35.35660096 -116.88152050
112  35.35679129 -116.88141279  35.35690821 -116.88129851
111  35.35685229 -116.88114052
111  35.35691330 -116.88106872
112  35.35694014 -116.88124823  35.35697233 -116.88131056
111  35.35694014 -116.88124823
112  35.35694014 -116.88124823  35.35694861 -116.88127940
111  35.35699382 -116.88128114
111  35.35723295 -116.88127217
112  35.35740329 -116.88107104  35.35753885 -116.88104195
111  35.35764534 -116.88118241
111  35.35733788 -116.88158034
112  35.35726712 -116.88147562  35.35724170 -116.88141121
111  35.35723295 -116.88133500
111  35.35712559 -116.88133500
111  35.35691330 -116.88134397
112  35.35681569 -116.88150554  35.35672249 -116.88162813
111  35.35681569 -116.88150554
112  35.35681569 -116.88150554  35.35669368 -116.88164059
113  35.35656184 -116.88157368
130 Airport Boundary 4
111  35.35418455 -116.88567859
111  35.35398216 -116.88446887
111  35.35683086 -116.88089544
111  35.36054480 -116.87668282
111  35.36151123 -116.87779338
111  35.36058022 -116.87904044
111  35.36003375 -116.87843243
111  35.34938274 -116.89361946
113  35.34884640 -116.89319762
120 Linear Feature 2
111  35.36054480 -116.87778598 54
115  35.36013472 -116.87835946
1300  35.35745835 -116.88124478 324.25 tie_down props Apron 2
1301 A general_aviation 
1300  35.36044902 -116.87805054 146.16 tie_down props Apron 1
1301 A general_aviation 
51 12290 CTAF
99
