I
1050 Generated by WorldEditor 2.3.0r2

1   1860 0 0 CBX2 Fort Nelson/Mobil Sierra
100 36.58 5 0 0.25 0 0 0 15  58.83970667 -121.40029978    0    0 0 0 0 0 33  58.82860206 -121.38595411    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 44
111  58.83734426 -121.39586024
111  58.83722938 -121.39571793
111  58.83730243 -121.39545153
113  58.83741731 -121.39559384
110 5 0.00 0.0000 New Taxiway 43
111  58.83738620 -121.39693053
112  58.83738620 -121.39693053  58.83747104 -121.39688272
112  58.83747654 -121.39644478  58.83742823 -121.39623530
111  58.83747654 -121.39644478
111  58.83710684 -121.39602305
111  58.83722938 -121.39571793
111  58.83734426 -121.39586024
111  58.83741731 -121.39559384
111  58.83730243 -121.39545153
111  58.83727297 -121.39525571
111  58.83726062 -121.39524291
111  58.83729198 -121.39514276
111  58.83758509 -121.39547492
112  58.83766201 -121.39538637  58.83768019 -121.39533256
111  58.83766201 -121.39538637
112  58.83800567 -121.39574373  58.83811478 -121.39597872
111  58.83800567 -121.39574373
112  58.83800567 -121.39574373  58.83800991 -121.39607435
111  58.83772901 -121.39673386
113  58.83759454 -121.39721512
110 5 0.00 0.0000 New Taxiway 42
111  58.82851975 -121.38622215
112  58.82853203 -121.38588069  58.82860567 -121.38561353
113  58.82869844 -121.38570237
110 5 0.00 0.0000 New Taxiway 41
112  58.83978358 -121.40005907  58.83996682 -121.40049190
112  58.83960237 -121.40085390  58.83940283 -121.40076734
111  58.83960237 -121.40085390
112  58.83960237 -121.40085390  58.83939673 -121.40073586
113  58.83886939 -121.39951213
130 Airport Boundary 45
111  58.83926906 -121.40106508
111  58.83930808 -121.40082899
111  58.83920205 -121.40037741
111  58.82835837 -121.38636212
111  58.82844999 -121.38570914
111  58.82871148 -121.38542027
111  58.83713011 -121.39541901
111  58.83737964 -121.39479789
111  58.83775891 -121.39510716
111  58.83816059 -121.39578139
111  58.83789085 -121.39720349
111  58.83995363 -121.39963160
111  58.84015398 -121.40013683
113  58.83969464 -121.40150143
1300  58.83771465 -121.39622389 244.94 tie_down jets|turboprops|props Apron
1301 B general_aviation 
99
