I
1050 Generated by WorldEditor 1.7.1r2

1   3877 1 0 KHLN Helena Rgnl
100 45.72 1 0 0.25 0 3 1 09  46.60841507 -111.99770538    0   61 3 0 0 1 27  46.60298916 -111.96277984    0   61 3 8 0 0
100 22.86 1 0 0.25 0 2 1 05  46.60559982 -111.99746939    0    0 1 0 0 0 23  46.61072776 -111.98055336    0    0 1 0 0 0
100 22.86 3 0 0.00 1 0 1 10  46.60626799 -111.99205472    0    0 0 0 0 0 28  46.60530549 -111.98574454    0    0 0 0 0 0
100 22.86 1 0 0.25 0 2 1 17  46.61217537 -111.98078830    0    0 1 0 0 0 35  46.60398033 -111.98065230    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 20
111  46.60240799 -111.98547561
111  46.60240898 -111.98563337
111  46.60229512 -111.98562972
113  46.60229412 -111.98547410
110 2 0.00 0.0000 New Taxiway 23
111  46.60310153 -111.98441606
111  46.60309806 -111.98463952
111  46.60296180 -111.98462552
113  46.60296645 -111.98440414
110 2 0.00 0.0000 New Taxiway 25
111  46.60281772 -111.98165112
111  46.60281620 -111.98185078
111  46.60281738 -111.98189024
111  46.60269304 -111.98188595
113  46.60269787 -111.98164837
110 2 0.00 0.0000 New Taxiway 25
111  46.60280267 -111.98212156
111  46.60280655 -111.98235172
111  46.60266354 -111.98235067
113  46.60266597 -111.98212056
110 2 0.00 0.0000 New Taxiway 25
111  46.60318685 -111.98166082
111  46.60318796 -111.98188839
111  46.60297874 -111.98187455
111  46.60297884 -111.98185593
113  46.60298122 -111.98165586
110 2 0.00 0.0000 New Taxiway 25
111  46.60263826 -111.97919672
111  46.60264002 -111.97945743
111  46.60243940 -111.97945286
111  46.60244175 -111.97919459
113  46.60247681 -111.97919448
110 2 0.00 0.0000 New Taxiway 25
111  46.60280710 -111.97919906
111  46.60280826 -111.97939111
111  46.60266721 -111.97939547
113  46.60266869 -111.97919714
110 2 0.00 0.0000 New Taxiway 25
111  46.60077368 -111.97608982
111  46.60079628 -111.97634362
111  46.60062462 -111.97637393
111  46.60060535 -111.97611891
111  46.60062156 -111.97611725
113  46.60075661 -111.97609366
110 2 0.00 0.0000 New Taxiway 25
111  46.60129104 -111.97038526
111  46.60132344 -111.97080160
111  46.60111973 -111.97083492
111  46.60110233 -111.97055842
111  46.60106991 -111.97056225
111  46.60106815 -111.97054298
113  46.60106123 -111.97042356
110 2 0.00 0.0000 New Taxiway 25
111  46.60181569 -111.97029827
111  46.60187755 -111.97069625
111  46.60169016 -111.97075697
113  46.60162520 -111.97035654
110 2 0.00 0.0000 New Taxiway 25
111  46.60054670 -111.97515547
111  46.60056350 -111.97532419
111  46.60043812 -111.97534054
113  46.60042781 -111.97517557
110 2 0.00 0.0000 New Taxiway 25
111  46.60072484 -111.97512537
111  46.60074093 -111.97529231
111  46.60061336 -111.97531610
113  46.60060243 -111.97514605
