I
1050 Generated by WorldEditor 2.1.0r1

1   2400 0 0 CEK2 Braeburn
100 22.86 5 0 0.25 0 0 0 14  61.49249320 -135.77927328    0    0 0 0 0 0 32  61.48046034 -135.77624113    0    0 0 0 0 0
110 5 0.00 0.0000 New Taxiway 12
111  61.49242672 -135.77965337
111  61.48045345 -135.77661033
112  61.48045345 -135.77661033  61.48024085 -135.77648164
111  61.48015819 -135.77601838
111  61.48021337 -135.77558952
112  61.48021337 -135.77558952  61.48030210 -135.77538958
111  61.48046176 -135.77534381
111  61.48076159 -135.77549859
111  61.48095854 -135.77606506
111  61.49236334 -135.77885134
112  61.49236334 -135.77885134  61.49253597 -135.77897053
111  61.49257362 -135.77926212
111  61.49261850 -135.77960765
111  61.49269445 -135.77979174
112  61.49269445 -135.77979174  61.49269821 -135.77989770
113  61.49265019 -135.77989477
130 Airport Boundary
111  61.47996194 -135.77680564
111  61.48007606 -135.77514244
111  61.48049991 -135.77518146
111  61.48182904 -135.77584478
111  61.49248966 -135.77851517
111  61.49280329 -135.77880061
111  61.49281959 -135.78081576
113  61.49048607 -135.77935197
14  61.48106240 -135.77565980  15.00 0 Tower
1300  61.48082550 -135.77592458 -144.19 tie_down props GA 1
1301 A general_aviation 
1300  61.48074751 -135.77569453 -144.19 tie_down props GA 2
1301 A general_aviation 
1300  61.48066691 -135.77559788 -103.78 tie_down props GA 3
1301 A general_aviation 
1300  61.48053887 -135.77552981 -103.78 tie_down props GA 4
1301 A general_aviation 
1300  61.48042448 -135.77551212 -72.75 tie_down props GA 5
1301 A general_aviation 
1300  61.48031399 -135.77561829 -58.28 tie_down props GA 6
1301 A general_aviation 
19  61.48346621 -135.77657026 0 WS-UNLIT
51 12320 Braeburn Traffic
99
