I
1050 Generated by WorldEditor 2.1.0r1

1   1931 0 0 CJE3 Weyburn
100 22.86 1 0 0.00 1 0 0 12  49.70100534 -103.80755466    0    0 1 0 0 0 30  49.69359477 -103.79505718    0    0 1 0 0 0
100 22.86 1 0 0.00 1 0 0 06  49.69890565 -103.80616025    0    0 1 0 0 0 24  49.70140729 -103.79397024    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 51
111  49.69674128 -103.80795026
111  49.69658583 -103.80871907
111  49.69642689 -103.80864135
111  49.69655183 -103.80801160
111  49.69648007 -103.80797039
111  49.69652074 -103.80778224
111  49.69659637 -103.80782140
113  49.69658662 -103.80787900
110 2 0.00 0.0000 New Taxiway 50
111  49.69701238 -103.80655631
111  49.69698739 -103.80651601
111  49.69691723 -103.80640287
111  49.69692234 -103.80639541
111  49.69699959 -103.80628263
113  49.69709614 -103.80643988
110 2 0.00 0.0000 New Taxiway 49
111  49.69690796 -103.80636945
111  49.69682669 -103.80624298
111  49.69682264 -103.80623668
111  49.69695907 -103.80604294
113  49.69703780 -103.80617714
110 2 0.00 0.0000 New Taxiway 40
111  49.69408659 -103.80164003
111  49.69400342 -103.80151384
111  49.69393360 -103.80137812
111  49.69406617 -103.80119819
113  49.69421443 -103.80145352
110 2 0.00 0.0000 New Taxiway 39
111  49.69443036 -103.80220736
111  49.69434790 -103.80208422
111  49.69427338 -103.80195531
111  49.69441355 -103.80175919
113  49.69456293 -103.80201613
110 2 0.00 0.0000 New Taxiway 38
111  49.69447027 -103.80230855
111  49.69455593 -103.80218599
111  49.69468007 -103.80239763
113  49.69459525 -103.80251281
110 2 0.00 0.0000 New Taxiway 35
111  49.69531891 -103.80347875
111  49.69524012 -103.80358733
111  49.69522379 -103.80355996
111  49.69519348 -103.80350916
111  49.69516810 -103.80346663
113  49.69525117 -103.80335860
110 2 0.00 0.0000 New Taxiway 34
111  49.69541610 -103.80365839
111  49.69534230 -103.80376036
111  49.69531400 -103.80371261
111  49.69528802 -103.80366879
111  49.69525637 -103.80361540
113  49.69533303 -103.80350958
110 2 0.00 0.0000 New Taxiway 33
111  49.69545370 -103.80387807
111  49.69538487 -103.80397299
111  49.69535920 -103.80392856
111  49.69533657 -103.80388939
111  49.69531035 -103.80384400
113  49.69537942 -103.80374863
110 2 0.00 0.0000 New Taxiway 32
