I
1050 Generated by WorldEditor

1    496 1 0 CYQX GANDER INTL
100 61.00 1 0 0.25 0 3 0 03  48.92085484 -054.56777382    0    0 3 5 0 1 21  48.94834508 -054.55984577    0   91 2 11 0 1
100 61.00 1 0 0.25 0 3 0 13  48.95325209 -054.58577841    0    0 3 5 0 1 31  48.94572182 -054.55040994    0    0 2 11 0 1
110 1 0.00 0.0000 New Taxiway 52
111  48.95350970 -054.58563548
111  48.95362996 -054.58620514
111  48.95311291 -054.58645799
113  48.95298818 -054.58589375
110 1 0.00 0.0000 New Taxiway 51
111  48.94598523 -054.55029314
111  48.94546562 -054.55056113
111  48.94536164 -054.55005923
113  48.94587847 -054.54980411
110 1 0.00 0.0000 New Taxiway 50
111  48.92090741 -054.56818347
111  48.92052846 -054.56829652
111  48.92042478 -054.56746210
113  48.92080464 -054.56734713
110 2 0.00 0.0000 New Taxiway 30
111  48.94447365 -054.57981468
111  48.94438394 -054.57995893
111  48.94429223 -054.57981775
113  48.94437991 -054.57967657
110 2 0.00 0.0000 New Taxiway 29
111  48.94465220 -054.58085653
111  48.94458421 -054.58052748
111  48.94472773 -054.58046141
113  48.94479601 -054.58079500
110 2 0.00 0.0000 New Taxiway 28
111  48.94418543 -054.58108246
111  48.94408361 -054.58061291
111  48.94411866 -054.58059718
111  48.94408361 -054.58043092
111  48.94429020 -054.58033840
113  48.94442300 -054.58097238
110 2 0.00 0.0000 New Taxiway 27
111  48.94499735 -054.55667099
111  48.94476568 -054.55678108
111  48.94470813 -054.55650698
113  48.94494275 -054.55639464
110 1 0.00 0.0000 New Taxiway 11
111  48.94597083 -054.55039307 102
111  48.94626463 -054.55025296 102
111  48.94639102 -054.55085728 102
113  48.94624578 -054.55163547
110 2 0.00 0.0000 New Taxiway 2
111  48.94185189 -054.57495015
111  48.94190218 -054.57479913
111  48.94197350 -054.57458492
111  48.94196928 -054.57456493
111  48.94192686 -054.57436426
111  48.94264861 -054.57492498
111  48.94260298 -054.57505849
111  48.94252530 -054.57528578
113  48.94247661 -054.57542824
110 2 0.00 0.0000 New Taxiway 98
111  48.94813699 -054.57834026
111  48.94809451 -054.57836345
111  48.94808163 -054.57831025
111  48.94779031 -054.57845333
111  48.94773968 -054.57822651
113  48.94807768 -054.57807176
110 2 0.00 0.0000 New Taxiway 97
111  48.94848001 -054.58087004
111  48.94816848 -054.58102410
111  48.94795174 -054.58001351
111  48.94806393 -054.57995989
111  48.94802387 -054.57977164
113  48.94822498 -054.57967844
110 2 0.00 0.0000 New Taxiway 95
111  48.94662143 -054.56930411
111  48.94637394 -054.56927347
111  48.94639030 -054.56887911
111  48.94625406 -054.56886185
111  48.94626096 -054.56867006
111  48.94653791 -054.56869150
111  48.94652735 -054.56906851
113  48.94662944 -054.56907923
110 1 0.00 0.0000 New Taxiway 94
111  48.94919205 -054.56000638 102
111  48.94924525 -054.56044131 102
111  48.94883938 -054.56056225 102
113  48.94838486 -054.56024739
110 1 0.00 0.0000 New Taxiway 93
111  48.94919205 -054.56000638
111  48.94909316 -054.55921177
111  48.94950134 -054.55910396
113  48.94959852 -054.55989437
110 2 0.00 0.0000 New Taxiway 83
111  48.94868359 -054.58259481
111  48.94861394 -054.58227664
111  48.94877793 -054.58219072
113  48.94885023 -054.58251480
110 2 0.00 0.0000 New Taxiway 82
111  48.94852401 -054.58188999
111  48.94851079 -054.58185240
111  48.94839440 -054.58190476
111  48.94835649 -054.58172487
111  48.94847599 -054.58166273
111  48.94847176 -054.58161591
111  48.94864071 -054.58153447
113  48.94869707 -054.58181961
110 2 0.00 0.0000 New Taxiway 79
111  48.94337780 -054.55598125
111  48.94437319 -054.55675953
111  48.94405769 -054.55770930
111  48.94355971 -054.55731872
111  48.94322736 -054.55705900
113  48.94304998 -054.55692061
110 2 0.00 0.0000 New Taxiway 78
111  48.94212551 -054.55619707
111  48.94239038 -054.55537890
111  48.94243153 -054.55524708
111  48.94324393 -054.55587777
111  48.94292076 -054.55681947
113  48.94278905 -054.55671640
110 2 0.00 0.0000 New Taxiway 40
