I
1050 Generated by WorldEditor 2.1.0r1

1    273 0 0 4B6 Ticonderoga Muni
100 18.29 1 0 0.25 0 2 0 2  43.87173243 -073.41346740    0    0 2 0 0 1 20  43.88281085 -073.41281156    0    0 2 0 0 1
110 2 0.00 0.0000 New Taxiway 6
111  43.86855295 -073.41196674
111  43.86854990 -073.41181274
111  43.86890650 -073.41179558
113  43.86891039 -073.41194533
110 2 0.00 0.0000 New Taxiway 3
111  43.86979261 -073.41204844
111  43.86978769 -073.41189357
111  43.87003535 -073.41188166
113  43.87004089 -073.41203603
110 1 0.00 0.0000 New Taxiway 2
111  43.87173117 -073.41336630
111  43.87172818 -073.41329008
112  43.87172818 -073.41329008  43.87169040 -073.41303698
111  43.87151827 -073.41304371
111  43.87118672 -073.41306517
111  43.87049547 -073.41310991
112  43.87049547 -073.41310991  43.87002698 -073.41310991
111  43.86996536 -073.41251866
111  43.86995681 -073.41239628
112  43.86995681 -073.41239628  43.86994073 -073.41234708
111  43.86989371 -073.41234494
111  43.86822245 -073.41244004
111  43.86821199 -073.41205883
111  43.86850512 -073.41203720
111  43.86850387 -073.41196968
111  43.86855295 -073.41196674
111  43.86891039 -073.41194533
111  43.86978769 -073.41189357
111  43.86979261 -073.41204844
111  43.87004089 -073.41203603
111  43.87005758 -073.41250033
112  43.87005758 -073.41250033  43.87012121 -073.41296443
111  43.87046321 -073.41297416
111  43.87118301 -073.41293169
111  43.87147528 -073.41291445
112  43.87147528 -073.41291445  43.87150539 -073.41290530
111  43.87152444 -073.41287831
111  43.87154310 -073.41276707
112  43.87154310 -073.41276707  43.87155698 -073.41273367
111  43.87158408 -073.41271974
111  43.87174973 -073.41271424
112  43.87174973 -073.41271424  43.87179535 -073.41271918
111  43.87181011 -073.41279498
111  43.87182499 -073.41323634
112  43.87182499 -073.41323634  43.87183805 -073.41331024
111  43.87188786 -073.41333979
113  43.87188820 -073.41335324
110 1 0.00 0.0000 New Taxiway 1
111  43.88282393 -073.41327635
112  43.88282393 -073.41327635  43.88282603 -073.41339277
111  43.88282208 -073.41346550
112  43.88282208 -073.41346550  43.88278050 -073.41371353
111  43.88260803 -073.41372286
111  43.88115200 -073.41381167
112  43.88115200 -073.41381167  43.88094075 -073.41378913
111  43.88091981 -073.41353305
111  43.88091505 -073.41338625
111  43.88090927 -073.41320806
112  43.88090927 -073.41320806  43.88087792 -073.41308217
111  43.88078888 -073.41304458
111  43.88078842 -073.41303256
111  43.88109886 -073.41301322
111  43.88109933 -073.41302738
112  43.88109933 -073.41302738  43.88099003 -073.41306858
111  43.88098052 -073.41321553
111  43.88098597 -073.41338350
111  43.88099068 -073.41352891
112  43.88099068 -073.41352891  43.88102157 -073.41370690
111  43.88114877 -073.41371654
111  43.88260692 -073.41362960
112  43.88260692 -073.41362960  43.88275541 -073.41360241
111  43.88275960 -073.41340403
111  43.88275572 -073.41327827
111  43.88274487 -073.41300854
112  43.88274487 -073.41300854  43.88273381 -073.41296304
111  43.88269879 -073.41292676
113  43.88281236 -073.41291932
130 Airport Boundary
111  43.88064019 -073.41408049
111  43.87515295 -073.41420924
111  43.87181858 -073.41432932
111  43.86884109 -073.41399443
111  43.86881915 -073.41258578
111  43.86814460 -073.41259895
111  43.86813103 -073.41183085
111  43.86848858 -073.41147804
111  43.87024174 -073.41134253
111  43.87027595 -073.41250827
111  43.87313267 -073.41242694
111  43.87313430 -073.41253765
111  43.87383953 -073.41251054
111  43.87384278 -073.41239532
111  43.88169578 -073.41209444
111  43.88443915 -073.41221132
113  43.88394194 -073.41404655
120 HS
111  43.87118672 -073.41306517 4
115  43.87118301 -073.41293169
120 HS
111  43.88098597 -073.41338350 4
115  43.88091505 -073.41338625
120 HS
111  43.88282393 -073.41327635 4
115  43.88275572 -073.41327827
120 Linear Feature 8
111  43.88022026 -073.41297891 1
111  43.88078508 -073.41294623
112  43.88078508 -073.41294623  43.88092333 -073.41296042 1
111  43.88094224 -073.41315198 1
111  43.88095419 -073.41351166
112  43.88095419 -073.41351166  43.88097873 -073.41376820 1
111  43.88116742 -073.41376263 1
111  43.88262576 -073.41367538
112  43.88262576 -073.41367538  43.88279575 -073.41362619 1
111  43.88279337 -073.41338738 1
115  43.88277927 -073.41292796
120 Linear Feature 7
111  43.87178332 -073.41335052 1
111  43.87178079 -073.41328222
112  43.87178079 -073.41328222  43.87174676 -073.41307521 1
112  43.87148906 -073.41297738  43.87133983 -073.41297738
111  43.87148906 -073.41297738 1
111  43.87044629 -073.41304046
112  43.87044629 -073.41304046  43.87025229 -073.41303175 1
112  43.87001010 -073.41248538  43.86998025 -073.41212258
111  43.87001010 -073.41248538 1
115  43.87000531 -073.41233828
120 Linear Feature 5
111  43.86973015 -073.41196907 1
115  43.86972858 -073.41190002
120 Linear Feature 5
111  43.86960839 -073.41197800 1
115  43.86960682 -073.41190894
120 Linear Feature 5
111  43.86948564 -073.41198555 1
115  43.86948407 -073.41191650
120 Linear Feature 5
111  43.86936141 -073.41199379 1
115  43.86935984 -073.41192473
120 Linear Feature 5
111  43.86923718 -073.41200065 1
115  43.86923561 -073.41193160
120 Linear Feature 5
111  43.86911443 -073.41200752 1
115  43.86911286 -073.41193847
120 Linear Feature 5
111  43.86899119 -073.41201507 1
115  43.86898962 -073.41194602
120 Linear Feature 5
111  43.86886646 -073.41202194 1
115  43.86886489 -073.41195288
120 Linear Feature 5
111  43.86874371 -073.41202949 1
115  43.86874214 -073.41196044
120 Linear Feature 5
111  43.86862047 -073.41203704 1
115  43.86861890 -073.41196799
120 Linear Feature 5
111  43.86976440 -073.41196708 1
111  43.86973015 -073.41196907 1
115  43.86969590 -073.41197106
120 Linear Feature 5
111  43.86964264 -073.41197601 1
111  43.86960839 -073.41197800 1
115  43.86957414 -073.41197998
120 Linear Feature 5
111  43.86951990 -073.41198356 1
111  43.86948564 -073.41198555 1
115  43.86945139 -073.41198754
120 Linear Feature 5
111  43.86939566 -073.41199180 1
111  43.86936141 -073.41199379 1
115  43.86932716 -073.41199577
120 Linear Feature 5
111  43.86927143 -073.41199867 1
111  43.86923718 -073.41200065 1
115  43.86920293 -073.41200264
120 Linear Feature 5
111  43.86914868 -073.41200553 1
111  43.86911443 -073.41200752 1
115  43.86908018 -073.41200950
120 Linear Feature 5
111  43.86902544 -073.41201308 1
111  43.86899119 -073.41201507 1
115  43.86895694 -073.41201706
120 Linear Feature 5
111  43.86890071 -073.41201995 1
111  43.86886646 -073.41202194 1
115  43.86883221 -073.41202392
120 Linear Feature 5
111  43.86877797 -073.41202750 1
