A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1     1609 0 0 EP67 Horodek
100   59.74   3   0 0.00 0 0 0 05   49.35366847  022.48605443    0.00    0.00 0  0 0 0 23   49.34962428  022.47810820    0.00    0.00 0  0 0 0
110   2 0.00   0.00 jezdnia1
111  49.34896461  022.47628458 
112  49.34940914  022.47672760  49.34945469  022.47677422 
111  49.34940914  022.47672760 
112  49.34940914  022.47672760  49.34956605  022.47694516 
111  49.34935302  022.47716739 
111  49.34820983  022.47901357 
111  49.34777478  022.47886039 
111  49.34760440  022.47972754 
112  49.34760440  022.47972754  49.34789589  022.47976530 
111  49.34807301  022.47976284 
111  49.34812450  022.47981612 
111  49.34791825  022.48033317 
111  49.34853265  022.48139124 
112  49.34799577  022.48280276  49.34800083  022.48312908 
111  49.34799577  022.48280276 
112  49.34809110  022.48334812  49.34814678  022.48369776 
111  49.34809110  022.48334812 
111  49.34815438  022.48342620 
112  49.34805623  022.48280654  49.34804611  022.48258121 
111  49.34805623  022.48280654 
112  49.34805623  022.48280654  49.34802586  022.48259675 
111  49.34858761  022.48147205 
112  49.34937167  022.48297480  49.34968551  022.48371292 
111  49.34937167  022.48297480 
111  49.34940798  022.48288377 
112  49.34940798  022.48288377  49.34869933  022.48145414 
111  49.34796902  022.48035048 
112  49.34836662  022.48047081  49.34848810  022.48043973 
111  49.34836662  022.48047081 
112  49.34836662  022.48047081  49.34851341  022.48026103 
111  49.34819624  022.47953484 
111  49.34834593  022.47918119 
111  49.34824107  022.47906686 
111  49.34938311  022.47720758 
112  49.34946266  022.47670962  49.34929056  022.47647653 
111  49.34946266  022.47670962 
113  49.34901601  022.47621863 
110   3 0.00   0.00 New Taxiway 2
112  49.35213548  022.48181883  49.35210118  022.48179250 
111  49.35213548  022.48181883 
112  49.35213548  022.48181883  49.35104647  022.48067366 
112  49.35046338  022.47842295  49.35030045  022.47776485 
111  49.35046338  022.47842295 
112  49.35046338  022.47842295  49.35013753  022.47788331 
111  49.34946011  022.47671209 
111  49.34903137  022.47621195 
111  49.34896277  022.47627776 
112  49.34779566  022.47864264  49.34780642  022.47858259 
111  49.34779566  022.47864264 
112  49.34994200  022.48016645  49.35062591  022.48143015 
111  49.34994200  022.48016645 
112  49.34994200  022.48016645  49.34987340  022.48019277 
112  49.35160384  022.48349046  49.35172388  022.48403010 
111  49.35160384  022.48349046 
112  49.35160384  022.48349046  49.35200686  022.48428018 
112  49.35355033  022.48680740  49.35404768  022.48629405 
111  49.35355033  022.48680740 
112  49.35355033  022.48680740  49.35385903  022.48663628 
112  49.35415889  022.48590548  49.35408172  022.48568171 
111  49.35415889  022.48590548 
114  49.35415889  022.48590548  49.35374522  022.48562965 
14   49.34820541  022.47998737 0030 0 Tower
15   49.34919182  022.47840454   0.00 VFR1
15   49.34886003  022.47877616   0.00 VFR2
19   49.34954154  022.47942306 0 Windsock


130 Airport Boundary
111  049.34760284  022.47972679
111  049.34779739  022.47864342
111  049.34896088  022.47627831
111  049.34901428  022.47621918
111  049.34902954  022.47621155
111  049.34946442  022.47670937
111  049.35046387  022.47842216
111  049.35416031  022.48590469
111  049.35354996  022.48680687
111  049.34815598  022.48342705
111  049.34809113  022.48334885
113  049.34799576  022.48280334
99
