A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      793 1 0 LKZA Zabreh
100   89.92   3   0 0.00 0 0 0 10R  49.92841373  018.06892679    0.00    0.00 1  0 0 0 28L  49.92717007  018.08155177    0.00    0.00 1  0 0 0
110   1 0.00  98.70 OLD RWY
111  49.93057774  018.05702930 
111  49.93033265  018.05698406 
111  49.92754731  018.08518385 
111  49.92780051  018.08523661 
111  49.92782970  018.08489141 
111  49.92840478  018.08503096 
111  49.92869597  018.08567791 
111  49.92874846  018.08511672 
111  49.92866771  018.08509695 
111  49.92899998  018.08178441 
111  49.92870832  018.08171116 
111  49.92857518  018.08298356 
111  49.92819387  018.08216231 
112  49.92819387  018.08216231  49.92816506  018.08209315 
112  49.92815561  018.08170636  49.92817787  018.08144598 
111  49.92815561  018.08170636 
111  49.92845682  018.07859074 
112  49.92845682  018.07859074  49.92846860  018.07847682 
112  49.92861278  018.07840500  49.92868218  018.07841924 
111  49.92861278  018.07840500 
111  49.92930024  018.07855792 
111  49.92937922  018.07873655 
111  49.92930736  018.07949993 
111  49.92937744  018.07950764 
111  49.92937220  018.08013308 
111  49.92954203  018.08016666 
111  49.92962989  018.07925036 
112  49.92962989  018.07925036  49.92963251  018.07920154 
112  49.92970306  018.07914062  49.92974104  018.07914672 
111  49.92970306  018.07914062 
111  49.92983453  018.07916679 
111  49.92986934  018.07921214 
111  49.93014415  018.07927449 
111  49.93018429  018.07909702 
111  49.92977670  018.07899629 
111  49.92984772  018.07814249 
111  49.92980449  018.07811371 
112  49.92980449  018.07811371  49.92978354  018.07810151 
112  49.92978288  018.07804395  49.92978681  018.07800530 
111  49.92978288  018.07804395 
111  49.92981376  018.07772039 
111  49.92985390  018.07762926 
111  49.92989095  018.07763812 
111  49.92998013  018.07683709 
111  49.92983762  018.07680903 
111  49.92975818  018.07762330 
112  49.92975818  018.07762330  49.92974639  018.07772705 
112  49.92960603  018.07777649  49.92951175  018.07775208 
111  49.92960603  018.07777649 
111  49.92869541  018.07755309 
112  49.92869541  018.07755309  49.92861422  018.07753275 
112  49.92858837  018.07729744  49.92859622  018.07719777 
111  49.92858837  018.07729744 
111  49.93024007  018.06049538 
112  49.93024007  018.06049538  49.93026102  018.06030619 
112  49.93040165  018.06010703  49.93044487  018.06004600 
111  49.93040165  018.06010703 
111  49.93086118  018.05955772 
111  49.93113843  018.05961805 
111  49.93134531  018.05756504 
113  49.93054295  018.05738334 
112  49.92821155  018.08247698  49.92826917  018.08258480 
111  49.92821155  018.08247698 
111  49.92850199  018.08312262 
112  49.92850199  018.08312262  49.92854258  018.08320602 
112  49.92853156  018.08342756  49.92851846  018.08355775 
111  49.92853156  018.08342756 
111  49.92843219  018.08442958 
112  49.92843219  018.08442958  49.92838635  018.08478353 
112  49.92813539  018.08481012  49.92807515  018.08480198 
111  49.92813539  018.08481012 
111  49.92800102  018.08474442 
112  49.92800102  018.08474442  49.92792506  018.08469763 
112  49.92788481  018.08427580  49.92791231  018.08403984 
111  49.92788481  018.08427580 
111  49.92804631  018.08255057 
114  49.92804631  018.08255057  49.92806726  018.08229832 
112  49.93103623  018.05809313  49.93102197  018.05827282 
111  49.93103623  018.05809313 
111  49.93092250  018.05908110 
112  49.93092250  018.05908110  49.93089239  018.05929772 
112  49.93075538  018.05950240  49.93066190  018.05961317 
111  49.93075538  018.05950240 
111  49.93042084  018.05989866 
112  49.93042084  018.05989866  49.93037014  018.05994789 
112  49.93031083  018.05969751  49.93032033  018.05950059 
111  49.93031083  018.05969751 
111  49.93048147  018.05791061 
112  49.93048147  018.05791061  49.93050682  018.05770384 
112  49.93077417  018.05758617  49.93086132  018.05761078 
111  49.93077417  018.05758617 
111  49.93088248  018.05761803 
114  49.93088248  018.05761803  49.93094744  018.05763772 
111  49.92938787  018.07783609 
112  49.92938787  018.07783609  49.92943973  018.07784728 
112  49.92945001  018.07796450  49.92944425  018.07802940 
111  49.92945001  018.07796450 
111  49.92941616  018.07824785 
112  49.92941616  018.07824785  49.92940464  018.07832840 
112  49.92924121  018.07835268  49.92916919  018.07833031 
111  49.92924121  018.07835268 
111  49.92862317  018.07819679 
112  49.92862317  018.07819679  49.92857996  018.07818336 
112  49.92851361  018.07802890  49.92851649  018.07797072 
111  49.92851361  018.07802890 
111  49.92854283  018.07780813 
112  49.92854283  018.07780813  49.92856443  018.07763583 
112  49.92876433  018.07768555  49.92882772  018.07769226 
113  49.92876433  018.07768555 
130 Airport Boundary 40
111  49.92688237  018.05184994 
111  49.92252894  018.09057208 
111  49.93120380  018.09226213 
113  49.93536517  018.05383824 
14   49.92974104  018.07968064   82 0 TWR
15   49.92969411  018.07884759 276.86 Stojanka
19   49.92884867  018.07952715 0 WS
54 12360 INFO

99
