I
1050 Generated by WorldEditor 2.1.0r1

1    645 1 0 EBLG Liege
1302 city Liège
1302 country Belgium
1302 datum_lat 50.636389
1302 datum_lon 5.442778
1302 iata_code LGG
1302 icao_code EBLG
1302 state Wallonie
1302 transition_alt 4500
1302 transition_level FL045
100 45.00 1 0 0.00 1 1 0 05R  50.62718599  005.42791486  232   69 3 1 0 1 23L  50.65049539  005.46490505  398    0 3 2 1 1
100 45.11 1 0 0.00 0 1 0 05L  50.63127500  005.43013890    0    0 3 0 0 1 23R  50.64608610  005.45361940    0    0 3 1 0 1
110 2 0.00 271.0000 New Taxiway 42
111  50.64604854  005.44473829
111  50.64599310  005.44493187
111  50.64576038  005.44475439
111  50.64565248  005.44513110
111  50.64588520  005.44530858
111  50.64573052  005.44584859
111  50.64590169  005.44596060
111  50.64588850  005.44600219
111  50.64593275  005.44603114
111  50.64594593  005.44598955
111  50.64596310  005.44600079
111  50.64610884  005.44552332
111  50.64617639  005.44549074
111  50.64625366  005.44555195
111  50.64626910  005.44549523
111  50.64627784  005.44547613
111  50.64627985  005.44546784
111  50.64627192  005.44545821
111  50.64627557  005.44544756
111  50.64628941  005.44543970
111  50.64630725  005.44535506
111  50.64623000  005.44529981
111  50.64621055  005.44519009
111  50.64635074  005.44473081
111  50.64627797  005.44467808
111  50.64646774  005.44403915
112  50.64641969  005.44410390  50.64642443  005.44414382
111  50.64637291  005.44416693
111  50.64623366  005.44464598
113  50.64617670  005.44482562
110 2 0.00 271.0000 New Taxiway 31
111  50.64664305  005.44837396
111  50.64660566  005.44841367
111  50.64672208  005.44850344
111  50.64676908  005.44854351
111  50.64676503  005.44855570
111  50.64698680  005.44874477
111  50.64706430  005.44852190
111  50.64684289  005.44833188
111  50.64683773  005.44834349
111  50.64679831  005.44830965
111  50.64683762  005.44818024
111  50.64677276  005.44801057
111  50.64662779  005.44801298
113  50.64656980  005.44819347
110 2 0.00 271.0000 New Taxiway 30
111  50.64721531  005.44967953
111  50.64715274  005.44986483
111  50.64722751  005.45004533
111  50.64736333  005.45003329
111  50.64742513  005.44984799
113  50.64735036  005.44966990
110 2 0.00 271.0000 New Taxiway 29
111  50.64685532  005.45758234
111  50.64678488  005.45768571
