A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      925 1 0 LKKO Kolin
100   35.05   3   0 0.00 0 0 0 03R  49.99806123  015.17117162    0.00    0.00 1  0 0 0 21L  50.00484045  015.17668541    0.00    0.00 1  0 0 0
100  110.03   3   0 0.00 0 0 0 03L  49.99836363  015.17027184    0.00    0.00 1  0 0 0 21R  50.00550093  015.17607694    0.00    0.00 1  0 0 0
110   3 0.00  27.60 STRIP
111  49.99842922  015.16898979 
111  49.99762056  015.17150010 
111  50.00496548  015.17735292 
111  50.00528073  015.17748805 
111  50.00569498  015.17729055 
113  50.00616937  015.17541944 
130 Airport Boundary 26
111  49.99780062  015.16163345 
111  49.99394100  015.17241821 
111  50.00621339  015.18385944 
113  50.00971117  015.17330913 
14   50.00541589  015.17356463   82 0 TW
15   50.00533140  015.17391806 207.93 Pred vezi
19   50.00460388  015.17401233 0 WS
54 12350 INFO

99
