I
1000 Generated by WorldEditor

1     30 1 0 KSRQ Sarasota Bradenton Intl
100 45.72 1 1 0.25 0 3 1 14  27.40462200 -082.56564400  412   62 3 8 0 0 32  27.38634400 -082.54471900  350   60 3 8 0 0
100 45.72 1 1 0.25 0 3 1 04  27.38998100 -082.55765300    0    8 2 0 0 0 22  27.40082500 -082.54812500    0    7 2 0 0 1
110 1 0.00 0.0000 New Taxiway 421
111  27.39382013 -082.54764633
111  27.39382056 -082.54754258
111  27.39347730 -082.54753857
111  27.39347764 -082.54724083
111  27.39347771 -082.54717489
111  27.39418290 -082.54718387
111  27.39417891 -082.54734551
111  27.39446195 -082.54735449
113  27.39445398 -082.54765082
110 1 0.00 0.0000 Terminal
111  27.38843949 -082.55373998
111  27.38844971 -082.55362738
111  27.38805889 -082.55357620
111  27.38805548 -082.55362226
111  27.38797027 -082.55362098
111  27.38796231 -082.55369264
111  27.38785893 -082.55384106
111  27.38780212 -082.55379884
111  27.38778281 -082.55383211
111  27.38776690 -082.55382187
111  27.38772032 -082.55389992
111  27.38785438 -082.55400356
111  27.38742834 -082.55468172
111  27.38723292 -082.55453841
111  27.38712954 -082.55469323
111  27.38707046 -082.55464205
111  27.38716589 -082.55448211
111  27.38707273 -082.55440918
111  27.38748855 -082.55373358
111  27.38749991 -082.55359539
111  27.38735790 -082.55349943
111  27.38717725 -082.55347768
111  27.38718407 -082.55340858
111  27.38736244 -082.55341498
111  27.38752263 -082.55332541
111  27.38752945 -082.55319106
111  27.38701024 -082.55193456
111  27.38728178 -082.55179637
111  27.38726360 -082.55174391
111  27.38736585 -082.55168761
111  27.38738516 -082.55173751
111  27.38740334 -082.55172727
111  27.38792255 -082.55298122
111  27.38776804 -082.55306567
111  27.38781462 -082.55316035
111  27.38784075 -082.55314628
111  27.38786802 -082.55321793
111  27.38784302 -082.55323329
111  27.38788619 -082.55333693
111  27.38798731 -082.55334205
111  27.38799753 -082.55324864
111  27.38817818 -082.55326016
111  27.38833269 -082.55350455
111  27.38855878 -082.55353526
111  27.38857923 -082.55343290
111  27.39006869 -082.55366321
113  27.39002892 -082.55398694
110 1 0.00 0.0000 New Taxiway 497
111  27.39515403 -082.54764319
111  27.39487814 -082.54764416
111  27.39487640 -082.54734418
113  27.39514969 -082.54734418
110 1 0.00 0.0000 New Taxiway 461
111  27.39677454 -082.54776036
111  27.39677082 -082.54813111
111  27.39642677 -082.54812273
113  27.39643793 -082.54775826
110 1 0.00 0.0000 New Taxiway 460
111  27.39650116 -082.54895429
111  27.39650302 -082.54834057
111  27.39677826 -082.54833638
113  27.39677268 -082.54895429
110 1 0.00 0.0000 New Taxiway 459
111  27.39680987 -082.54941511
111  27.39643607 -082.54940673
111  27.39643049 -082.54895639
113  27.39680801 -082.54895639
110 1 0.00 0.0000 New Taxiway 458
111  27.39764302 -082.54860030
111  27.39725062 -082.54859611
111  27.39725992 -082.54815833
113  27.39764488 -082.54815833
110 1 0.00 0.0000 New Taxiway 463
111  27.39774579 -082.54765140
111  27.39752527 -082.54765647
111  27.39752076 -082.54741822
113  27.39774354 -082.54741315
110 1 0.00 0.0000 New Taxiway 516
111  27.40184782 -082.54920352
111  27.40184850 -082.54904124
111  27.40192074 -082.54903605
111  27.40191920 -082.54897892
111  27.40240641 -082.54897373
113  27.40240161 -082.54920072
110 1 0.00 0.0000 New Taxiway 515
111  27.40273029 -082.54970020
111  27.40272330 -082.54938387
111  27.40309217 -082.54937757
111  27.40309357 -082.54969548
113  27.40281589 -082.54969909
110 1 0.00 0.0000 New Taxiway 514
111  27.40310055 -082.55005588
111  27.40292524 -082.55005987
111  27.40282390 -082.55006218
111  27.40281692 -082.54971122
111  27.40302930 -082.54970492
111  27.40302930 -082.54976788
113  27.40309916 -082.54976630
110 1 0.00 0.0000 New Taxiway 513
111  27.40293009 -082.55064291
111  27.40258777 -082.55065079
111  27.40258604 -082.55047976
113  27.40292696 -082.55047032
110 1 0.00 0.0000 New Taxiway 512
111  27.40149071 -082.55229471
111  27.40148346 -082.55223681
111  27.40143171 -082.55223427
111  27.40142721 -082.55213289
111  27.40247132 -082.55212021
111  27.40246907 -082.55222413
111  27.40241056 -082.55222920
113  27.40241201 -082.55228492
110 1 0.00 0.0000 New Taxiway 511
111  27.40143630 -082.55268603
111  27.40143396 -082.55257391
111  27.40148796 -082.55256884
111  27.40148881 -082.55250798
111  27.40241775 -082.55249620
111  27.40241056 -082.55255616
111  27.40247132 -082.55256123
113  27.40247316 -082.55267499
110 1 0.00 0.0000 New Taxiway 510
111  27.40144145 -082.55301947
111  27.40143491 -082.55289942
111  27.40250035 -082.55288590
113  27.40250333 -082.55299743
110 1 0.00 0.0000 New Taxiway 509
111  27.40139065 -082.55336757
111  27.40139010 -082.55325416
111  27.40265424 -082.55322720
