I
1050 Generated by WorldEditor

1     44 1 0 MMVA Villahermosa Intl
1302 city Villahermosa
1302 country Mexico
1302 datum_lat 17.997016667
1302 datum_lon -92.814813889
1302 faa_code 
1302 iata_code VSA
1302 icao_code MMVA
1302 region_code MM
1302 state Tabasco
1302 transition_alt 18500
1302 transition_level 19500
100 45.11 1 0 0.25 0 3 1 08  17.99626970 -092.82753079    0   56 2 0 0 0 26  17.99746370 -092.80669679    0   56 2 0 0 0
110 2 0.00 0.0000 New Taxiway 1
111  17.99319982 -092.81807056
111  17.99320389 -092.81802457
111  17.99324968 -092.81801494
111  17.99327410 -092.81804917
113  17.99324154 -092.81808875
110 1 0.00 0.0000 New Taxiway 161
111  17.99316315 -092.82023745 20
112  17.99305446 -092.82022727  17.99294576 -092.82021708 20
111  17.99245966 -092.82018904 20
112  17.99231888 -092.82012302  17.99227988 -092.82005214 20
111  17.99229112 -092.81999446 20
111  17.99229640 -092.81979501 20
112  17.99217875 -092.81968869  17.99208424 -092.81968521 20
111  17.99180465 -092.81966923 20
112  17.99151460 -092.81929048  17.99153202 -092.81895675 20
111  17.99156395 -092.81846633 20
112  17.99174685 -092.81812040  17.99188717 -092.81812650 20
111  17.99227936 -092.81811526 20
112  17.99241193 -092.81799085  17.99241897 -092.81787245 20
111  17.99241809 -092.81765971 20
111  17.99332441 -092.81770505
111  17.99332255 -092.81776885 20
111  17.99262923 -092.81772261 20
112  17.99248143 -092.81783823  17.99247439 -092.81795662 20
111  17.99245944 -092.81812774 20
112  17.99249727 -092.81822209  17.99252278 -092.81824799 20
112  17.99256940 -092.81846165  17.99256237 -092.81857080
111  17.99256940 -092.81846165
112  17.99256940 -092.81846165  17.99256623 -092.81851089 20
112  17.99256503 -092.81854367  17.99256486 -092.81855375
111  17.99256503 -092.81854367
112  17.99256503 -092.81854367  17.99256502 -092.81854444 20
112  17.99256500 -092.81854569  17.99256499 -092.81854628
111  17.99256500 -092.81854569
112  17.99256500 -092.81854569  17.99256499 -092.81854599 20
112  17.99256498 -092.81854652  17.99256498 -092.81854678
111  17.99256498 -092.81854652
112  17.99256498 -092.81854652  17.99256498 -092.81854678 20
112  17.99256497 -092.81854724  17.99256497 -092.81854746
111  17.99256497 -092.81854724
112  17.99256497 -092.81854724  17.99256495 -092.81854812 20
112  17.99256493 -092.81854922  17.99256492 -092.81854969
111  17.99256493 -092.81854922
112  17.99256493 -092.81854922  17.99256491 -092.81855017 20
112  17.99256486 -092.81855125  17.99256482 -092.81855182
111  17.99256486 -092.81855125
112  17.99256486 -092.81855125  17.99256483 -092.81855177 20
111  17.99256478 -092.81855274 20
111  17.99252536 -092.81923122 20
111  17.99251750 -092.81936350 20
112  17.99247263 -092.81953277  17.99243041 -092.81959751 20
