I
1050 Generated by WorldEditor

1     20 1 0 PAJN Juneau Intl
100 46.00 1 0 0.00 1 2 1 08  58.35807127 -134.59867421   67    0 2 9 0 0 26  58.35182943 -134.55391597   66    0 2 10 0 0
110 2 0.00 0.0000 New Taxiway 48
111  58.36119457 -134.58594077
111  58.36120114 -134.58532060
111  58.36120142 -134.58525956
111  58.36132941 -134.58525956
111  58.36132860 -134.58531824
111  58.36132131 -134.58531669
111  58.36132131 -134.58535530
111  58.36133508 -134.58535376
111  58.36133427 -134.58553598
111  58.36132050 -134.58553753
111  58.36132050 -134.58594058
113  58.36120047 -134.58593852
110 2 0.00 0.0000 New Taxiway 47
111  58.36119578 -134.58633916
111  58.36119815 -134.58633099
111  58.36119863 -134.58620579
111  58.36132698 -134.58620311
111  58.36132293 -134.58714974
111  58.36128485 -134.58715592
111  58.36128161 -134.58725167
111  58.36120385 -134.58725012
113  58.36120149 -134.58714933
110 2 0.00 0.0000 New Taxiway 46
111  58.36031279 -134.58768519
111  58.36031140 -134.58765862
111  58.36036645 -134.58765198
111  58.36036645 -134.58739430
111  58.36053925 -134.58739563
111  58.36054161 -134.58735494
111  58.36055875 -134.58735766
111  58.36055869 -134.58740127
111  58.36056847 -134.58745067
111  58.36058230 -134.58744848
111  58.36090280 -134.58744293
111  58.36090874 -134.58765001
111  58.36090760 -134.58773138
111  58.36089508 -134.58774682
111  58.36089434 -134.58780438
111  58.36080965 -134.58780719
111  58.36080818 -134.58773980
111  58.36057400 -134.58774542
111  58.36057105 -134.58787457
111  58.36055853 -134.58787738
111  58.36055117 -134.58781280
111  58.36050330 -134.58781280
111  58.36050330 -134.58784509
111  58.36036706 -134.58784789
111  58.36035749 -134.58782824
113  58.36031404 -134.58782403
110 2 0.00 0.0000 New Taxiway 45
111  58.35968535 -134.58742959
111  58.35968703 -134.58739262
111  58.35986622 -134.58738866
111  58.35986737 -134.58742050
111  58.36014897 -134.58742160
111  58.36015184 -134.58763472
111  58.36015950 -134.58763737
111  58.36016090 -134.58767722
111  58.36015184 -134.58767722
111  58.36015077 -134.58769416
111  58.36014936 -134.58773781
111  58.35987113 -134.58774108
111  58.35986979 -134.58771103
111  58.35980646 -134.58771102
111  58.35980661 -134.58769252
111  58.35970221 -134.58769663
111  58.35969895 -134.58783023
111  58.35918356 -134.58781584
113  58.35918276 -134.58744394
110 2 0.00 0.0000 New Taxiway 44
111  58.36000113 -134.58901762
111  58.35997458 -134.58902078
111  58.35997402 -134.58897648
111  58.35990707 -134.58897121
111  58.35990375 -134.58884992
111  58.35990984 -134.58885097
111  58.35991039 -134.58874761
111  58.35991205 -134.58874761
111  58.35991095 -134.58863897
113  58.36000611 -134.58864108
110 2 0.00 0.0000 New Taxiway 43
111  58.35945656 -134.58866185
111  58.35976521 -134.58865686
111  58.35976347 -134.58898456
113  58.35945844 -134.58898103
110 2 0.00 0.0000 New Taxiway 42
111  58.35951420 -134.58938989
111  58.35951506 -134.58943937
111  58.35947656 -134.58943607
111  58.35947786 -134.58939236
111  58.35928706 -134.58938741
111  58.35928902 -134.58928455
111  58.35928151 -134.58928523
111  58.35928079 -134.58922729
111  58.35928973 -134.58922457
111  58.35928794 -134.58919117
111  58.35928718 -134.58906588
111  58.35948616 -134.58906775
111  58.35948812 -134.58917238
111  58.35954105 -134.58917238
113  58.35954362 -134.58938989
110 2 0.00 0.0000 New Taxiway 41
111  58.35965032 -134.58950694
111  58.35965221 -134.58941758
111  58.35970376 -134.58941902
111  58.35970669 -134.58949607
113  58.35970732 -134.58950694
110 2 0.00 0.0000 New Taxiway 40
111  58.35989153 -134.58950241
111  58.35989196 -134.58904533
111  58.35991254 -134.58904346
111  58.35991450 -134.58907709
111  58.36006349 -134.58908457
113  58.36006220 -134.58950141
110 2 0.00 0.0000 New Taxiway 39
111  58.36046525 -134.58847916
111  58.36048997 -134.58847808
111  58.36049187 -134.58851793
111  58.36064770 -134.58851552
111  58.36064774 -134.58883825
111  58.36047954 -134.58884031
113  58.36046525 -134.58883244
110 2 0.00 0.0000 New Taxiway 38
111  58.36051835 -134.58950831
111  58.36042994 -134.58951447
111  58.36042563 -134.58900679
113  58.36051404 -134.58900885
110 2 0.00 0.0000 New Taxiway 37
111  58.36073097 -134.58935113
111  58.36072429 -134.58934388
111  58.36071998 -134.58905818
111  58.36084828 -134.58905407
111  58.36084828 -134.58935210
113  58.36083751 -134.58935551
110 2 0.00 0.0000 New Taxiway 36
111  58.36062456 -134.59004569
111  58.36073545 -134.58999500
111  58.36077165 -134.59021717
113  58.36065228 -134.59026354
110 2 0.00 0.0000 New Taxiway 35
111  58.36041294 -134.59009801
111  58.36046396 -134.59007369
111  58.36046943 -134.59012233
111  58.36051043 -134.59010322
111  58.36065257 -134.59114187
111  58.36061157 -134.59116097
111  58.36061977 -134.59121655
113  58.36057148 -134.59123913
110 2 0.00 0.0000 New Taxiway 34
111  58.36006671 -134.59016401
111  58.36020065 -134.59009628
111  58.36038470 -134.59143713
113  58.36025167 -134.59150486
110 2 0.00 0.0000 New Taxiway 33
111  58.35982159 -134.59115160
111  58.35994065 -134.59110951
111  58.35998379 -134.59141386
113  58.35986351 -134.59145728
110 2 0.00 0.0000 New Taxiway 32
111  58.35986624 -134.59147986
111  58.35998912 -134.59143980
111  58.36005044 -134.59194358
113  58.35993184 -134.59198181
110 2 0.00 0.0000 New Taxiway 31
111  58.35993366 -134.59199570
111  58.36005259 -134.59195941
111  58.36008309 -134.59218329
111  58.35997648 -134.59223886
113  58.35996191 -134.59222670
110 2 0.00 0.0000 New Taxiway 30
111  58.35977786 -134.59082507
111  58.35989354 -134.59077718
111  58.35993725 -134.59108553
113  58.35981795 -134.59113075
110 2 0.00 0.0000 New Taxiway 29
111  58.35973048 -134.59048986
111  58.35984644 -134.59044485
111  58.35988949 -134.59074857
111  58.35978737 -134.59080171
113  58.35977227 -134.59079554
110 2 0.00 0.0000 New Taxiway 28
111  58.35968310 -134.59014076
111  58.35985348 -134.59005218
111  58.35989904 -134.59039086
111  58.35984346 -134.59042386
111  58.35974209 -134.59046876
113  58.35972684 -134.59045860
110 2 0.00 0.0000 New Taxiway 27
111  58.35940253 -134.59074214
111  58.35953783 -134.59067528
111  58.35986660 -134.59312980
113  58.35973987 -134.59318032
110 2 0.00 0.0000 New Taxiway 26
111  58.35936415 -134.59185682
111  58.35949425 -134.59179167
111  58.35967174 -134.59312826
113  58.35954275 -134.59318080
110 2 0.00 0.0000 New Taxiway 25
111  58.35967230 -134.59365498
111  58.35971704 -134.59365317
111  58.35971509 -134.59368684
111  58.35989654 -134.59367294
111  58.35990545 -134.59368838
111  58.35991275 -134.59400649
111  58.35980906 -134.59401112
111  58.35981149 -134.59409296
111  58.35976936 -134.59409451
111  58.35976774 -134.59401421
111  58.35968836 -134.59401730
111  58.35967782 -134.59400185
113  58.35967597 -134.59396688
110 2 0.00 0.0000 New Taxiway 24
111  58.35558433 -134.55922533
111  58.35557094 -134.55911814
111  58.35564057 -134.55909007
113  58.35565262 -134.55918960
110 2 0.00 0.0000 New Taxiway 23
111  58.35540030 -134.56062580
111  58.35530000 -134.55988138
111  58.35533218 -134.55986636
111  58.35536126 -134.55985279
111  58.35539432 -134.55983736
111  58.35541415 -134.55982810
111  58.35545007 -134.55981134
111  58.35546593 -134.55980394
111  58.35556359 -134.55975837
111  58.35557690 -134.55975472
111  58.35563684 -134.56015153
111  58.35566195 -134.56013918
111  58.35569355 -134.56034762
111  58.35566276 -134.56036461
111  58.35567492 -134.56045571
111  58.35567978 -134.56045416
111  58.35567654 -134.56052056
111  58.35568011 -134.56056465
111  58.35559827 -134.56060984
113  58.35558688 -134.56053688
110 2 0.00 0.0000 New Taxiway 22
111  58.35745672 -134.56701296
111  58.35745576 -134.56623203
111  58.35779248 -134.56622714
111  58.35779783 -134.56626111
111  58.35781922 -134.56625941
111  58.35781476 -134.56657534
111  58.35779694 -134.56657703
113  58.35778638 -134.56700297
110 2 0.00 0.0000 New Taxiway 21
111  58.35777041 -134.56724049
111  58.35778249 -134.56723909
111  58.35786912 -134.56722757
111  58.35787139 -134.56731197
113  58.35776947 -134.56731347
110 2 0.00 0.0000 New Taxiway 20
111  58.35779493 -134.56782028
111  58.35780493 -134.56780446
111  58.35787117 -134.56780371
111  58.35792663 -134.56780398
111  58.35792663 -134.56811583
111  58.35787189 -134.56811662
113  58.35779715 -134.56811650
110 2 0.00 0.0000 New Taxiway 19
111  58.35756291 -134.56914012
111  58.35756105 -134.56848197
111  58.35756205 -134.56843290
111  58.35758037 -134.56839849
111  58.35787301 -134.56840551
111  58.35788335 -134.56840618
111  58.35788767 -134.56894053
111  58.35779817 -134.56894259
111  58.35780093 -134.56913972
111  58.35778739 -134.56918099
113  58.35756337 -134.56918294
110 2 0.00 0.0000 New Taxiway 18
111  58.35755996 -134.57009619
111  58.35755814 -134.56935669
