A
1050 Generated by WorldEditor 1.6.0b1

1     18 1 0 KOQU QUONSET STATE
100 45.72 1 1 0.00 1 3 0 16  41.60775048 -071.42169088    0   46 3 8 0 2 34  41.59087058 -071.40593784  123  151 2 0 0 0
100 22.86 1 0 0.00 0 2 0 05  41.58861310 -071.41319249    0    0 2 0 0 1 23  41.59766823 -071.40490864    0    0 2 0 0 1
102 H2  41.59579041 -071.41219287  55.14 12.22 12.47 1 0 1 0.00 1
102 H1  41.59767534 -071.41395453  54.82 12.50 12.30 1 0 1 0.00 1
110 1 0.00 0.0000 New Taxiway 178
111  41.59465254 -071.41475728
112  41.59458398 -071.41477395  41.59455126 -071.41473645
111  41.59456840 -071.41469269
114  41.59463696 -071.41466978  41.59467591 -071.41469894
110 1 0.00 0.0000 New Taxiway 177
111  41.59438631 -071.41816123
111  41.59422925 -071.41776122
111  41.59433209 -071.41769122
113  41.59448914 -071.41808623
110 1 0.00 0.0000 New Taxiway 176
111  41.59620865 -071.42254479
111  41.59611204 -071.42245728
111  41.59615879 -071.42236353
113  41.59625383 -071.42245520
110 1 0.00 0.0000 New Taxiway 175
111  41.59716927 -071.42274800
111  41.59708357 -071.42266814
111  41.59729651 -071.42226707
111  41.59746531 -071.42242854
111  41.59731599 -071.42271328
111  41.59725496 -071.42265945
111  41.59722770 -071.42271849
113  41.59719524 -071.42269244
110 1 0.00 0.0000 New Taxiway 174
111  41.59394050 -071.41583317
111  41.59382472 -071.41571888
111  41.59410172 -071.41520382
113  41.59421858 -071.41530944
110 1 0.00 0.0000 New Taxiway 173
111  41.59423697 -071.41609070
111  41.59416664 -071.41602705
111  41.59424887 -071.41587658
111  41.59419585 -071.41582739
111  41.59438953 -071.41545990
111  41.59452479 -071.41560024
111  41.59433435 -071.41595760
113  41.59431812 -071.41594458
110 1 0.00 0.0000 New Taxiway 172
111  41.59523009 -071.41669634
111  41.59510076 -071.41657550
111  41.59525813 -071.41628174
113  41.59538901 -071.41640258
110 1 0.00 0.0000 New Taxiway 171
111  41.59664994 -071.41803097
111  41.59645829 -071.41785388
111  41.59648011 -071.41780804
111  41.59641467 -071.41774762
111  41.59650504 -071.41757053
111  41.59662813 -071.41767470
111  41.59667331 -071.41759553
113  41.59681043 -071.41772262
110 1 0.00 0.0000 New Taxiway 170
111  41.59490654 -071.42036213
111  41.59462140 -071.42009754
111  41.59469152 -071.41996420
111  41.59472736 -071.41999545
111  41.59476475 -071.41993711
111  41.59498912 -071.42014545
111  41.59497509 -071.42017462
113  41.59499535 -071.42019754
110 1 0.00 0.0000 New Taxiway 169
111  41.59437878 -071.42104414
111  41.59390985 -071.42061813
111  41.59403774 -071.42036913
111  41.59429576 -071.42061213
111  41.59431913 -071.42056422
111  41.59435497 -071.42059338
111  41.59454038 -071.42024337
113  41.59472112 -071.42041213
110 1 0.00 0.0000 New Taxiway 168
111  41.59585112 -071.42256981
111  41.59543978 -071.42219979
111  41.59540613 -071.42226730
111  41.59529711 -071.42216729
111  41.59533544 -071.42209277
111  41.59539127 -071.42213965
111  41.59550553 -071.42192089
111  41.59536141 -071.42178199
111  41.59564706 -071.42123857
111  41.59584312 -071.42142434
111  41.59585870 -071.42139830
111  41.59589376 -071.42143128
111  41.59587948 -071.42145212
111  41.59611969 -071.42168130
111  41.59604308 -071.42182366
111  41.59597816 -071.42175769
111  41.59591454 -071.42187922
111  41.59585870 -071.42183061
111  41.59580807 -071.42192610
111  41.59577431 -071.42189658
111  41.59576132 -071.42192783
111  41.59571198 -071.42187749
111  41.59568212 -071.42193825
113  41.59601711 -071.42225424
110 1 0.00 0.0000 New Taxiway 167
111  41.59610457 -071.42117262
111  41.59600070 -071.42108060
111  41.59598512 -071.42111185
111  41.59590721 -071.42103893
111  41.59592539 -071.42100768
111  41.59583710 -071.42092260
111  41.59584489 -071.42090698
111  41.59583840 -071.42086531
111  41.59585138 -071.42083927
111  41.59588514 -071.42083058
111  41.59589553 -071.42081149
111  41.59594097 -071.42084968
111  41.59614353 -071.42047293
111  41.59608250 -071.42041216
111  41.59614872 -071.42028021
111  41.59621104 -071.42033577
111  41.59622143 -071.42040695
111  41.59619806 -071.42044688
111  41.59628375 -071.42053022
111  41.59630583 -071.42049202
111  41.59636426 -071.42047466
111  41.59645125 -071.42055974
111  41.59636945 -071.42072468
111  41.59628895 -071.42065176
111  41.59610457 -071.42100594
111  41.59616690 -071.42106150
111  41.59615911 -071.42107713
111  41.59616170 -071.42112227
111  41.59615002 -071.42115005
113  41.59611496 -071.42115699
110 1 0.00 0.0000 New Taxiway 166
111  41.59652203 -071.42036588
111  41.59632987 -071.42019052
111  41.59640518 -071.42004121
111  41.59637142 -071.42001169
111  41.59629871 -071.42015233
111  41.59624417 -071.42009850
111  41.59649477 -071.41964535
111  41.59657657 -071.41972001
111  41.59664019 -071.41960195
113  41.59683106 -071.41977904
110 1 0.00 0.0000 New Taxiway 165
111  41.59678691 -071.42061416
111  41.59665317 -071.42048742
111  41.59696999 -071.41988148
113  41.59710762 -071.42000996
110 1 0.00 0.0000 New Taxiway 164
111  41.59817610 -071.42000703
111  41.59809819 -071.41993613
111  41.59817718 -071.41977987
113  41.59825617 -071.41985800
110 1 0.00 0.0000 New Taxiway 163
111  41.59788414 -071.42124661
111  41.59783428 -071.42120077
111  41.59790128 -071.42107576
113  41.59794802 -071.42112160
110 1 0.00 0.0000 New Taxiway 162
111  41.59816771 -071.42124036
112  41.59810695 -071.42125077  41.59807111 -071.42121535
111  41.59810383 -071.42116952
114  41.59815836 -071.42116743  41.59819109 -071.42120077
110 1 0.00 0.0000 New Taxiway 162
111  41.59804151 -071.42148413
112  41.59798074 -071.42149454  41.59794490 -071.42145913
111  41.59797763 -071.42141329
114  41.59803216 -071.42141120  41.59806488 -071.42144454
110 1 0.00 0.0000 New Taxiway 161
111  41.59828457 -071.42172790
112  41.59823160 -071.42174457  41.59819420 -071.42171748
111  41.59822069 -071.42167373
112  41.59827522 -071.42166123  41.59830327 -071.42168831
111  41.59827522 -071.42166123
114  41.59827522 -071.42166123  41.59830015 -071.42169456
110 1 0.00 0.0000 New Taxiway 161
111  41.59841078 -071.42148413
112  41.59835780 -071.42150080  41.59832041 -071.42147371
111  41.59834690 -071.42142996
112  41.59840143 -071.42141746  41.59842947 -071.42144454
111  41.59840143 -071.42141746
114  41.59840143 -071.42141746  41.59842636 -071.42145079
110 1 0.00 0.0000 New Taxiway 160
111  41.59851361 -071.42141954
111  41.59840143 -071.42131536
111  41.59844817 -071.42122369
113  41.59855880 -071.42133203
110 1 0.00 0.0000 New Taxiway 159
111  41.59915323 -071.42108873
111  41.59882971 -071.42128551
111  41.59829628 -071.42078633
111  41.59852376 -071.42035087
111  41.59888368 -071.42069882
111  41.59873254 -071.42098634
111  41.59884629 -071.42109052
113  41.59909091 -071.42092801
110 1 0.00 0.0000 New Taxiway 158
111  41.59961720 -071.42240226
111  41.59954241 -071.42238975
111  41.59955020 -071.42228349
113  41.59962499 -071.42230016
110 1 0.00 0.0000 New Taxiway 157
111  41.59958448 -071.42277938
111  41.59951592 -071.42276896
111  41.59952683 -071.42261895
113  41.59959382 -071.42263145
110 1 0.00 0.0000 New Taxiway 154
111  41.58914281 -071.41621958
111  41.58933769 -071.41586500
111  41.58930555 -071.41583814
111  41.58940199 -071.41567159
