I
1050 Generated by WorldEditor 2.0.0r4

1   1208 0 0 36S Happy Camp
100 15.24 1 0 0.25 0 0 0 04  41.78829151 -123.39354186    0    0 1 0 0 0 22  41.79270755 -123.38422888    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  41.78823812 -123.39349411
112  41.78823812 -123.39349411  41.78820232 -123.39346472
112  41.78817473 -123.39331758  41.78815908 -123.39324516
111  41.78817473 -123.39331758
112  41.78817473 -123.39331758  41.78816746 -123.39328391
112  41.78814772 -123.39322286  41.78813607 -123.39319498
111  41.78814772 -123.39322286
111  41.79100867 -123.38719191
112  41.79100867 -123.38719191  41.79104697 -123.38705130
111  41.79097492 -123.38697357
111  41.79049438 -123.38656753
111  41.79092458 -123.38564851
111  41.79104608 -123.38575395
112  41.79104608 -123.38575395  41.79108229 -123.38578185
111  41.79111756 -123.38573638
111  41.79122477 -123.38553507
111  41.79134823 -123.38528008
111  41.79155550 -123.38545646 2
111  41.79126796 -123.38604705 2
111  41.79125326 -123.38603479
111  41.79090082 -123.38677412
111  41.79116995 -123.38700397
111  41.79117956 -123.38701218
112  41.79117956 -123.38701218  41.79128379 -123.38705767
111  41.79136181 -123.38690513
111  41.79114740 -123.38736207
112  41.79114740 -123.38736207  41.79120150 -123.38711328
112  41.79109722 -123.38716196  41.79106598 -123.38718289
111  41.79109722 -123.38716196
112  41.79109722 -123.38716196  41.79108945 -123.38716716
111  41.79108426 -123.38717195
111  41.78968948 -123.39011802
112  41.78968948 -123.39011802  41.78968955 -123.39012474
112  41.78969025 -123.39013692  41.78969068 -123.39014280
111  41.78969025 -123.39013692
112  41.78969025 -123.39013692  41.78970014 -123.39027100
111  41.78980047 -123.39019536
111  41.78971184 -123.39038542
112  41.78971184 -123.39038542  41.78970761 -123.39024035
112  41.78962645 -123.39027383  41.78959823 -123.39029241
111  41.78962645 -123.39027383
112  41.78962645 -123.39027383  41.78961604 -123.39028069
111  41.78960899 -123.39028804
111  41.78827667 -123.39310218
112  41.78827667 -123.39310218  41.78827632 -123.39310654
112  41.78827598 -123.39311477  41.78827587 -123.39311881
111  41.78827598 -123.39311477
112  41.78827598 -123.39311477  41.78827297 -123.39322565
112  41.78840373 -123.39315943  41.78844970 -123.39309906
113  41.78840373 -123.39315943
130 Airport Boundary
111  41.78823923 -123.39409957
111  41.78796605 -123.39488091
111  41.78738451 -123.39513234
111  41.78738729 -123.39435038
111  41.78803146 -123.39333229
111  41.79061397 -123.38785505
111  41.79035001 -123.38760645
111  41.79047623 -123.38732762
111  41.79060731 -123.38697799
111  41.79013488 -123.38657194
111  41.79022714 -123.38628618
111  41.79064007 -123.38518352
111  41.79136218 -123.38442831
111  41.79182154 -123.38435302
111  41.79240266 -123.38357455
111  41.79354191 -123.38288407
111  41.79349608 -123.38322980
113  41.78862624 -123.39352900
120 Linear Feature 12
111  41.79125326 -123.38603479 2
111  41.79101582 -123.38582939 2
115  41.79099973 -123.38586348
120 Linear Feature 11
111  41.79109722 -123.38716196 4
115  41.79116995 -123.38700397
120 Linear Feature 10
111  41.78962645 -123.39027383 4
115  41.78969025 -123.39013692
120 Linear Feature 9
111  41.78817473 -123.39331758 4
115  41.78827598 -123.39311477
120 Linear Feature 7
111  41.79091856 -123.38798326 1
111  41.79121566 -123.38735975
112  41.79121566 -123.38735975  41.79128521 -123.38717174 1
111  41.79119148 -123.38709151 1
111  41.79116700 -123.38707041 1
111  41.79105113 -123.38697052 1
115  41.79086963 -123.38681404
120 Linear Feature 6
111  41.78873088 -123.39259346 1
111  41.78843910 -123.39320384
112  41.78843910 -123.39320384  41.78834986 -123.39338036 1
112  41.78822419 -123.39327071  41.78815973 -123.39319714
111  41.78822419 -123.39327071
112  41.78822419 -123.39327071  41.78818926 -123.39322211 1
111  41.78821402 -123.39316054 1
111  41.78960641 -123.39022425 1
111  41.78965093 -123.39013036 1
111  41.79107861 -123.38711867
112  41.79107861 -123.38711867  41.79110164 -123.38702847 1
115  41.79105113 -123.38697052
120 Linear Feature 5
112  41.79107861 -123.38711867  41.79111613 -123.38705538 1
115  41.79116700 -123.38707041
120 Linear Feature 4
111  41.79167602 -123.38638571 1
111  41.79136974 -123.38702886
112  41.79136974 -123.38702886  41.79129398 -123.38715544 1
115  41.79119148 -123.38709151
120 Linear Feature 3
111  41.79018320 -123.38953473 1
111  41.78987318 -123.39018585
112  41.78987318 -123.39018585  41.78980538 -123.39030985 1
111  41.78972195 -123.39025652 1
111  41.78966280 -123.39020794
112  41.78966280 -123.39020794  41.78964300 -123.39017493 1
115  41.78965093 -123.39013036
120 Linear Feature 2
112  41.78966280 -123.39020794  41.78962481 -123.39019933 1
115  41.78960641 -123.39022425
120 Linear Feature 1
111  41.78943411 -123.39111306 1
111  41.78973254 -123.39048218
112  41.78973254 -123.39048218  41.78979853 -123.39033986 1
115  41.78972195 -123.39025652
14  41.79069048 -123.38728667  25.00 0 Tower
1300  41.79090537 -123.38656603 147.10 tie_down props Tie-Down 04
1301 A general_aviation 
1300  41.79101072 -123.38632656 147.10 tie_down props Tie-Down 03
1301 A general_aviation 
1300  41.79112499 -123.38608229 147.10 tie_down props Tie-Down 02
1301 A general_aviation 
1300  41.79123212 -123.38576619 147.10 tie_down props Tie-Down 01
1301 A general_aviation 
1300  41.79136424 -123.38549559 147.10 tie_down helos Helipad
1301 A general_aviation 
19  41.79159891 -123.38480524 0 WS
51 12290 Unicom
99
