A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      149 0 0 EICS Castleforbes
100   29.87   3   0 0.00 0 0 0 15   53.78280536 -007.84039637    0.00    0.00 0  0 0 0 33   53.77386064 -007.83015940    0.00    0.00 0  0 0 0
130 Airport Boundary
111  53.77258230 -007.82773233 
111  53.77870319 -007.83486155 
111  53.78390508 -007.84005444 
111  53.78392242 -007.84040650 
111  53.78449463 -007.84043584 
111  53.78475472 -007.84163871 
111  53.78374903 -007.84222548 
111  53.78279535 -007.84207879 
111  53.77872053 -007.83647516 
111  53.77388277 -007.83169301 
111  53.77268634 -007.83034345 
113  53.77197542 -007.82931660 
19   53.77441052 -007.83160085 1 WS

99
