I
1050 Generated by WorldEditor

1      2 1 0 MYGW West End
100 30.48 2 2 0.25 0 2 0 11  26.68983985 -078.98841928  183    0 2 0 0 0 29  26.68350143 -078.96948041  275    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 1
111  26.69016267 -078.98713508
111  26.69104095 -078.98677184
111  26.69136065 -078.98773327
111  26.69084189 -078.98795337
111  26.69073451 -078.98819372
111  26.69076588 -078.98825044
112  26.69085516 -078.98844488  26.69082500 -078.98859477
111  26.69085516 -078.98844488
112  26.69085516 -078.98844488  26.69081173 -078.98858531
111  26.69070556 -078.98853805
112  26.69063921 -078.98856236  26.69060301 -078.98858261
111  26.69035570 -078.98873385
111  26.69029537 -078.98878516
111  26.69032071 -078.98885267
111  26.69022057 -078.98888778
111  26.69033760 -078.98920645
111  26.68992259 -078.98936984
111  26.68964511 -078.98849619
111  26.69002996 -078.98833686
111  26.69012406 -078.98858396
112  26.69025797 -078.98860692  26.69032674 -078.98856641
111  26.69056803 -078.98840842
111  26.69062714 -078.98828690
113  26.69051132 -078.98818967
130 Airport Boundary 2
111  26.69187563 -078.98882094
111  26.68956468 -078.98976915
111  26.68912035 -078.98852452
111  26.68873478 -078.98767987
111  26.68845972 -078.98692731
111  26.68811882 -078.98669050
111  26.68543399 -078.97869667
111  26.68577018 -078.97825462
111  26.68515892 -078.97706793
111  26.68261044 -078.96943743
111  26.68415975 -078.96882436
111  26.69024647 -078.98696446
113  26.69110458 -078.98662239
120 Linear Feature 4
111  26.68984247 -078.98841922 51
111  26.68995347 -078.98873519 51
112  26.69011995 -078.98878785  26.69019716 -078.98874329 51
111  26.69066405 -078.98844353 51
112  26.69069301 -078.98828014  26.69064716 -078.98818021 51
115  26.69062545 -078.98812620
120 Linear Feature 3
111  26.69056803 -078.98840842 4
115  26.69063921 -078.98856236
1300  26.69039210 -078.98731445 -69.33 tie_down turboprops|props GA 04
1301 A general_aviation 
1300  26.69066623 -078.98719577 -68.62 tie_down turboprops|props GA 03
1301 A general_aviation 
1300  26.69099466 -078.98722472 201.53 tie_down turboprops|props GA 02
1301 A general_aviation 
1300  26.69112397 -078.98761837 202.23 tie_down turboprops|props GA 01
1301 A general_aviation 
18  26.68968441 -078.98658004 1 BCN
51 12280 UNICOM
99
