I
1050 Generated by WorldEditor 1.6.0r1

1   5006 1 0 SVMD Alberto Carnevalli Airport
100 45.00 1 0 0.25 0 1 0 07  08.57865513 -071.16757290    0    0 3 0 0 0 25  08.58602878 -071.15474845    0    0 3 0 0 0
110 2 0.00 0.0000 New Taxiway 3
111  08.58369317 -071.16055932
111  08.58380934 -071.16063522
111  08.58373494 -071.16076657
111  08.58382690 -071.16084534
111  08.58391195 -071.16074630
111  08.58383361 -071.16067623
111  08.58390649 -071.16057462
111  08.58424687 -071.16084885
111  08.58411205 -071.16101500
111  08.58419200 -071.16108770
111  08.58411001 -071.16118236
111  08.58403411 -071.16111547
111  08.58388826 -071.16127885
111  08.58372106 -071.16112766
111  08.58380541 -071.16102517
111  08.58376380 -071.16098985
111  08.58369194 -071.16109436
111  08.58365325 -071.16106195
111  08.58373798 -071.16094912
111  08.58366805 -071.16086880
113  08.58356078 -071.16080349
110 2 0.00 0.0000 New Taxiway 2
111  08.58292869 -071.16170796
111  08.58289923 -071.16169329
111  08.58301219 -071.16148471
111  08.58315396 -071.16156357
111  08.58302112 -071.16182814
111  08.58304709 -071.16184246
111  08.58302302 -071.16188496
111  08.58294235 -071.16184417
111  08.58290359 -071.16191284
113  08.58283289 -071.16187159
110 2 0.00 0.0000 New Taxiway 4
111  08.58479305 -071.15811017
111  08.58488515 -071.15815959
111  08.58404668 -071.15960347
111  08.58398968 -071.15957190
113  08.58395531 -071.15955287
110 1 0.00 0.0000 New Taxiway 1
111  08.58339499 -071.15963609
111  08.58372347 -071.15982241
111  08.58389326 -071.15951433
112  08.58382555 -071.15942758  08.58382816 -071.15936554
112  08.58372113 -071.15932329  08.58363890 -071.15932527
111  08.58358870 -071.15937026
112  08.58375707 -071.15907750  08.58375801 -071.15924953
112  08.58402492 -071.15917349  08.58406909 -071.15909461
112  08.58480874 -071.15779404  08.58485260 -071.15772038
112  08.58476958 -071.15761900  08.58466699 -071.15756990
111  08.58457554 -071.15763493
111  08.58479245 -071.15728134
112  08.58486867 -071.15750099  08.58495405 -071.15754554
111  08.58501348 -071.15744541
111  08.58520251 -071.15757858
111  08.58491928 -071.15802854
111  08.58492254 -071.15807341
111  08.58488515 -071.15815959
111  08.58479305 -071.15811017
111  08.58395531 -071.15955287
111  08.58398968 -071.15957190
111  08.58360812 -071.16023801
111  08.58380626 -071.16034994
111  08.58369317 -071.16055932
111  08.58356078 -071.16080349
111  08.58334858 -071.16119629
111  08.58321022 -071.16113623
111  08.58299615 -071.16147426
111  08.58301219 -071.16148471
111  08.58289923 -071.16169329
111  08.58277673 -071.16163218
112  08.58274122 -071.16156381  08.58270459 -071.16154165
113  08.58242873 -071.16138582
130 Airport Boundary
111  08.57799234 -071.16755968
111  08.57896901 -071.16808471
111  08.58257232 -071.16189315
111  08.58295223 -071.16207739
111  08.58351411 -071.16117997
111  08.58404369 -071.16138958
111  08.58438632 -071.16082701
111  08.58387778 -071.16047324
111  08.58542989 -071.15752609
111  08.58505036 -071.15730464
111  08.58650580 -071.15472854
111  08.58593011 -071.15440778
113  08.58488734 -071.15527936
120 Linear Feature 22
111  08.58490833 -071.15782476 1
115  08.58483197 -071.15778846
120 Linear Feature 21
111  08.58484567 -071.15794159 1
115  08.58476801 -071.15789143
120 Linear Feature 20
111  08.58478114 -071.15805873 1
115  08.58471326 -071.15800922
120 Linear Feature 19
111  08.58475384 -071.15816272 1
115  08.58465047 -071.15811124
120 Linear Feature 18
111  08.58471782 -071.15816747 1
115  08.58464107 -071.15811757
120 Linear Feature 17
111  08.58467866 -071.15829341 1
115  08.58457920 -071.15823638
120 Linear Feature 16
111  08.58460332 -071.15842036 1
115  08.58450464 -071.15836254
120 Linear Feature 15
111  08.58452892 -071.15850114 1
115  08.58445217 -071.15844729
120 Linear Feature 14
111  08.58445941 -071.15860850 1
115  08.58438814 -071.15856018
120 Linear Feature 13
