I
1050 Generated by WorldEditor 2.3.0r2

1   2020 0 0 CFW4 Muskeg Tower
100 41.15 3 0 0.00 0 0 0 16  57.14095954 -110.89273250    0    0 0 0 0 0 34  57.13478631 -110.89274881    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 41
111  57.13478823 -110.89308917
112  57.13472943 -110.89300349  57.13470214 -110.89297747
111  57.13472943 -110.89300349
111  57.13442428 -110.89286290
112  57.13442428 -110.89286290  57.13433813 -110.89276589
112  57.13442018 -110.89243831  57.13448855 -110.89239421
111  57.13442018 -110.89243831
111  57.13479755 -110.89241009
111  57.13524296 -110.89307999
112  57.13514886 -110.89323458  57.13514613 -110.89338199
111  57.13514886 -110.89323458
111  57.13515734 -110.89340019
112  57.13515734 -110.89340019  57.13516624 -110.89350774
111  57.13519900 -110.89357841
111  57.13527667 -110.89367804
112  57.13527667 -110.89367804  57.13534026 -110.89378261
112  57.13524341 -110.89400915  57.13515658 -110.89399907
111  57.13524341 -110.89400915
111  57.13508485 -110.89379469
112  57.13504617 -110.89368335  57.13503325 -110.89360841
111  57.13504617 -110.89368335
111  57.13501683 -110.89323635
112  57.13501683 -110.89323635  57.13499427 -110.89314563
113  57.13490985 -110.89308357
130 Airport Boundary 42
111  57.13303355 -110.89291160
111  57.13290302 -110.89187151
111  57.13505340 -110.89212567
111  57.14116973 -110.89223343
111  57.14160776 -110.89233095
111  57.14198331 -110.89264938
111  57.14199465 -110.89299692
111  57.14102347 -110.89314601
111  57.13523392 -110.89320726
111  57.13526659 -110.89363614
111  57.13540678 -110.89384305
111  57.13568069 -110.89404056
111  57.13546802 -110.89530400
111  57.13477899 -110.89502184
111  57.13472455 -110.89385559
111  57.13493330 -110.89369413
113  57.13492989 -110.89315177
1300  57.13521865 -110.89380722 142.59 tie_down props Apron
1301 A general_aviation 
19  57.13504952 -110.89230754 1 New Windsock 23
51 12320 Muskeg Tower Traffic
99
