A
1100 Generated by WorldEditor 1.6.0r1

1    773 0 0 KGDW Gladwin Zetel Memorial Airport
100 22.86 1 0 0.25 0 2 0 09  43.97174421 -084.48287931    0    0 2 0 0 1 27  43.97226228 -084.46504612    0    0 2 0 0 1
100 45.72 3 0 0.25 0 0 0 15  43.97129997 -084.47895374    0    0 0 0 0 0 33  43.96473969 -084.47502569    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 15
111  43.97572365 -084.48429223
111  43.97561872 -084.48429547
111  43.97562046 -084.48411718
111  43.97575523 -084.48361927
111  43.97583886 -084.48366893
113  43.97572240 -084.48412695
110 3 0.00 0.0000 New Taxiway 14
111  43.97527188 -084.48438465
111  43.97527188 -084.48403142
111  43.97545881 -084.48344322
111  43.97555262 -084.48349894
111  43.97550030 -084.48367547
111  43.97545683 -084.48382165
111  43.97539860 -084.48404364
111  43.97539986 -084.48421240
111  43.97540048 -084.48422197
113  43.97539986 -084.48438376
110 2 0.00 0.0000 New Taxiway 13
111  43.97634093 -084.48396124
111  43.97641538 -084.48400294
111  43.97639285 -084.48409187
113  43.97631803 -084.48405348
110 2 0.00 0.0000 New Taxiway 12
111  43.97623029 -084.48410827
111  43.97620814 -084.48418421
111  43.97619586 -084.48417786
111  43.97615454 -084.48431443
111  43.97604812 -084.48425006
111  43.97609252 -084.48411704
111  43.97607817 -084.48410827
111  43.97610533 -084.48403357
113  43.97620107 -084.48409080
110 2 0.00 0.0000 New Taxiway 11
111  43.97581191 -084.48424700
111  43.97577373 -084.48424787
111  43.97577373 -084.48429049
111  43.97572365 -084.48429223
111  43.97572240 -084.48412695
111  43.97576997 -084.48412608
111  43.97576935 -084.48417132
113  43.97581129 -084.48417219
110 2 0.00 0.0000 New Taxiway 10
111  43.97551942 -084.48421588
111  43.97539986 -084.48421240
111  43.97539860 -084.48404364
113  43.97551942 -084.48404712
110 2 0.00 0.0000 New Taxiway 9
111  43.97549438 -084.48438289
111  43.97539986 -084.48438376
111  43.97540048 -084.48422197
113  43.97549438 -084.48422457
110 2 0.00 0.0000 New Taxiway 8
111  43.97545683 -084.48382165
111  43.97550030 -084.48367547
111  43.97554290 -084.48370144
